bin,mean,count,centre
"(5.264, 19.959]",3.3652061287193313,41,12.6115
"(19.959, 34.48]",3.2117435897690876,33,27.219499999999996
"(34.48, 49.001]",3.185634873478947,31,41.7405
"(49.001, 63.522]",3.1119552645005153,42,56.2615
"(63.522, 78.043]",3.023929463444046,26,70.7825
"(78.043, 92.564]",3.1012820187147963,39,85.3035
"(92.564, 107.085]",3.080044213145748,34,99.8245
"(107.085, 121.606]",2.9342469336826573,32,114.34549999999999
"(121.606, 136.127]",2.8921785301123104,33,128.8665
"(136.127, 150.648]",2.894526951172407,35,143.3875
"(150.648, 165.17]",2.9801664641392507,29,157.909
"(165.17, 179.691]",2.857730958872174,25,172.4305
