bin,mean,count,centre
"(1.0, 1.285]",2.820309827433438,31,1.1425
"(1.285, 1.567]",3.072504057941015,28,1.426
"(1.567, 1.849]",3.0041404756483523,18,1.708
"(1.849, 2.131]",2.837950611318384,33,1.9899999999999998
"(2.131, 2.413]",2.9592787929680546,46,2.272
"(2.413, 2.694]",2.9806161037087677,38,2.5534999999999997
"(2.694, 2.976]",3.0443691283358723,32,2.835
"(2.976, 3.258]",3.0472728967886256,33,3.117
"(3.258, 3.54]",3.2443525419621064,25,3.399
"(3.54, 3.822]",3.1992853578495954,39,3.681
"(3.822, 4.104]",3.2044656154065065,39,3.963
"(4.104, 4.386]",3.337211195139695,38,4.245
