bin,mean,count,centre
"(0.446, 0.49]",2.7590135387042807,24,0.46799999999999997
"(0.49, 0.534]",2.831932935748847,57,0.512
"(0.534, 0.577]",2.896797074382779,72,0.5555
"(0.577, 0.62]",2.9063092936087362,56,0.5985
"(0.62, 0.664]",3.1709321301974196,58,0.642
"(0.664, 0.707]",3.1960861608538376,47,0.6855
"(0.707, 0.751]",3.272857254553507,27,0.729
"(0.751, 0.794]",3.381115880038819,26,0.7725
"(0.794, 0.838]",3.439052236668798,15,0.8160000000000001
"(0.838, 0.881]",3.4735385021565035,11,0.8594999999999999
"(0.881, 0.924]",3.825070976502249,4,0.9025000000000001
"(0.924, 0.968]",3.9217743793379527,3,0.946
