bin,mean,count,centre
"(0.169, 3.517]",2.281569106033674,28,1.843
"(3.517, 6.825]",2.6138209416876084,33,5.171
"(6.825, 10.134]",2.734385229861097,37,8.4795
"(10.134, 13.442]",2.9873101302530367,39,11.788
"(13.442, 16.75]",3.079937275107598,33,15.096
"(16.75, 20.059]",3.241341983566971,32,18.4045
"(20.059, 23.367]",3.2843478305557374,35,21.713
"(23.367, 26.676]",3.2954186140409436,32,25.0215
"(26.676, 29.984]",3.2819869638053145,29,28.33
"(29.984, 33.292]",3.3111707139881115,34,31.638
"(33.292, 36.601]",3.2911080349083464,24,34.9465
"(36.601, 39.909]",3.3158627518858936,44,38.254999999999995
