t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.022299467008373066,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2242260460450688,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.1149733504186532,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1527538195412066,0.25000000000000006,0.25000000000000006,1.1149733504186532,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.656800003838725
2,0.011117157360808663,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1117854627350049,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5558578680404331,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526946367015833,0.25,0.25,0.5558578680404331,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.30720000481233
3,0.019203048675859476,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19309087858387836,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.9601524337929739,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856297005735084,0.25,0.25,0.9601524337929739,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,0.0,1,0,1,1,1,1,4.214000000501983
4,0.017842018678100532,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1794054225668521,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8921009339050265,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856448439762917,0.25,0.25,0.8921009339050265,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,0.0,0.0,1,0,1,1,1,1,4.15959999372717
5,0.015834155662271525,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15921591826747056,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,0.7917077831135763,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1529958637352857,0.25000000000000006,0.25000000000000006,0.7917077831135763,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.267299992032349
6,0.012689919690370581,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1275999339236609,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.6344959845185291,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152922104907211,0.25,0.25,0.6344959845185291,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.063800014089793
7,0.012526338051666766,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12595508456298526,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.6263169025833383,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152853701416309,0.25,0.25,0.6263169025833383,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.221700008609332
8,0.030037108883630342,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.30202973717141884,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.501855444181517,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529268155160897,0.25,0.25,1.501855444181517,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.062999993446283
9,0.016634114529163926,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16725968064325403,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.1102230246251565e-16,0.8317057264581963,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.85642527049388,0.25,0.25,0.8317057264581963,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,3.4491940966778287,1,0,1,1,1,1,4.0468000079272315
10,0.015684961534692673,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1577157384960173,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.7842480767346336,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529738391840985,0.25,0.25,0.7842480767346336,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,3.4491940966778287,12.024059779457467,1,0,1,1,1,1,6.180199998198077
