t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.004,0.8,17969.99025052927,400.0,0.08,0.0,0.0817663055471592,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004545812925178758,0.2,1,0,0,0,0,17969.99025052927,0.0,0.0,0.0,0.2,5.0,17969.99025052927,8.394936126011482,0.00013997267490068198,4.5,0.0817663055471592,0.0817663055471592,0.2,1,0,0,359.3494988585193,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.623799999943003
2,0.004,0.8,15660.961578121256,400.0,0.08,0.0,0.2974581788297024,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.012792695243354425,0.2,1,0,0,0,0,15660.961578121256,0.0,0.0,0.0,0.2,5.0,15660.961578121256,3.901431178040209,0.02983692621135525,4.4781733443241425,0.2974581788297024,0.2974581788297024,0.2,1,0,0,303.87373246231965,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.323800000245683
3,0.004,0.8,16872.867979641484,400.0,0.08,0.0,0.2622399872115055,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.010629237723879071,0.2,1,0,0,0,0,16872.867979641484,0.0,0.0,0.0,0.2,5.0,16872.867979641484,4.706030515457435,0.011575326630519371,4.5,0.2622399872115055,0.2622399872115055,0.2,1,0,0,333.55118043167,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.148100001155399
4,0.004,0.8,17988.030121329844,400.0,0.08,0.0,0.047909919885194815,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0036778865432449924,0.2,1,0,0,0,0,17988.030121329844,0.0,0.0,0.0,0.2,5.0,17988.030121329844,9.315068439055015,4.640383126502122e-05,4.5,0.047909919885194815,0.047909919885194815,0.2,1,0,0,359.74390815630613,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.088199996156618
5,0.004,0.8,17847.536001058565,400.0,0.08,0.0,0.1596444090705721,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.006619664020089068,0.2,1,0,0,0,0,17847.536001058565,0.0,0.0,0.0,0.2,5.0,17847.536001058565,6.762692242860323,0.0009915682754220922,4.5,0.1596444090705721,0.1596444090705721,0.2,1,0,0,356.5967790113092,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.142400001408532
6,0.004,0.8,16479.510571965562,400.0,0.08,0.0,0.27683155909421114,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.011449766148639105,0.2,1,0,0,0,0,16479.510571965562,0.0,0.0,0.0,0.2,5.0,16479.510571965562,4.383085550579498,0.01696149257439867,4.5,0.27683155909421114,0.27683155909421114,0.2,1,0,0,323.99986951538887,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.105000007664785
7,0.004,0.8,16708.002692513117,400.0,0.08,0.0,0.2689242662148555,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.010993483352680791,0.2,1,0,0,0,0,16708.002692513117,0.0,0.0,0.0,0.2,5.0,16708.002692513117,4.559698486416291,0.013766728822849229,4.5,0.2689242662148555,0.2689242662148555,0.2,1,0,0,329.55976300547707,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.186099999467842
8,0.004,0.8,17957.513002742726,400.0,0.08,0.0,0.09689976943635496,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004925480388032736,0.2,1,0,0,0,0,17957.513002742726,0.0,0.0,0.0,0.2,5.0,17957.513002742726,8.046565775801515,0.0002126013897924144,4.5,0.09689976943635496,0.09689976943635496,0.2,1,0,0,359.07390421042254,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.223299991688691
9,0.004,0.8,17962.144134174596,400.0,0.08,0.0,0.0917538111305746,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0047960267224262,0.2,1,0,0,0,0,17962.144134174596,0.0,0.0,0.0,0.2,5.0,17962.144134174596,8.162235775145126,0.00018505305312450045,4.5,0.0917538111305746,0.0917538111305746,0.2,1,0,0,359.1764036912381,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,5.999000000883825
10,0.004,0.8,17968.863690546146,400.0,0.08,0.0,0.0833164874323747,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.00458461701426663,0.2,1,0,0,0,0,17968.863690546146,0.0,0.0,0.0,0.2,5.0,17968.863690546146,8.358021099351685,0.00014631164716731354,4.5,0.0833164874323747,0.0833164874323747,0.2,1,0,0,359.32469273003716,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.118899997090921
