t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11999.74633673537,1200.0,0.08,0.0,2.0033708512880795e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.04259700914993317,0.2,1,0,0,0,0,11999.74633673537,0.0,0.0,0.0,0.6,5.0,11999.74633673537,16.44108255528384,8.81701353528812e-09,4.5,2.0033708512880795e-07,2.0033708512880795e-07,0.6,1,0,0,239.99492461866888,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.4690000059781596
2,0.012,0.5,11999.330239948822,1200.0,0.08,0.0,8.606894053455481e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05633099519583571,0.2,1,0,0,0,0,11999.330239948822,0.0,0.0,0.0,0.6,5.0,11999.330239948822,15.227399387691344,3.7830020605707115e-08,4.5,8.606894053455481e-06,8.606894053455481e-06,0.6,1,0,0,239.98659572027825,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.34690000757109374
3,0.012,0.5,11999.912294955662,1200.0,0.08,0.0,8.068973338446732e-10,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03137789809370731,0.2,1,0,0,0,0,11999.912294955662,0.0,0.0,0.0,0.6,5.0,11999.912294955662,17.7686351451359,1.7925158044515116e-09,4.5,8.068973338446732e-10,8.068973338446732e-10,0.6,1,0,0,239.99824546891261,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.28399999428074807
4,0.012,0.5,11999.879563657769,1200.0,0.08,0.0,5.013041984723073e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03437691725644533,0.2,1,0,0,0,0,11999.879563657769,0.0,0.0,0.0,0.6,5.0,11999.879563657769,17.372204339015525,2.884458180760884e-09,4.5,5.013041984723073e-09,5.013041984723073e-09,0.6,1,0,0,239.99759058089236,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2674999996088445
5,0.012,0.5,11999.834490662484,1200.0,0.08,0.0,2.6659233825483508e-08,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03767087287186634,0.2,1,0,0,0,0,11999.834490662484,0.0,0.0,0.0,0.6,5.0,11999.834490662484,16.974816793650284,4.646908358655347e-09,4.5,2.6659233825483508e-08,2.6659233825483508e-08,0.6,1,0,0,239.99668869800706,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.29919999360572547
6,0.012,0.5,11999.962586637395,1200.0,0.08,0.0,2.3982120269411947e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02455440351488311,0.2,1,0,0,0,0,11999.962586637395,0.0,0.0,0.0,0.6,5.0,11999.962586637395,18.83357974177786,4.994172280491499e-10,4.5,2.3982120269411947e-12,2.3982120269411947e-12,0.6,1,0,0,239.99925161288814,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25779999850783497
7,0.012,0.5,11999.449775522211,1200.0,0.08,0.0,4.364779867277526e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05323190780125804,0.2,1,0,0,0,0,11999.449775522211,0.0,0.0,0.0,0.6,5.0,11999.449775522211,15.473153314045783,2.8168329554024988e-08,4.5,4.364779867277526e-06,4.364779867277526e-06,0.6,1,0,0,239.9889887503551,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2514000079827383
8,0.012,0.5,11999.976923282693,1200.0,0.08,0.0,4.4260174054264214e-14,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.021366272997108516,0.2,1,0,0,0,0,11999.976923282693,0.0,0.0,0.0,0.6,5.0,11999.976923282693,19.43758589644353,2.419266278311332e-10,4.5,4.4260174054264214e-14,4.4260174054264214e-14,0.6,1,0,0,239.9995384075916,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2862000110326335
9,0.012,0.5,11998.195335503337,1200.0,0.08,0.0,0.00015562819143662645,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07493083202985425,0.2,1,0,0,0,0,11998.195335503337,0.0,0.0,0.0,0.6,5.0,11998.195335503337,13.988268077045383,1.673454814335058e-07,4.5,0.00015562819143662645,0.00015562819143662645,0.6,1,0,0,239.96386655319122,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26050000451505184
10,0.012,0.5,11998.4155660664,1200.0,0.08,0.0,0.0001113631601664492,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07217550372831882,0.2,1,0,0,0,0,11998.4155660664,0.0,0.0,0.0,0.6,5.0,11998.4155660664,14.150975391254816,1.3766341432107207e-07,4.5,0.0001113631601664492,0.0001113631601664492,0.6,1,0,0,239.96827828647093,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26420000358484685
