t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.014965773138029116,0.5,1988.1195096929553,1200.0,0.08,0.0,0.2499999999999999,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15048414096569018,0.2,1,0,0,0,0,1988.1195096929553,0.0,0.0,0.0,0.7482886569014557,1.0,1988.1195096929553,4.967764082186452,0.00848178077309866,3.152183838537231,0.2499999999999999,0.2499999999999999,0.7482886569014557,1,0,0,39.42513431722038,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.549900004756637
2,0.015415181928614857,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1550030452127334,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.7707590964307428,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1521858529844144,0.25000000000000006,0.25000000000000006,0.7707590964307428,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.246399992960505
3,0.015633110699569745,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15719436694308364,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7816555349784872,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521887172964163,0.25,0.25,0.7816555349784872,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.21829999727197
4,0.013443318198695597,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13517552165203756,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6721659099347799,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152182189220234,0.25,0.25,0.6721659099347799,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.190100000821985
5,0.011195732566825803,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1125755537159142,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5597866283412901,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521689523534397,0.25,0.25,0.5597866283412901,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.160099990665913
6,0.01238471790788471,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12453106286467916,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6192358953942355,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521603379848444,0.25,0.25,0.6192358953942355,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.201399999554269
7,0.029748868950253943,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.29913142123637804,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.4874434475126972,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152285239634157,0.25,0.25,1.4874434475126972,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.189899999299087
8,0.014210609160377774,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1428908010548821,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7105304580188887,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152273952623448,0.25,0.25,0.7105304580188887,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.136700001661666
9,0.031415200682061384,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.3158867533473348,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.5707600341030692,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524117781991823,0.25,0.25,1.5707600341030692,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.198500006576069
10,0.02257774321353063,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.22702417450112014,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.1288871606765316,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524414412418773,0.25,0.25,1.1288871606765316,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.579499997314997
11,0.021227837038786085,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.21345057097144202,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.0613918519393042,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524579838440983,0.25,0.25,1.0613918519393042,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.224400000064634
