t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.02592647908087134,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2606964502779883,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,5.551115123125783e-17,1.296323954043567,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3014695420700297,0.15000000000000005,0.15000000000000005,1.296323954043567,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.581000008736737
2,0.02110718449486093,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000016,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.21223738310199847,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,2.220446049250313e-16,1.0553592247430466,2.0,4604.841690120798,6.951315619430959,0.0007908755526006998,4.040868033605712,0.15000000000000016,0.15000000000000016,1.0553592247430466,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.340999992564321
3,0.031325597746391154,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.3149857761189633,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.498001805406602e-16,1.5662798873195578,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.3015641601954795,0.15000000000000002,0.15000000000000002,1.5662798873195578,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.280700006755069
4,0.017885056676491394,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.17983817910786062,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,3.0531133177191805e-16,0.8942528338245697,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3015367210518116,0.15000000000000005,0.15000000000000005,0.8942528338245697,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.129100001999177
5,0.018138239791177506,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.1823839910194245,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,3.3306690738754696e-16,0.9069119895588753,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040893441855701,0.15000000000000002,0.15000000000000002,0.9069119895588753,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.325800007791258
6,0.020926414351665576,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.21041969954765716,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,3.608224830031759e-16,1.0463207175832787,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040963280256337,0.15000000000000002,0.15000000000000002,1.0463207175832787,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.210999992210418
7,0.015882632033424944,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.15970335884290057,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,3.885780586188048e-16,0.7941316016712472,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301608375725524,0.15000000000000002,0.15000000000000002,0.7941316016712472,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.166800012579188
8,0.03043613519236721,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.3060420344806967,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,4.163336342344337e-16,1.5218067596183604,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.3016137977220827,0.15000000000000002,0.15000000000000002,1.5218067596183604,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.277300009969622
9,0.01790771499788779,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.18006601351371548,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,4.718447854656915e-16,0.8953857498943896,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3015824279514963,0.15000000000000005,0.15000000000000005,0.8953857498943896,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.362900006934069
10,0.01886214800466297,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.18966304734612718,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,5.273559366969494e-16,0.9431074002331485,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3015553433277174,0.15000000000000005,0.15000000000000005,0.9431074002331485,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.2790999945718795
11,0.018718837262410463,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.18822202630831503,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,5.551115123125783e-16,0.9359418631205232,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040917034702489,0.15000000000000002,0.15000000000000002,0.9359418631205232,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.1984999988926575
12,0.01586841734524529,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.1595604270264096,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,6.106226635438361e-16,0.7934208672622645,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3015658088980784,0.15000000000000005,0.15000000000000005,0.7934208672622645,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.180900003528222
13,0.030124997168133376,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.3029134732051276,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,6.38378239159465e-16,1.5062498584066688,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041121390612915,0.15000000000000002,0.15000000000000002,1.5062498584066688,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.305800001020543
14,0.024659193571538326,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2479536157133211,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,6.938893903907228e-16,1.2329596785769164,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3017730465542052,0.15000000000000005,0.15000000000000005,1.2329596785769164,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.196700007421896
15,0.022160950149291064,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.22283322855705992,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,7.216449660063518e-16,1.1080475074645533,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301738024833182,0.15000000000000002,0.15000000000000002,1.1080475074645533,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1587999953189865
16,0.01786890273462078,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.179675747668924,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,7.494005416219807e-16,0.893445136731039,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041075750345605,0.15000000000000002,0.15000000000000002,0.893445136731039,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.709400003775954
17,0.023503680025367495,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.23633467282503973,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,8.049116928532385e-16,1.1751840012683747,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301727755807448,0.15000000000000005,0.15000000000000005,1.1751840012683747,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,5.972400002065115
18,0.024734458942281712,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2487104255724791,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,8.604228440844963e-16,1.2367229471140855,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3017034089871635,0.15000000000000005,0.15000000000000005,1.2367229471140855,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,5.946599994786084
19,0.030767402390464254,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.30937299902733084,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,9.159339953157541e-16,1.5383701195232127,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301702608850776,0.15000000000000005,0.15000000000000005,1.5383701195232127,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.393400006345473
