t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,1,50,512,10,1.0,2.5694541831443125,930.9960234610409
2,lyapunov_greedy_oracle,1,50,512,10,1.0,10.315388296838139,1101.1370938492705
3,lyapunov_greedy_oracle,1,50,512,10,1.0,11.877658667864988,802.8311550474651
4,lyapunov_greedy_oracle,1,50,512,10,1.0,20.312099741027907,1079.962925359035
5,lyapunov_greedy_oracle,1,50,512,10,1.0,1.8604980881816608,885.849652292448
6,lyapunov_greedy_oracle,1,50,512,10,1.0,10.166647069490734,1453.1307928515484
7,lyapunov_greedy_oracle,1,50,512,10,1.0,13.272866916607576,866.8407258371955
8,lyapunov_greedy_oracle,1,50,512,10,1.0,11.013097833574749,982.0606413190161
9,lyapunov_greedy_oracle,1,50,512,10,1.0,10.831152147672205,698.4814908520875
10,lyapunov_greedy_oracle,1,50,512,10,1.0,15.753566431622323,1098.4651656564702
11,lyapunov_greedy_oracle,1,50,512,10,1.0,9.208599080688808,1223.0313565016233
12,lyapunov_greedy_oracle,1,50,512,10,1.0,10.420386800612116,972.309602976039
13,lyapunov_greedy_oracle,1,50,512,10,1.0,10.783829144299778,774.9501106750489
14,lyapunov_greedy_oracle,1,50,512,10,1.0,11.396223045622849,1577.6248929897633
15,lyapunov_greedy_oracle,1,50,512,10,1.0,6.573350179759422,986.2001633773745
16,lyapunov_greedy_oracle,1,50,512,10,1.0,4.46450720544367,1128.2922378331984
17,lyapunov_greedy_oracle,1,50,512,10,1.0,9.884376122603,552.447404113432
18,lyapunov_greedy_oracle,1,50,512,10,1.0,13.712515376649632,1045.385536374785
19,lyapunov_greedy_oracle,1,50,512,10,1.0,7.396136613937712,1301.1853981736083
20,lyapunov_greedy_oracle,1,50,512,10,1.0,10.129791523893621,807.178128129784
21,lyapunov_greedy_oracle,1,50,512,10,1.0,3.167842259562722,1035.2403175005743
22,lyapunov_greedy_oracle,1,50,512,10,1.0,-5.8165400317436635,1163.101747025519
23,lyapunov_greedy_oracle,1,50,512,10,1.0,9.872337995037455,895.3744781169153
24,lyapunov_greedy_oracle,1,50,512,10,1.0,6.036142254271025,1055.9159024623893
25,lyapunov_greedy_oracle,1,50,512,10,1.0,14.47571964930783,974.7040229317208
26,lyapunov_greedy_oracle,1,50,512,10,1.0,10.616348433217864,1344.385567995831
27,lyapunov_greedy_oracle,1,50,512,10,1.0,7.610110755331145,738.7321548733446
28,lyapunov_greedy_oracle,1,50,512,10,1.0,7.658272107767381,1154.8084065610087
29,lyapunov_greedy_oracle,1,50,512,10,1.0,5.287628692737652,616.2056130729075
30,lyapunov_greedy_oracle,1,50,512,10,1.0,10.0730634680582,852.9122731711043
31,lyapunov_greedy_oracle,1,50,512,10,1.0,6.590593202563763,980.6045014904608
32,lyapunov_greedy_oracle,1,50,512,10,1.0,7.473292853096092,1078.2115756633855
33,lyapunov_greedy_oracle,1,50,512,10,1.0,5.536916070895689,1023.0767592743305
34,lyapunov_greedy_oracle,1,50,512,10,1.0,15.97899713447914,1187.8209750726992
35,lyapunov_greedy_oracle,1,50,512,10,1.0,15.90825945555967,1030.15238548712
36,lyapunov_greedy_oracle,1,50,512,10,1.0,11.593631898542718,857.7416129571872
37,lyapunov_greedy_oracle,1,50,512,10,1.0,8.830775055436394,684.3975130788181
38,lyapunov_greedy_oracle,1,50,512,10,1.0,19.901657095697217,1269.816301237161
39,lyapunov_greedy_oracle,1,50,512,10,1.0,6.746960561033564,1197.7436104273272
40,lyapunov_greedy_oracle,1,50,512,10,1.0,16.099672898470867,664.0170601792279
41,lyapunov_greedy_oracle,1,50,512,10,1.0,13.323369938512332,904.3478550759125
42,lyapunov_greedy_oracle,1,50,512,10,1.0,12.0375694953435,1204.811242582258
43,lyapunov_greedy_oracle,1,50,512,10,1.0,4.179590723691443,1007.8113618500711
44,lyapunov_greedy_oracle,1,50,512,10,1.0,8.489869266566528,911.2391444839643
45,lyapunov_greedy_oracle,1,50,512,10,1.0,10.626345909607615,987.080322428006
46,lyapunov_greedy_oracle,1,50,512,10,1.0,9.786718271440217,966.5746206235476
47,lyapunov_greedy_oracle,1,50,512,10,1.0,13.60472104493923,1020.1607806991044
48,lyapunov_greedy_oracle,1,50,512,10,1.0,14.786105733435999,1448.3415669988642
49,lyapunov_greedy_oracle,1,50,512,10,1.0,4.35566948415244,1024.3240471460726
50,lyapunov_greedy_oracle,1,50,512,10,1.0,11.015072912199706,1039.2205032823701
51,lyapunov_greedy_oracle,1,50,512,10,1.0,7.190586243340249,739.407157665036
52,lyapunov_greedy_oracle,1,50,512,10,1.0,2.9663870683468376,1139.3245286141548
53,lyapunov_greedy_oracle,1,50,512,10,1.0,13.73932951160435,1322.7064058885335
54,lyapunov_greedy_oracle,1,50,512,10,1.0,16.394140450583404,1184.4701587544118
55,lyapunov_greedy_oracle,1,50,512,10,1.0,14.546935966314187,883.9268994597212
56,lyapunov_greedy_oracle,1,50,512,10,1.0,5.252090469545427,730.7019169547063
57,lyapunov_greedy_oracle,1,50,512,10,1.0,7.667099007460569,901.1933784596571
58,lyapunov_greedy_oracle,1,50,512,10,1.0,7.615887227164661,991.8672134391703
59,lyapunov_greedy_oracle,1,50,512,10,1.0,10.796738740066415,1121.5842309301695
60,lyapunov_greedy_oracle,1,50,512,10,1.0,15.58886308950665,1218.7933714371097
61,lyapunov_greedy_oracle,1,50,512,10,1.0,12.648841919467111,883.4205319951832
62,lyapunov_greedy_oracle,1,50,512,10,1.0,8.322054237580108,949.3145401756435
63,lyapunov_greedy_oracle,1,50,512,10,1.0,7.877448094786455,1044.106269210899
64,lyapunov_greedy_oracle,1,50,512,10,1.0,9.769216452537146,633.9452773772462
65,lyapunov_greedy_oracle,1,50,512,10,1.0,7.897008935134158,986.1188248650838
66,lyapunov_greedy_oracle,1,50,512,10,1.0,15.374585189939047,1000.0166789813975
67,lyapunov_greedy_oracle,1,50,512,10,1.0,4.252022155875457,962.6076484325479
68,lyapunov_greedy_oracle,1,50,512,10,1.0,7.16575121930225,1249.8278645400326
69,lyapunov_greedy_oracle,1,50,512,10,1.0,13.152878988691175,1042.2703495565845
70,lyapunov_greedy_oracle,1,50,512,10,1.0,5.076615519717004,782.9260398949409
71,lyapunov_greedy_oracle,1,50,512,10,1.0,0.6074400039345491,888.4245145969697
72,lyapunov_greedy_oracle,1,50,512,10,1.0,19.18078994503921,915.6180254565851
73,lyapunov_greedy_oracle,1,50,512,10,1.0,17.48522926040537,1102.4503836980907
74,lyapunov_greedy_oracle,1,50,512,10,1.0,11.727748944267423,839.5939145229829
75,lyapunov_greedy_oracle,1,50,512,10,1.0,15.49089837210769,1203.0519845350068
76,lyapunov_greedy_oracle,1,50,512,10,1.0,5.129867400490512,1079.2897317739698
77,lyapunov_greedy_oracle,1,50,512,10,1.0,13.817659444689202,849.78997977275
78,lyapunov_greedy_oracle,1,50,512,10,1.0,16.430495021753362,912.3152257814584
79,lyapunov_greedy_oracle,1,50,512,10,1.0,15.386960459426497,917.7334462732948
80,lyapunov_greedy_oracle,1,50,512,10,1.0,8.081090485307563,988.4660675150486
81,lyapunov_greedy_oracle,1,50,512,10,1.0,18.558708738687017,1281.2176586053197
82,lyapunov_greedy_oracle,1,50,512,10,1.0,14.782530011962375,670.0419842231418
83,lyapunov_greedy_oracle,1,50,512,10,1.0,12.785283892747959,987.7652374976373
84,lyapunov_greedy_oracle,1,50,512,10,1.0,9.922416394248947,1030.8368625475384
85,lyapunov_greedy_oracle,1,50,512,10,1.0,8.072645963769052,1235.9001638051789
86,lyapunov_greedy_oracle,1,50,512,10,1.0,14.450565001526279,890.1051839757918
87,lyapunov_greedy_oracle,1,50,512,10,1.0,6.510859383536283,1121.017107879297
