t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,1,100,128,50,1.0,8.026974994317904,885.3597779271117
2,safe_linucb,1,100,128,50,1.0,10.283860266325386,1432.6287127926785
3,safe_linucb,1,100,128,50,1.0,7.388456029652177,927.7180929505014
4,safe_linucb,1,100,128,50,1.0,5.113925027492031,930.2989768635338
5,safe_linucb,1,100,128,50,1.0,17.271623330121066,1214.8292460098273
6,safe_linucb,1,100,128,50,1.0,7.127183537821867,1082.2494648168922
7,safe_linucb,1,100,128,50,1.0,11.699945923522746,1362.1357751398098
8,safe_linucb,1,100,128,50,1.0,8.053050668553796,1136.7937918968962
9,safe_linucb,1,100,128,50,1.0,13.36679888430494,954.3407371684327
10,safe_linucb,1,100,128,50,1.0,10.803999276970261,1082.100118832404
11,safe_linucb,1,100,128,50,1.0,6.628106172062356,618.9376317224508
12,safe_linucb,1,100,128,50,1.0,10.954061292555373,977.1391300633442
13,safe_linucb,1,100,128,50,1.0,13.054472329324373,1271.806773340177
14,safe_linucb,1,100,128,50,1.0,8.141839703765088,1061.4276291205488
15,safe_linucb,1,100,128,50,1.0,10.667073934139367,1030.9341838557352
16,safe_linucb,1,100,128,50,1.0,12.994067269289362,943.1406169370516
17,safe_linucb,1,100,128,50,1.0,15.632879020941726,984.9586712135089
18,safe_linucb,1,100,128,50,1.0,1.8542583599377878,821.3453823263183
19,safe_linucb,1,100,128,50,1.0,9.639605590000789,1290.8667985019524
20,safe_linucb,1,100,128,50,1.0,5.020698212397511,1019.2531131110063
21,safe_linucb,1,100,128,50,1.0,14.965047455087477,655.0605318603469
22,safe_linucb,1,100,128,50,1.0,10.000841351144752,1151.6734360916073
23,safe_linucb,1,100,128,50,1.0,6.5968230503205065,935.5716500014232
24,safe_linucb,1,100,128,50,1.0,17.276879856799212,740.8776513084213
25,safe_linucb,1,100,128,50,1.0,7.878841073761819,658.9256551537594
26,safe_linucb,1,100,128,50,1.0,12.078498849980743,1071.1464236665563
27,safe_linucb,1,100,128,50,1.0,6.710827621631246,867.5925924113102
28,safe_linucb,1,100,128,50,1.0,8.83237527433135,1111.104436990996
29,safe_linucb,1,100,128,50,1.0,11.01837244450808,947.2393494297346
30,safe_linucb,1,100,128,50,1.0,10.355156574414861,1291.8628728916287
31,safe_linucb,1,100,128,50,1.0,17.251402724789635,932.9735720760374
32,safe_linucb,1,100,128,50,1.0,8.758100729641367,1151.5528787784046
33,safe_linucb,1,100,128,50,1.0,9.218054537817807,985.9839168373454
34,safe_linucb,1,100,128,50,1.0,0.19140216447302727,678.010519739558
35,safe_linucb,1,100,128,50,1.0,16.891283225406745,1062.1626118046674
36,safe_linucb,1,100,128,50,1.0,11.860793805145974,712.7427552327968
37,safe_linucb,1,100,128,50,1.0,10.071187942497376,1008.4948490560001
38,safe_linucb,1,100,128,50,1.0,10.046034159509299,997.2934240464066
39,safe_linucb,1,100,128,50,1.0,-0.5977472066428096,1202.9956208067024
40,safe_linucb,1,100,128,50,1.0,14.135822296434227,903.268783965597
41,safe_linucb,1,100,128,50,1.0,10.283172185532438,955.7570583120495
42,safe_linucb,1,100,128,50,1.0,10.395330591095458,762.3126721365677
43,safe_linucb,1,100,128,50,1.0,4.337200155336857,1015.3563985027041
44,safe_linucb,1,100,128,50,1.0,14.890492662298055,1237.661665808138
45,safe_linucb,1,100,128,50,1.0,13.60036043329228,1070.6520105038635
46,safe_linucb,1,100,128,50,1.0,7.84434436853901,685.2158860262111
47,safe_linucb,1,100,128,50,1.0,17.58056931914265,986.2898866591449
