t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,3,100,128,10,1.0,7.848464191340838,990.6617305532088
2,sw_ucb,3,100,128,10,1.0,6.802320578293662,1112.5018823444334
3,sw_ucb,3,100,128,10,1.0,14.959466080687733,1208.5500138655045
4,sw_ucb,3,100,128,10,1.0,10.468145500233854,895.5573416243303
5,sw_ucb,3,100,128,10,1.0,9.118587521122077,969.9061091116263
6,sw_ucb,3,100,128,10,1.0,5.403572800728008,786.3381389627073
7,sw_ucb,3,100,128,10,1.0,12.079901244509363,944.0771092716611
8,sw_ucb,3,100,128,10,1.0,9.751579655425425,1094.7218356979965
9,sw_ucb,3,100,128,10,1.0,20.380416478071638,1109.485872797475
10,sw_ucb,3,100,128,10,1.0,7.666045672902564,789.1516958124453
11,sw_ucb,3,100,128,10,1.0,8.202519164297163,1148.6602639747832
12,sw_ucb,3,100,128,10,1.0,10.585729306151604,977.4511818504889
13,sw_ucb,3,100,128,10,1.0,12.932342874369493,1113.0703199330285
14,sw_ucb,3,100,128,10,1.0,13.797549225395898,799.0930767739337
15,sw_ucb,3,100,128,10,1.0,18.577548083851546,930.4903516829623
16,sw_ucb,3,100,128,10,1.0,16.90632600838709,850.5796946685798
17,sw_ucb,3,100,128,10,1.0,16.212722296397953,1161.2786425460808
18,sw_ucb,3,100,128,10,1.0,19.020145522625832,1121.4918197682182
19,sw_ucb,3,100,128,10,1.0,6.031990776196052,1145.6241669616652
20,sw_ucb,3,100,128,10,1.0,11.537614487055741,894.5163294676938
21,sw_ucb,3,100,128,10,1.0,12.677791418625182,715.2873320903257
22,sw_ucb,3,100,128,10,1.0,11.372950836850668,987.5512023132201
23,sw_ucb,3,100,128,10,1.0,14.305589885911925,888.1710069448048
24,sw_ucb,3,100,128,10,1.0,16.390587418276397,1110.099260881329
25,sw_ucb,3,100,128,10,1.0,5.689156949878237,1015.4814820397582
26,sw_ucb,3,100,128,10,1.0,16.94516391941456,912.9455360849074
27,sw_ucb,3,100,128,10,1.0,11.976264198790323,896.2149203439171
28,sw_ucb,3,100,128,10,1.0,18.00219354468116,1110.0256306814103
29,sw_ucb,3,100,128,10,1.0,3.718277712164367,1219.6926164600156
30,sw_ucb,3,100,128,10,1.0,2.076376472619181,1056.548979993561
31,sw_ucb,3,100,128,10,1.0,3.873650319934269,877.1597708502777
32,sw_ucb,3,100,128,10,1.0,16.46965298738992,866.6174031233969
33,sw_ucb,3,100,128,10,1.0,6.370864223485652,1216.318459610488
34,sw_ucb,3,100,128,10,1.0,1.6559393754255947,1073.3402074460826
35,sw_ucb,3,100,128,10,1.0,8.767963139940985,960.6976696220243
36,sw_ucb,3,100,128,10,1.0,14.907918863976578,973.2654595820513
37,sw_ucb,3,100,128,10,1.0,11.312434031696775,1074.8049394994587
38,sw_ucb,3,100,128,10,1.0,-1.8702382045559958,846.4812695627555
39,sw_ucb,3,100,128,10,1.0,5.39272555295682,783.589013242342
40,sw_ucb,3,100,128,10,1.0,7.203792547861022,692.7491281494695
41,sw_ucb,3,100,128,10,1.0,5.578878441529324,778.5840167350046
42,sw_ucb,3,100,128,10,1.0,18.153394140320458,1218.2027812900196
43,sw_ucb,3,100,128,10,1.0,12.979209763183558,860.6322559905005
44,sw_ucb,3,100,128,10,1.0,10.339268904002285,823.7337630746174
45,sw_ucb,3,100,128,10,1.0,12.154013849398778,766.3282299293628
46,sw_ucb,3,100,128,10,1.0,15.577054648509446,1276.2477575695566
47,sw_ucb,3,100,128,10,1.0,12.975255809434366,1045.6318867213613
48,sw_ucb,3,100,128,10,1.0,2.9195647776803693,1197.2772053233398
49,sw_ucb,3,100,128,10,1.0,2.447047406950987,1060.0931117819125
50,sw_ucb,3,100,128,10,1.0,14.039174530329166,981.0786645464315
51,sw_ucb,3,100,128,10,1.0,7.268025062096847,1654.1817289939768
52,sw_ucb,3,100,128,10,1.0,5.462486993776014,1076.4655800891992
53,sw_ucb,3,100,128,10,1.0,9.280144940561067,1189.117817110215
54,sw_ucb,3,100,128,10,1.0,13.478827127441118,1043.354049491411
55,sw_ucb,3,100,128,10,1.0,6.224359666134095,880.0216753122428
56,sw_ucb,3,100,128,10,1.0,22.975757708321638,716.7240937989327
57,sw_ucb,3,100,128,10,1.0,-0.7787680980659388,1251.8805504615248
58,sw_ucb,3,100,128,10,1.0,15.37602098042904,1062.5722234490554
59,sw_ucb,3,100,128,10,1.0,16.608679437817894,1129.635370303052
60,sw_ucb,3,100,128,10,1.0,3.678007781000514,1169.1094698496636
61,sw_ucb,3,100,128,10,1.0,9.921980878993972,389.11629261070084
62,sw_ucb,3,100,128,10,1.0,15.777534616700109,1079.0915706371634
63,sw_ucb,3,100,128,10,1.0,4.483393164316166,1019.4438528702865
64,sw_ucb,3,100,128,10,1.0,13.659065009759125,1317.377245007553
65,sw_ucb,3,100,128,10,1.0,0.07005076604466964,1094.5734749341543
66,sw_ucb,3,100,128,10,1.0,12.854082374933668,1211.626094662868
67,sw_ucb,3,100,128,10,1.0,21.756671114419817,991.7788469696773
68,sw_ucb,3,100,128,10,1.0,8.93067443972309,816.719395497397
69,sw_ucb,3,100,128,10,1.0,11.860213554741337,724.1770006896173
70,sw_ucb,3,100,128,10,1.0,3.703896980722882,1072.5811823692475
71,sw_ucb,3,100,128,10,1.0,-0.1471033293696884,854.6296507521572
72,sw_ucb,3,100,128,10,1.0,19.304765950954764,1250.962341025353
73,sw_ucb,3,100,128,10,1.0,12.262444535777218,1322.7869333520002
74,sw_ucb,3,100,128,10,1.0,11.163628528355442,985.3736894157342
75,sw_ucb,3,100,128,10,1.0,6.735225203168444,841.2344844774694
76,sw_ucb,3,100,128,10,1.0,5.878507574233822,1350.9886206087922
77,sw_ucb,3,100,128,10,1.0,17.32759185858413,1392.8867992627017
78,sw_ucb,3,100,128,10,1.0,14.393266242723037,1113.4065426437487
79,sw_ucb,3,100,128,10,1.0,-0.35161756638507313,1034.3600438952387
80,sw_ucb,3,100,128,10,1.0,8.612969591030058,1213.6321480794604
81,sw_ucb,3,100,128,10,1.0,12.055461517666073,1043.960088649687
82,sw_ucb,3,100,128,10,1.0,13.542129479414061,1086.315976726718
83,sw_ucb,3,100,128,10,1.0,9.688277621937953,761.7289057481048
84,sw_ucb,3,100,128,10,1.0,10.41157086348625,1290.6158336656458
85,sw_ucb,3,100,128,10,1.0,5.380369486800743,572.1371360830198
86,sw_ucb,3,100,128,10,1.0,3.897462226744092,1167.3580782976792
87,sw_ucb,3,100,128,10,1.0,12.043077021069063,946.7767583384422
88,sw_ucb,3,100,128,10,1.0,5.332935278100596,657.127539363862
89,sw_ucb,3,100,128,10,1.0,7.482915327864017,1047.3766197794923
90,sw_ucb,3,100,128,10,1.0,11.112231487071558,1025.3525250960631
91,sw_ucb,3,100,128,10,1.0,7.305568178761062,847.7033676366245
92,sw_ucb,3,100,128,10,1.0,14.589320009955133,720.8232690074883
93,sw_ucb,3,100,128,10,1.0,6.405314569741236,1013.0943566127053
94,sw_ucb,3,100,128,10,1.0,13.445831534753697,870.4062758429823
95,sw_ucb,3,100,128,10,1.0,17.637464140178075,1287.6239666875463
96,sw_ucb,3,100,128,10,1.0,14.08690180442401,974.4570082417854
97,sw_ucb,3,100,128,10,1.0,9.02966183963844,1005.839550401324
98,sw_ucb,3,100,128,10,1.0,5.682489682859414,1332.0939460107866
99,sw_ucb,3,100,128,10,1.0,15.867602912994085,1062.6074096329353
100,sw_ucb,3,100,128,10,1.0,2.2736828030067304,1091.743904708117
101,sw_ucb,3,100,128,10,1.0,5.496814869497607,868.9270418859066
102,sw_ucb,3,100,128,10,1.0,10.355061174926744,1033.0295982218308
