t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.004,0.8,17889.646883187554,400.0,0.08,0.0,0.14305037865721384,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.006141521345805304,0.2,1,0,0,0,0,17889.646883187554,0.0,0.0,0.0,0.2,5.0,17889.646883187554,7.0882920609921065,0.000671080284747112,4.5,0.14305037865721384,0.14305037865721384,0.2,1,0,0,357.55282987726315,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.626100002904423
2,0.004,0.8,17479.65136667686,400.0,0.08,0.0,0.2234035948408034,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.008824209388570585,0.2,1,0,0,0,0,17479.65136667686,0.0,0.0,0.0,0.2,5.0,17479.65136667686,5.514293668689014,0.004420146904806783,4.5,0.2234035948408034,0.2234035948408034,0.2,1,0,0,348.04777479582685,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.207500002346933
3,0.004,0.8,17971.474141315295,400.0,0.08,0.0,0.0796552873945917,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004492956052264895,0.2,1,0,0,0,0,17971.474141315295,0.0,0.0,0.0,0.2,5.0,17971.474141315295,8.445730011698268,0.0001316968694801157,4.5,0.0796552873945917,0.0796552873945917,0.2,1,0,0,359.3821470886188,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.183499994222075
4,0.004,0.8,17969.867188848202,400.0,0.08,0.0,0.08193778502155856,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004550105618903341,0.2,1,0,0,0,0,17969.867188848202,0.0,0.0,0.0,0.2,5.0,17969.867188848202,8.390836939488516,0.0001406628029599278,4.5,0.08193778502155856,0.08193778502155856,0.2,1,0,0,359.34678993921204,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.193099994561635
5,0.004,0.8,17979.232707606017,400.0,0.08,0.0,0.06705346167781055,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004175859088856162,0.2,1,0,0,0,0,17979.232707606017,0.0,0.0,0.0,0.2,5.0,17979.232707606017,8.76359336434055,8.993692396470297e-05,4.5,0.06705346167781055,0.06705346167781055,0.2,1,0,0,359.552314214421,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.110800008173101
6,0.004,0.8,17979.090234906947,400.0,0.08,0.0,0.06731331477471945,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004182445869131384,0.2,1,0,0,0,0,17979.090234906947,0.0,0.0,0.0,0.2,5.0,17979.090234906947,8.756748428833681,9.067863391419109e-05,4.5,0.06731331477471945,0.06731331477471945,0.2,1,0,0,359.5491983113085,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.173799993121065
7,0.004,0.8,17000.211876488967,400.0,0.08,0.0,0.25632602596169407,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.01032194168441019,0.2,1,0,0,0,0,17000.211876488967,0.0,0.0,0.0,0.2,5.0,17000.211876488967,4.833437706239389,0.009950567908771139,4.5,0.25632602596169407,0.25632602596169407,0.2,1,0,0,336.6210022749694,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.151299996417947
8,0.004,0.8,17478.291840131067,400.0,0.08,0.0,0.22353732828028272,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.008829670851892474,0.2,1,0,0,0,0,17478.291840131067,0.0,0.0,0.0,0.2,5.0,17478.291840131067,5.5116065727903525,0.004434359434921609,4.5,0.22353732828028272,0.22353732828028272,0.2,1,0,0,348.01573623606936,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.14339999447111
9,0.004,0.8,17846.555055624693,400.0,0.08,0.0,0.15997630506960073,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.006629530572169965,0.2,1,0,0,0,0,17846.555055624693,0.0,0.0,0.0,0.2,5.0,17846.555055624693,6.756223940373848,0.0009992870181875994,4.5,0.15997630506960073,0.15997630506960073,0.2,1,0,0,356.5744244967647,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,7.012400004896335
10,0.004,0.8,14765.979509716388,400.0,0.08,0.0,0.3128313858809397,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.013971569522768226,0.2,1,0,0,0,0,14765.979509716388,0.0,0.0,0.0,0.2,5.0,14765.979509716388,3.518599755939915,0.04642766799455245,4.420120858805875,0.3128313858809397,0.3128313858809397,0.2,1,0,0,281.6085903084982,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.024400005117059
11,0.004,0.8,17848.852077088566,400.0,0.08,0.0,0.15919588556167913,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0066063506616622246,0.2,1,0,0,0,0,17848.852077088566,0.0,0.0,0.0,0.2,5.0,17848.852077088566,6.771435496504527,0.0009812293762701517,4.5,0.15919588556167913,0.15919588556167913,0.2,1,0,0,356.6267651819566,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.066800007829443
