t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.02190642171890592,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.22027388920020938,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,5.551115123125783e-17,1.095321085945296,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301327379970182,0.15000000000000005,0.15000000000000005,1.095321085945296,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.53980000060983
2,0.01990825214550986,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.20018185459678464,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,8.326672684688674e-17,0.9954126072754929,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040721532656053,0.15000000000000002,0.15000000000000002,0.9954126072754929,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.213799998979084
3,0.03155322540638789,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.31727462231212095,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,1.1102230246251565e-16,1.5776612703193946,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301430368848394,0.15000000000000002,0.15000000000000002,1.5776612703193946,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.074900011299178
4,0.02673164036522981,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2687925241057834,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.3877787807814457e-16,1.3365820182614905,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040924905934915,0.15000000000000002,0.15000000000000002,1.3365820182614905,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.107000000658445
5,0.018648650575971582,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.18751628373701112,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,1.942890293094024e-16,0.9324325287985791,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3015777304491163,0.15000000000000005,0.15000000000000005,0.9324325287985791,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.037800005287863
6,0.019327432377594815,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.1943415840658565,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.220446049250313e-16,0.9663716188797407,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301551941028589,0.15000000000000002,0.15000000000000002,0.9663716188797407,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.019599997671321
7,0.016123964464392508,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.16213000952284654,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,2.498001805406602e-16,0.8061982232196253,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040887415178113,0.15000000000000002,0.15000000000000002,0.8061982232196253,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.039200008264743
8,0.017541953344042835,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.17638819962669453,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,3.0531133177191805e-16,0.8770976672021417,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301541231536858,0.15000000000000005,0.15000000000000005,0.8770976672021417,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0935999936191365
9,0.01950785749559671,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.19615579831598143,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,3.608224830031759e-16,0.9753928747798355,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.040913337804163,0.15000000000000005,0.15000000000000005,0.9753928747798355,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.0380999998888
10,0.030885342775045142,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.3105589155379666,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,3.885780586188048e-16,1.544267138752257,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041166596291286,0.15000000000000002,0.15000000000000002,1.544267138752257,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.077300007338636
