t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012480531771694182,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.12549449234172594,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.624026588584709,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152065177529014,0.25,0.25,0.624026588584709,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.6759000037563965
2,0.02059033025123922,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.20704029998851436,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.029516512561961,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152107099160432,0.25,0.25,1.029516512561961,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.28129999677185
3,0.017993467518490767,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.18092827397159925,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8996733759245383,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.855714142218024,0.25,0.25,0.8996733759245383,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.390100002638064
4,0.017380148551995548,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.17476121685000823,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8690074275997773,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152328291332019,0.25,0.25,0.8690074275997773,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.194399989908561
5,0.01655778039562792,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.16649212413911751,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8278890197813961,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523243031810235,0.25,0.25,0.8278890197813961,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.214799999725074
6,0.015498303012730037,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.155838845997888,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.7749151506365018,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1523154634248494,0.25000000000000006,0.25000000000000006,0.7749151506365018,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.309999997029081
7,0.01623378058862423,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.16323423480855528,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,0.8116890294312115,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152310862790835,0.25000000000000006,0.25000000000000006,0.8116890294312115,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.193499997607432
8,0.025010563909059615,0.08,1988.1195096929553,1200.0,0.08,0.0,0.2499999999999999,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2514867217490096,0.2,1,0,0,0,0,1988.1195096929553,0.0,0.0,1.1102230246251565e-16,1.2505281954529808,1.0,1988.1195096929553,4.967764082186452,0.00848178077309866,3.1523706131518527,0.2499999999999999,0.2499999999999999,1.2505281954529808,1,0,0,39.42513431722038,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.297299987636507
9,0.018959446664585832,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1906414067747088,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.9479723332292916,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523770240327185,0.25,0.25,0.9479723332292916,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.619300009333529
10,0.02590108572515823,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2604411145004458,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.2950542862579115,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152440414241111,0.25,0.25,1.2950542862579115,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.140400000731461
