q_bps,S_eff_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER_clip,sWER,P_tx_W,E_slot_J,violate_lat,violate_eng,violate_sem,arrivals_bps,delta_queue_used,Q_t_used,energy_budget_per_slot_j,semantic_budget,latency_budget_q_bps,action_in_guard_set,fallback_used,feasible_set_nonempty,t,algorithm,seed,V
2541970.6574859642,2541970.6574859642,0.0,0.0,0.0,1.6,2.0,2541970.6574859642,4.512530762846135,0.8682059439906603,3.915786146900638,0.27105346327484053,0.27105346327484053,0.27105346327484053,1.6,0.032,0,0,0,400.0,0.08,0.0,0.5,0.3,400.0,1,0,1,1,lagrangian_ppo,2027,800.0
2804955.1410255115,2804955.1410255115,2541570.6574859642,0.0,0.0,1.6,3.0,2804955.1410255115,4.370545728122918,0.9128469177638344,3.890455362742543,0.2773861593143642,0.2773861593143642,0.2773861593143642,1.6,0.032,0,0,0,400.0,0.08,2541570.6574859642,0.5,0.3,400.0,1,0,1,2,lagrangian_ppo,2027,800.0
2959971.410710253,2959971.410710253,5346125.798511475,0.0,0.0,1.1692307692307693,3.0,2959971.410710253,4.690505558192703,0.9065049269154084,3.948181170694644,0.262954707326339,0.262954707326339,0.262954707326339,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,5346125.798511475,0.5,0.3,400.0,1,0,1,3,lagrangian_ppo,2027,800.0
2704419.649571626,2704419.649571626,8305697.209221728,0.0,0.0,0.7384615384615385,3.0,2704419.649571626,4.156272206409044,0.9168629707031474,3.853122622003415,0.28671934449914627,0.28671934449914627,0.28671934449914627,0.7384615384615385,0.01476923076923077,0,0,0,400.0,0.08,8305697.209221728,0.5,0.3,400.0,1,0,1,4,lagrangian_ppo,2027,800.0
2803699.100032231,2803699.100032231,11009716.858793354,0.0,0.0,0.9538461538461538,3.0,2803699.100032231,4.3679027919087225,0.9128975600786237,3.889988273130354,0.27750293171741147,0.27750293171741147,0.27750293171741147,0.9538461538461538,0.019076923076923075,0,0,0,400.0,0.08,11009716.858793354,0.5,0.3,400.0,1,0,1,5,lagrangian_ppo,2027,800.0
4270103.521203114,4270103.521203114,13813015.958825585,0.0,0.0,1.4923076923076923,3.0,4270103.521203114,7.0297537544335515,0.8451755728645555,4.415945048099189,0.14601373797520256,0.14601373797520256,0.14601373797520256,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,13813015.958825585,0.5,0.3,400.0,1,0,1,6,lagrangian_ppo,2027,800.0
3198495.7107722606,3198495.7107722606,18082719.480028696,0.0,0.0,1.6,3.0,3198495.7107722606,5.160831420346126,0.8963843134209007,4.036986351054855,0.24075341223628624,0.24075341223628624,0.24075341223628624,1.6,0.032,0,0,0,400.0,0.08,18082719.480028696,0.5,0.3,400.0,1,0,1,7,lagrangian_ppo,2027,800.0
2488498.1876958,2488498.1876958,21280815.190800957,0.0,0.0,1.6,2.0,2488498.1876958,4.37418282437856,0.8720615952088914,3.891098418233318,0.27722539544167046,0.27722539544167046,0.27722539544167046,1.6,0.032,0,0,0,400.0,0.08,21280815.190800957,0.5,0.3,400.0,1,0,1,8,lagrangian_ppo,2027,800.0
3568140.447861751,3568140.447861751,23768913.37849676,0.0,0.0,1.4923076923076923,3.0,3568140.447861751,5.845169097197843,0.8798052182473023,4.172965008779353,0.2067587478051618,0.2067587478051618,0.2067587478051618,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,23768913.37849676,0.5,0.3,400.0,1,0,1,9,lagrangian_ppo,2027,800.0
2702327.3783450685,2702327.3783450685,27336653.82635851,0.0,0.0,1.276923076923077,3.0,2702327.3783450685,4.151752689657193,0.9169457480945402,3.8523470141278158,0.28691324646804606,0.28691324646804606,0.28691324646804606,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,27336653.82635851,0.5,0.3,400.0,1,0,1,10,lagrangian_ppo,2027,800.0
