t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,3,400,256,25,1.0,14.825137066707676,1049.5184986792872
2,lyapunov_greedy_oracle,3,400,256,25,1.0,6.289413534322355,1074.7676828430604
3,lyapunov_greedy_oracle,3,400,256,25,1.0,6.491612325921169,809.9734609034617
4,lyapunov_greedy_oracle,3,400,256,25,1.0,8.207694278160167,843.473853841125
5,lyapunov_greedy_oracle,3,400,256,25,1.0,7.7938824730754295,875.1245996033666
6,lyapunov_greedy_oracle,3,400,256,25,1.0,16.16940861822108,865.4459541971213
7,lyapunov_greedy_oracle,3,400,256,25,1.0,10.55095314511599,1097.496161033829
8,lyapunov_greedy_oracle,3,400,256,25,1.0,12.12421015415687,1132.0943418273982
9,lyapunov_greedy_oracle,3,400,256,25,1.0,7.842313051638747,982.1241932141354
10,lyapunov_greedy_oracle,3,400,256,25,1.0,11.60032113999839,1301.69684332149
11,lyapunov_greedy_oracle,3,400,256,25,1.0,18.207781607761575,687.5573394348175
12,lyapunov_greedy_oracle,3,400,256,25,1.0,15.676401366684905,1005.2693147191941
13,lyapunov_greedy_oracle,3,400,256,25,1.0,13.637635254702383,1164.109348805402
14,lyapunov_greedy_oracle,3,400,256,25,1.0,13.001446990436602,987.1963675475773
15,lyapunov_greedy_oracle,3,400,256,25,1.0,7.9214240976139045,1083.2568283472854
16,lyapunov_greedy_oracle,3,400,256,25,1.0,11.720136077216774,824.4837189988898
17,lyapunov_greedy_oracle,3,400,256,25,1.0,15.432638343022404,1019.512713908144
18,lyapunov_greedy_oracle,3,400,256,25,1.0,14.278650154911126,978.1742013383745
19,lyapunov_greedy_oracle,3,400,256,25,1.0,5.865357384946443,913.0139777677099
20,lyapunov_greedy_oracle,3,400,256,25,1.0,6.1978657585270645,1122.5078361796282
21,lyapunov_greedy_oracle,3,400,256,25,1.0,4.02651645226459,912.3237740642836
22,lyapunov_greedy_oracle,3,400,256,25,1.0,7.249161086201909,1027.5273494710277
23,lyapunov_greedy_oracle,3,400,256,25,1.0,8.496287479832919,1191.992890477382
24,lyapunov_greedy_oracle,3,400,256,25,1.0,2.6071090359786115,1041.3611373524047
25,lyapunov_greedy_oracle,3,400,256,25,1.0,7.0450441844613545,696.046536230258
26,lyapunov_greedy_oracle,3,400,256,25,1.0,6.851657352828521,1145.3769160569393
27,lyapunov_greedy_oracle,3,400,256,25,1.0,8.001154548046093,1059.0152757374235
28,lyapunov_greedy_oracle,3,400,256,25,1.0,12.34435851559983,939.9017954923651
29,lyapunov_greedy_oracle,3,400,256,25,1.0,12.19010808863497,1298.5974774268916
30,lyapunov_greedy_oracle,3,400,256,25,1.0,16.984632941291494,969.6385355123717
31,lyapunov_greedy_oracle,3,400,256,25,1.0,14.751382680074169,1021.6202895332628
32,lyapunov_greedy_oracle,3,400,256,25,1.0,-1.0402397641807504,975.2986798639631
33,lyapunov_greedy_oracle,3,400,256,25,1.0,10.581233287373035,747.7712435667272
34,lyapunov_greedy_oracle,3,400,256,25,1.0,0.21572981374510647,1176.292205071933
35,lyapunov_greedy_oracle,3,400,256,25,1.0,7.876806808439633,881.9487784720066
36,lyapunov_greedy_oracle,3,400,256,25,1.0,6.8954579076041504,648.4362263870883
37,lyapunov_greedy_oracle,3,400,256,25,1.0,6.237319283506921,984.4194128684529
