t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,1,800,64,10,1.0,9.252720180598477,795.2789123131593
2,raucb_plus,1,800,64,10,1.0,3.16041346460997,1037.262149126111
3,raucb_plus,1,800,64,10,1.0,7.271947510464936,963.2968896209613
4,raucb_plus,1,800,64,10,1.0,6.300789601143551,901.1705237847976
5,raucb_plus,1,800,64,10,1.0,8.812425520417062,1148.7327256792573
6,raucb_plus,1,800,64,10,1.0,2.289239570617342,1011.5917708760575
7,raucb_plus,1,800,64,10,1.0,11.438890353355678,719.1137521384019
8,raucb_plus,1,800,64,10,1.0,10.002962037088006,1345.7395126199315
9,raucb_plus,1,800,64,10,1.0,6.158289758322683,772.6404188715818
10,raucb_plus,1,800,64,10,1.0,3.3882114844893874,625.8772176126599
11,raucb_plus,1,800,64,10,1.0,10.284573288175432,903.0370105566853
12,raucb_plus,1,800,64,10,1.0,12.965818830508303,939.4410632146295
13,raucb_plus,1,800,64,10,1.0,17.09693411297319,1166.116753623908
14,raucb_plus,1,800,64,10,1.0,20.111437048624456,1105.7554325822603
15,raucb_plus,1,800,64,10,1.0,11.670765667587233,1049.5867792931535
16,raucb_plus,1,800,64,10,1.0,4.369732494354988,845.1462377540848
17,raucb_plus,1,800,64,10,1.0,8.866301713688866,877.2787779335919
18,raucb_plus,1,800,64,10,1.0,7.220622354652964,965.5739909434427
19,raucb_plus,1,800,64,10,1.0,4.2144454402360925,737.208229211018
20,raucb_plus,1,800,64,10,1.0,7.324483520686116,1313.0315586411607
21,raucb_plus,1,800,64,10,1.0,13.981364036059876,712.520358866905
22,raucb_plus,1,800,64,10,1.0,11.432673510850297,1074.1911172861548
23,raucb_plus,1,800,64,10,1.0,16.22313559414695,1056.3820096944755
24,raucb_plus,1,800,64,10,1.0,13.706218049203464,998.1822018222344
25,raucb_plus,1,800,64,10,1.0,14.717999423577574,942.5415832058934
26,raucb_plus,1,800,64,10,1.0,10.504347200597154,1000.6559838309247
27,raucb_plus,1,800,64,10,1.0,10.57389938696866,863.5172823954913
28,raucb_plus,1,800,64,10,1.0,11.129951321950017,979.2489754110155
29,raucb_plus,1,800,64,10,1.0,16.153482701020586,666.0620894520457
30,raucb_plus,1,800,64,10,1.0,12.553980155451308,1390.4692346072638
31,raucb_plus,1,800,64,10,1.0,9.578204462624493,851.5680293756171
32,raucb_plus,1,800,64,10,1.0,12.55944224142571,1067.7617874751636
33,raucb_plus,1,800,64,10,1.0,9.47880287917035,1231.3095111677546
34,raucb_plus,1,800,64,10,1.0,13.631901386696105,750.6918682942708
35,raucb_plus,1,800,64,10,1.0,6.316510093253517,1034.8631498581738
36,raucb_plus,1,800,64,10,1.0,7.581418885106244,575.9955969080511
37,raucb_plus,1,800,64,10,1.0,-0.2999508494030856,1159.5814313430033
38,raucb_plus,1,800,64,10,1.0,10.722621035095926,1081.8094603315085
39,raucb_plus,1,800,64,10,1.0,6.691909449390424,956.1782716242003
40,raucb_plus,1,800,64,10,1.0,0.13264722645417493,1133.4349447857314
41,raucb_plus,1,800,64,10,1.0,9.535510781968703,977.6573060034805
42,raucb_plus,1,800,64,10,1.0,14.01138086250754,649.2015509246622
43,raucb_plus,1,800,64,10,1.0,13.66668019858087,988.0806424488864
44,raucb_plus,1,800,64,10,1.0,17.57628141979884,1052.1084204940848
45,raucb_plus,1,800,64,10,1.0,10.502699698847694,982.8261197142814
46,raucb_plus,1,800,64,10,1.0,-5.830103051611953,834.1922300794412
47,raucb_plus,1,800,64,10,1.0,13.584883771173885,1255.1156924555637
48,raucb_plus,1,800,64,10,1.0,3.0647136291805532,870.369924388832
49,raucb_plus,1,800,64,10,1.0,10.24227797914716,1104.969719237378
50,raucb_plus,1,800,64,10,1.0,7.963893286648741,923.3291986832694
51,raucb_plus,1,800,64,10,1.0,13.782945030830458,1065.7454267905732
52,raucb_plus,1,800,64,10,1.0,-0.7682663543740951,1017.8624611529933
53,raucb_plus,1,800,64,10,1.0,1.9763040591463383,670.0428993504036
54,raucb_plus,1,800,64,10,1.0,16.063847445738986,948.4025147549644
55,raucb_plus,1,800,64,10,1.0,0.37454450009117757,783.5484760575312
56,raucb_plus,1,800,64,10,1.0,6.212639450627975,1116.3863434414754
57,raucb_plus,1,800,64,10,1.0,15.706331200351482,667.250889781126
58,raucb_plus,1,800,64,10,1.0,3.8734748445257114,819.8588151124591
