t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,3,200,128,25,1.0,6.856404416268932,1002.0557775637219
2,safe_linucb,3,200,128,25,1.0,9.168411638042832,768.039957772987
3,safe_linucb,3,200,128,25,1.0,12.791044492243852,976.8964964452035
4,safe_linucb,3,200,128,25,1.0,9.81975526081222,947.4939296077375
5,safe_linucb,3,200,128,25,1.0,4.967116790676892,1146.0779358256448
6,safe_linucb,3,200,128,25,1.0,1.3643859505197913,1228.4384685532552
7,safe_linucb,3,200,128,25,1.0,6.554314538165525,824.7816951551707
8,safe_linucb,3,200,128,25,1.0,15.482520633946903,509.963047424736
9,safe_linucb,3,200,128,25,1.0,8.501573145300306,994.2792697970003
10,safe_linucb,3,200,128,25,1.0,14.266379421904142,786.5837697713475
11,safe_linucb,3,200,128,25,1.0,16.751790286345013,641.3315838176591
12,safe_linucb,3,200,128,25,1.0,13.801060746425517,717.7409488535884
13,safe_linucb,3,200,128,25,1.0,6.464501422927219,1139.157151959118
14,safe_linucb,3,200,128,25,1.0,7.292106446809231,831.2142097284645
15,safe_linucb,3,200,128,25,1.0,17.86262300275265,667.4200634471363
16,safe_linucb,3,200,128,25,1.0,15.292034274831384,1256.0213183794406
17,safe_linucb,3,200,128,25,1.0,10.888446635842158,1255.7862989455134
18,safe_linucb,3,200,128,25,1.0,8.678877609202328,798.1213996880017
19,safe_linucb,3,200,128,25,1.0,4.667615195879231,999.0534880899867
20,safe_linucb,3,200,128,25,1.0,12.579620751709411,1344.1471125777693
21,safe_linucb,3,200,128,25,1.0,12.091763558085844,1029.682713748062
22,safe_linucb,3,200,128,25,1.0,7.334382418153735,537.8065616874512
23,safe_linucb,3,200,128,25,1.0,13.286314765571678,1020.846671561638
24,safe_linucb,3,200,128,25,1.0,11.350680283620942,904.4365151717125
25,safe_linucb,3,200,128,25,1.0,9.124647596001084,627.9296245306075
26,safe_linucb,3,200,128,25,1.0,11.83340503162836,878.8225035751339
27,safe_linucb,3,200,128,25,1.0,8.389780553584703,699.1666898122699
28,safe_linucb,3,200,128,25,1.0,16.669576664741474,1180.2183828398668
29,safe_linucb,3,200,128,25,1.0,11.342905905154185,1056.6479486319743
30,safe_linucb,3,200,128,25,1.0,16.02570373717198,1242.7008846299977
31,safe_linucb,3,200,128,25,1.0,13.178059666784716,918.2557150828561
32,safe_linucb,3,200,128,25,1.0,8.863497417263991,859.4587446859249
33,safe_linucb,3,200,128,25,1.0,7.608735873580313,870.3274053534258
34,safe_linucb,3,200,128,25,1.0,17.22706169933484,1114.2930556355864
35,safe_linucb,3,200,128,25,1.0,12.601417686800753,1182.1785746936896
36,safe_linucb,3,200,128,25,1.0,6.0922651690469705,893.7076183074295
37,safe_linucb,3,200,128,25,1.0,9.831281776624186,1226.3315951965105
38,safe_linucb,3,200,128,25,1.0,16.973573600010123,1323.740941394351
39,safe_linucb,3,200,128,25,1.0,11.600136736581696,893.9910673761515
40,safe_linucb,3,200,128,25,1.0,8.561507795793798,900.3706198566242
41,safe_linucb,3,200,128,25,1.0,11.187534953288235,1133.8385182911231
42,safe_linucb,3,200,128,25,1.0,0.8131069768367354,1251.0441348959775
43,safe_linucb,3,200,128,25,1.0,9.15628129562969,899.1101155203439
44,safe_linucb,3,200,128,25,1.0,16.58150936024959,793.9421008160907
45,safe_linucb,3,200,128,25,1.0,13.526377243689208,977.6796118141813
46,safe_linucb,3,200,128,25,1.0,9.750563898448242,719.0686412619851
47,safe_linucb,3,200,128,25,1.0,7.636493812550017,908.868874876538
48,safe_linucb,3,200,128,25,1.0,1.5541990280142137,1023.0843013507949
49,safe_linucb,3,200,128,25,1.0,6.63052283167106,977.21798507814
50,safe_linucb,3,200,128,25,1.0,22.182581392765872,1156.3196954506304
51,safe_linucb,3,200,128,25,1.0,16.855916234649165,1145.758167164616
