t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.01817241135216001,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.182727593581917,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9086205676080004,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8583280729771268,0.25,0.25,0.9086205676080004,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.570399993099272
2,0.026365235982284376,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.26510824743627426,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.3182617991142187,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1548048386022414,0.25000000000000006,0.25000000000000006,1.3182617991142187,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.172599998535588
3,0.012270771763299953,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1233853093158286,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6135385881649976,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.154584986813788,0.25,0.25,0.6135385881649976,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.260599999222904
4,0.010469293744467183,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10527105156032689,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5234646872233591,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.154377624614022,0.25,0.25,0.5234646872233591,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.137799995485693
5,0.012749920206403871,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12820325231085627,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,0.6374960103201935,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.154193527783273,0.25000000000000006,0.25000000000000006,0.6374960103201935,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.328699993900955
6,0.01657198919456556,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16663499673798457,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.8285994597282781,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.154040393753787,0.25,0.25,0.8285994597282781,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.261700007598847
7,0.019786863629284925,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19896126636397285,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.9893431814642462,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1539186630955927,0.25,0.25,0.9893431814642462,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.132499998784624
8,0.02001102529532089,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20121526122543065,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.6653345369377348e-16,1.0005512647660446,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1538082078700023,0.25000000000000006,0.25000000000000006,1.0005512647660446,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.180300013511442
9,0.010084043072388483,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10139727130791201,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.5042021536194241,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153662061043955,0.25,0.25,0.5042021536194241,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.097399993450381
10,0.015704124011955766,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15790842142012124,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.7852062005977882,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1535471630208,0.25,0.25,0.7852062005977882,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.251900005736388
