t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.011428749558914335,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11491859082876127,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5714374779457168,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1520248974472027,0.25,0.25,0.5714374779457168,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.558199995197356
2,0.026139223822332646,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2628356454514352,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.3069611911166323,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521189274681327,0.25,0.25,1.3069611911166323,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.248599995160475
3,0.01340612810048798,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13480156703375046,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.670306405024399,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521178455691548,0.25,0.25,0.670306405024399,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.2000000034458935
4,0.022084828336403885,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.22206780698375206,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.1042414168201942,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152166979719635,0.25,0.25,1.1042414168201942,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.299399989075027
5,0.019262114633753425,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19368479978340528,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9631057316876712,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15219162941119,0.25,0.25,0.9631057316876712,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,42.87432841389819,1,0,1,1,1,1,6.080199993448332
6,0.016270125006017433,0.5,3976.2390193859083,2400.0,0.08,0.0,0.25000000000000006,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1635996859202267,0.2,1,0,0,0,0,3976.2390193859083,0.0,0.0,5.551115123125783e-17,0.8135062503008716,2.0,3976.2390193859083,4.967764082186449,0.008481780773098696,3.855738197252364,0.25000000000000006,0.25000000000000006,0.8135062503008716,1,0,1,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,42.87432841389819,12.02405977945746,1,0,1,1,1,1,4.0926999936345965
7,0.017624065069775208,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1772138510912786,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.8812032534887604,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152351789428209,0.25,0.25,0.8812032534887604,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,12.02405977945746,20.598925462237098,1,0,1,1,1,1,6.275500010815449
8,0.011905172501842157,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11970912831998243,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5952586250921078,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523270417846145,0.25,0.25,0.5952586250921078,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,20.598925462237098,29.173791145016743,1,0,1,1,1,1,6.080100007238798
9,0.018031601993250625,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.18131172450385624,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.9015800996625313,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.855917765526621,0.25,0.25,0.9015800996625313,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,29.173791145016743,0.0,1,0,1,1,1,1,4.091599999810569
10,0.01721781505995511,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17312891787859117,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8608907529977555,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856079437538979,0.25,0.25,0.8608907529977555,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,0.0,0.0,1,0,1,1,1,1,4.340700004831888
