t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.01897500048577954,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19079780386822895,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.948750024288977,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524519858663362,0.25,0.25,0.948750024288977,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.508300008135848
2,0.015984186132569547,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16072450764893764,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7992093066284773,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524352357626895,0.25,0.25,0.7992093066284773,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.165700004203245
3,0.013817029027966839,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13893326624657204,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6908514513983419,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524103966518955,0.25,0.25,0.6908514513983419,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.305700007942505
4,0.015518892109459425,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15604587389454294,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7759446054729713,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152394764783449,0.25,0.25,0.7759446054729713,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.069399998523295
5,0.009902886223261208,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.09957569934036052,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.49514431116306035,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152361276583297,0.25,0.25,0.49514431116306035,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1627999966731295
6,0.024194712707840405,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24328315845568899,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2097356353920201,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152409225216111,0.25,0.25,1.2097356353920201,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.090400012908503
7,0.013398632532889533,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13472619745272718,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6699316266444767,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523848919565225,0.25,0.25,0.6699316266444767,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.037400002242066
8,0.01188863853800222,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11954287567654978,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5944319269001109,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523574458588985,0.25,0.25,0.5944319269001109,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.402500002877787
9,0.01730000436879551,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1739553494583926,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8650002184397755,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152355073989696,0.25,0.25,0.8650002184397755,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.3076999940676615
10,0.01122401458790581,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11285993565914865,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5612007293952905,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152328084518154,0.25,0.25,0.5612007293952905,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.132599999546073
11,0.01762459907221096,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17721922060323608,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.881229953610548,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.855905301398999,0.25,0.25,0.881229953610548,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.063200001837686
12,0.015126343913262515,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15209871543186274,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7563171956631257,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524929072048797,0.25,0.25,0.7563171956631257,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.103100007749163
13,0.02116578278740385,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.21282660182354715,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.0582891393701925,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152504863027665,0.25000000000000006,0.25000000000000006,1.0582891393701925,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.139999997685663
