t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,1,200,64,50,1.0,8.823604137918437,1114.8773154088792
2,lyapunov_greedy_oracle,1,200,64,50,1.0,17.628399875628084,661.3113887302629
3,lyapunov_greedy_oracle,1,200,64,50,1.0,19.813849718019114,939.025758339574
4,lyapunov_greedy_oracle,1,200,64,50,1.0,7.167258127415206,1054.1322616847285
5,lyapunov_greedy_oracle,1,200,64,50,1.0,12.374412588184331,1289.2666423728917
6,lyapunov_greedy_oracle,1,200,64,50,1.0,13.28491227185036,914.4794252298756
7,lyapunov_greedy_oracle,1,200,64,50,1.0,11.651194780239022,1135.5768765732025
8,lyapunov_greedy_oracle,1,200,64,50,1.0,2.976103066894603,1021.7334312502524
9,lyapunov_greedy_oracle,1,200,64,50,1.0,11.661996602778526,1024.5850574487365
10,lyapunov_greedy_oracle,1,200,64,50,1.0,10.301788631411837,1125.3360856171766
11,lyapunov_greedy_oracle,1,200,64,50,1.0,5.769559976459019,1104.1773730378893
12,lyapunov_greedy_oracle,1,200,64,50,1.0,14.541446841237391,706.6878002171964
13,lyapunov_greedy_oracle,1,200,64,50,1.0,12.469082823051147,856.9563528167412
14,lyapunov_greedy_oracle,1,200,64,50,1.0,9.27532439076893,938.7349932203317
15,lyapunov_greedy_oracle,1,200,64,50,1.0,6.742750058115526,1283.3655431623538
16,lyapunov_greedy_oracle,1,200,64,50,1.0,12.096099654892011,1135.7984511011753
17,lyapunov_greedy_oracle,1,200,64,50,1.0,9.016208188981448,1131.1057225330633
18,lyapunov_greedy_oracle,1,200,64,50,1.0,6.201394829019495,1402.3109370305203
19,lyapunov_greedy_oracle,1,200,64,50,1.0,12.788666351916099,1273.9637362418691
20,lyapunov_greedy_oracle,1,200,64,50,1.0,2.567503115116403,1054.7650751486415
21,lyapunov_greedy_oracle,1,200,64,50,1.0,7.968629976675041,1007.9370548429476
22,lyapunov_greedy_oracle,1,200,64,50,1.0,12.713366381084656,1026.405098439316
23,lyapunov_greedy_oracle,1,200,64,50,1.0,17.21992796906948,859.1965887162078
24,lyapunov_greedy_oracle,1,200,64,50,1.0,1.3851492759375024,926.4773556985828
25,lyapunov_greedy_oracle,1,200,64,50,1.0,4.541763433703316,1147.07420829518
26,lyapunov_greedy_oracle,1,200,64,50,1.0,1.2779323801303892,1141.8962931685514
27,lyapunov_greedy_oracle,1,200,64,50,1.0,7.319980210154546,1208.0838109030346
28,lyapunov_greedy_oracle,1,200,64,50,1.0,5.515115777887683,821.3484818533561
29,lyapunov_greedy_oracle,1,200,64,50,1.0,4.172344683914256,1084.686091956817
30,lyapunov_greedy_oracle,1,200,64,50,1.0,10.573742844808164,1130.6315018641337
31,lyapunov_greedy_oracle,1,200,64,50,1.0,15.908033094200977,954.2928606737881
32,lyapunov_greedy_oracle,1,200,64,50,1.0,9.246298528738954,979.1193876371703
33,lyapunov_greedy_oracle,1,200,64,50,1.0,8.734528849626134,1360.4379928621445
34,lyapunov_greedy_oracle,1,200,64,50,1.0,9.712241787661128,823.6710929467017
35,lyapunov_greedy_oracle,1,200,64,50,1.0,11.78398364010847,857.8305395112366
36,lyapunov_greedy_oracle,1,200,64,50,1.0,16.669078617234845,908.6381230279889
37,lyapunov_greedy_oracle,1,200,64,50,1.0,5.018032894633483,738.5977706260719
38,lyapunov_greedy_oracle,1,200,64,50,1.0,9.942340094429293,934.2245754738474
39,lyapunov_greedy_oracle,1,200,64,50,1.0,8.109243170615805,1175.3158537740953
40,lyapunov_greedy_oracle,1,200,64,50,1.0,13.507780026305975,1039.4855741984375
41,lyapunov_greedy_oracle,1,200,64,50,1.0,13.492608170623303,1259.9335219590953
42,lyapunov_greedy_oracle,1,200,64,50,1.0,8.930042196817533,926.7378957732618
43,lyapunov_greedy_oracle,1,200,64,50,1.0,10.950340902062743,1206.6855273983015
44,lyapunov_greedy_oracle,1,200,64,50,1.0,15.976935337774059,1047.4832463401754
45,lyapunov_greedy_oracle,1,200,64,50,1.0,9.07011534663616,864.9161416790047
46,lyapunov_greedy_oracle,1,200,64,50,1.0,14.692116704682686,645.4615822999401
47,lyapunov_greedy_oracle,1,200,64,50,1.0,14.98852803107502,823.3484328905677
48,lyapunov_greedy_oracle,1,200,64,50,1.0,2.2810043532185853,1144.0895166001633
49,lyapunov_greedy_oracle,1,200,64,50,1.0,21.83932665062054,864.9307143678334
50,lyapunov_greedy_oracle,1,200,64,50,1.0,5.954781394084018,1050.5785378099883
51,lyapunov_greedy_oracle,1,200,64,50,1.0,13.259618565843356,1214.4865440531125
52,lyapunov_greedy_oracle,1,200,64,50,1.0,19.88408315176838,792.5078110085458
53,lyapunov_greedy_oracle,1,200,64,50,1.0,5.14307612604053,1274.4578260331555
54,lyapunov_greedy_oracle,1,200,64,50,1.0,12.101575355917984,1133.888128324712
55,lyapunov_greedy_oracle,1,200,64,50,1.0,10.47648047019927,810.8718435726622
56,lyapunov_greedy_oracle,1,200,64,50,1.0,13.398004467402943,1329.1925738165924
57,lyapunov_greedy_oracle,1,200,64,50,1.0,13.963591123058604,886.0271366221916
58,lyapunov_greedy_oracle,1,200,64,50,1.0,13.10474564600042,944.1414150431166
59,lyapunov_greedy_oracle,1,200,64,50,1.0,14.567985199270506,928.2672577489867
60,lyapunov_greedy_oracle,1,200,64,50,1.0,8.022631672691421,896.9876189808198
61,lyapunov_greedy_oracle,1,200,64,50,1.0,13.444680660792555,1239.782061628601
62,lyapunov_greedy_oracle,1,200,64,50,1.0,14.884854592963652,1264.9272754636067
63,lyapunov_greedy_oracle,1,200,64,50,1.0,10.895107597016933,536.9703855803609
64,lyapunov_greedy_oracle,1,200,64,50,1.0,14.901170069695592,1189.1640582800526
65,lyapunov_greedy_oracle,1,200,64,50,1.0,13.126397359462615,1174.4578872962581
66,lyapunov_greedy_oracle,1,200,64,50,1.0,10.976473800620978,934.8510823334404
67,lyapunov_greedy_oracle,1,200,64,50,1.0,20.518817405347708,1193.7747341078643
68,lyapunov_greedy_oracle,1,200,64,50,1.0,8.0223688234482,938.9221839778676
69,lyapunov_greedy_oracle,1,200,64,50,1.0,14.701507637500999,913.1388764927792
70,lyapunov_greedy_oracle,1,200,64,50,1.0,9.127642275796074,1095.2512821020323
71,lyapunov_greedy_oracle,1,200,64,50,1.0,11.986963334867447,1156.5212521039357
72,lyapunov_greedy_oracle,1,200,64,50,1.0,11.082230715194854,781.575168220628
73,lyapunov_greedy_oracle,1,200,64,50,1.0,11.210422816183653,1140.1430368045135
74,lyapunov_greedy_oracle,1,200,64,50,1.0,11.451531963680427,992.8517730996762
75,lyapunov_greedy_oracle,1,200,64,50,1.0,15.172965678295663,1116.3389176016735
76,lyapunov_greedy_oracle,1,200,64,50,1.0,13.71283712695039,872.1244696808402
77,lyapunov_greedy_oracle,1,200,64,50,1.0,6.833504126825156,1071.9246424822504
78,lyapunov_greedy_oracle,1,200,64,50,1.0,22.236673974116385,614.2686425204791
79,lyapunov_greedy_oracle,1,200,64,50,1.0,13.390994613991541,1111.2583522690109
80,lyapunov_greedy_oracle,1,200,64,50,1.0,10.634727024328692,1063.861428616182
81,lyapunov_greedy_oracle,1,200,64,50,1.0,16.10551541560371,1198.4841677270624
82,lyapunov_greedy_oracle,1,200,64,50,1.0,12.92102657822828,883.3979286749304
83,lyapunov_greedy_oracle,1,200,64,50,1.0,18.488982047996434,881.7639762919995
84,lyapunov_greedy_oracle,1,200,64,50,1.0,6.380354397324549,894.6557769268657
85,lyapunov_greedy_oracle,1,200,64,50,1.0,10.096164413388877,989.2297951853243
86,lyapunov_greedy_oracle,1,200,64,50,1.0,9.745618542720182,1157.6970889185209
87,lyapunov_greedy_oracle,1,200,64,50,1.0,17.60547396468284,948.6016310375394
88,lyapunov_greedy_oracle,1,200,64,50,1.0,11.53596352045625,1147.1381824789346
89,lyapunov_greedy_oracle,1,200,64,50,1.0,15.231639383012837,1181.4646185735498
90,lyapunov_greedy_oracle,1,200,64,50,1.0,9.664729139431227,892.6883548792347
91,lyapunov_greedy_oracle,1,200,64,50,1.0,11.495134687633039,882.9957537966509
92,lyapunov_greedy_oracle,1,200,64,50,1.0,1.2133325144155425,802.5096609122281
93,lyapunov_greedy_oracle,1,200,64,50,1.0,11.91413826243216,886.8991801379384
94,lyapunov_greedy_oracle,1,200,64,50,1.0,18.237472684931653,1054.179294535377
95,lyapunov_greedy_oracle,1,200,64,50,1.0,0.865847393752917,807.5238380895152
96,lyapunov_greedy_oracle,1,200,64,50,1.0,5.012211752191412,1075.8513515677917
97,lyapunov_greedy_oracle,1,200,64,50,1.0,-3.4459671531881515,1400.2375151140022
98,lyapunov_greedy_oracle,1,200,64,50,1.0,17.660089898461454,979.7996154777093
99,lyapunov_greedy_oracle,1,200,64,50,1.0,13.825504514417382,1072.0232824965208
100,lyapunov_greedy_oracle,1,200,64,50,1.0,9.636452231592314,1153.573925040059
101,lyapunov_greedy_oracle,1,200,64,50,1.0,12.938767293863258,1094.5256858607543
102,lyapunov_greedy_oracle,1,200,64,50,1.0,12.836572645464068,626.6069331086494
103,lyapunov_greedy_oracle,1,200,64,50,1.0,8.538800059036076,868.8665270010134
104,lyapunov_greedy_oracle,1,200,64,50,1.0,19.816652350809598,902.4933443100949
105,lyapunov_greedy_oracle,1,200,64,50,1.0,7.780856444341985,825.6721298022132
106,lyapunov_greedy_oracle,1,200,64,50,1.0,10.820202557248043,945.0086170697695
107,lyapunov_greedy_oracle,1,200,64,50,1.0,12.35860011778739,587.1514084403374
108,lyapunov_greedy_oracle,1,200,64,50,1.0,10.148028278164924,1097.3503250860238
109,lyapunov_greedy_oracle,1,200,64,50,1.0,8.120912730266882,1114.5633773066197
110,lyapunov_greedy_oracle,1,200,64,50,1.0,7.104502362927429,1549.610640812225
111,lyapunov_greedy_oracle,1,200,64,50,1.0,9.277002620300317,893.8799722460319
112,lyapunov_greedy_oracle,1,200,64,50,1.0,5.538618304238153,1005.1045137679231
113,lyapunov_greedy_oracle,1,200,64,50,1.0,0.7642388591927674,761.25047550246
114,lyapunov_greedy_oracle,1,200,64,50,1.0,8.959593397658992,723.1207629872313
115,lyapunov_greedy_oracle,1,200,64,50,1.0,15.824180772489356,720.7361928340141
116,lyapunov_greedy_oracle,1,200,64,50,1.0,8.625910368930947,963.2426899563781
117,lyapunov_greedy_oracle,1,200,64,50,1.0,5.353022912271697,616.1137866149054
118,lyapunov_greedy_oracle,1,200,64,50,1.0,12.24942698685605,1010.7677084727792
119,lyapunov_greedy_oracle,1,200,64,50,1.0,9.070044234650737,974.0311986532805
120,lyapunov_greedy_oracle,1,200,64,50,1.0,17.300353143558127,947.8067598120338
121,lyapunov_greedy_oracle,1,200,64,50,1.0,3.4732300700102448,1440.0008956531776
122,lyapunov_greedy_oracle,1,200,64,50,1.0,16.098988166962094,545.4492511420597
123,lyapunov_greedy_oracle,1,200,64,50,1.0,14.26137452583775,1265.511368875173
124,lyapunov_greedy_oracle,1,200,64,50,1.0,17.976007269627253,892.2069865277689
125,lyapunov_greedy_oracle,1,200,64,50,1.0,17.79392566970169,1148.601488172324
126,lyapunov_greedy_oracle,1,200,64,50,1.0,0.6800993057145011,1079.9866621735828
127,lyapunov_greedy_oracle,1,200,64,50,1.0,7.487156561129476,867.7508294270975
128,lyapunov_greedy_oracle,1,200,64,50,1.0,8.993237821958266,601.2987515013928
129,lyapunov_greedy_oracle,1,200,64,50,1.0,11.246032326069134,883.7028259070012
130,lyapunov_greedy_oracle,1,200,64,50,1.0,8.663941349976549,879.8207135139332
131,lyapunov_greedy_oracle,1,200,64,50,1.0,0.6726118504734053,1148.006370769306
132,lyapunov_greedy_oracle,1,200,64,50,1.0,5.075697877929914,1381.874465411697
133,lyapunov_greedy_oracle,1,200,64,50,1.0,8.418091849872017,1189.9093665202965
134,lyapunov_greedy_oracle,1,200,64,50,1.0,11.329987338137382,998.9363061203364
135,lyapunov_greedy_oracle,1,200,64,50,1.0,18.196917648724558,1002.2937001656792
136,lyapunov_greedy_oracle,1,200,64,50,1.0,12.08099750362845,940.9376645139914
137,lyapunov_greedy_oracle,1,200,64,50,1.0,11.403632011405534,1004.1606197394698
138,lyapunov_greedy_oracle,1,200,64,50,1.0,12.656179669219398,561.6021796664182
139,lyapunov_greedy_oracle,1,200,64,50,1.0,5.633147544487677,1157.3930726981303
140,lyapunov_greedy_oracle,1,200,64,50,1.0,14.784727220882791,1092.5552073002186
141,lyapunov_greedy_oracle,1,200,64,50,1.0,10.396482569300465,1116.478530816065
142,lyapunov_greedy_oracle,1,200,64,50,1.0,8.71044842875197,1067.164947279939
143,lyapunov_greedy_oracle,1,200,64,50,1.0,7.8770810033142284,627.9469354326055
144,lyapunov_greedy_oracle,1,200,64,50,1.0,15.044250416703118,978.7505958367735
145,lyapunov_greedy_oracle,1,200,64,50,1.0,2.867183912817973,940.2783611412983
146,lyapunov_greedy_oracle,1,200,64,50,1.0,11.23236736477406,950.1368380422858
147,lyapunov_greedy_oracle,1,200,64,50,1.0,7.1318462931977535,979.4883489796182
148,lyapunov_greedy_oracle,1,200,64,50,1.0,9.47378427700248,848.548697643328
149,lyapunov_greedy_oracle,1,200,64,50,1.0,5.769798927530886,774.2130876065394
150,lyapunov_greedy_oracle,1,200,64,50,1.0,15.171904321921945,933.889693488688
151,lyapunov_greedy_oracle,1,200,64,50,1.0,7.9847813742230755,767.5193533555588
152,lyapunov_greedy_oracle,1,200,64,50,1.0,11.86927766304844,1158.4872761887364
153,lyapunov_greedy_oracle,1,200,64,50,1.0,9.034138389676402,1200.072548746294
154,lyapunov_greedy_oracle,1,200,64,50,1.0,18.396340188890683,1227.963844737338
155,lyapunov_greedy_oracle,1,200,64,50,1.0,6.85796550050402,1071.7436860696228
156,lyapunov_greedy_oracle,1,200,64,50,1.0,6.124158117559566,941.3036645551899
157,lyapunov_greedy_oracle,1,200,64,50,1.0,7.5962184482155175,1212.1214899164825
158,lyapunov_greedy_oracle,1,200,64,50,1.0,9.379114575404836,846.8570587418576
159,lyapunov_greedy_oracle,1,200,64,50,1.0,12.977044677703152,805.0517539459556
160,lyapunov_greedy_oracle,1,200,64,50,1.0,4.182593276472481,1255.6231955852672
161,lyapunov_greedy_oracle,1,200,64,50,1.0,15.778157636245972,1239.218064289458
162,lyapunov_greedy_oracle,1,200,64,50,1.0,11.437275200136483,849.3805504920392
163,lyapunov_greedy_oracle,1,200,64,50,1.0,9.550160214015483,1087.0669534264277
164,lyapunov_greedy_oracle,1,200,64,50,1.0,12.228603987037442,671.4776354397334
165,lyapunov_greedy_oracle,1,200,64,50,1.0,7.927134884310798,972.1878764498629
166,lyapunov_greedy_oracle,1,200,64,50,1.0,11.00585389012199,957.415520790634
167,lyapunov_greedy_oracle,1,200,64,50,1.0,8.545918942608115,1031.7459437102616
168,lyapunov_greedy_oracle,1,200,64,50,1.0,4.085370811561795,983.4875856516657
169,lyapunov_greedy_oracle,1,200,64,50,1.0,12.311566287949887,878.7328755661915
170,lyapunov_greedy_oracle,1,200,64,50,1.0,8.00496503469464,1140.1107854731356
171,lyapunov_greedy_oracle,1,200,64,50,1.0,12.308173349820118,1040.1400159605068
172,lyapunov_greedy_oracle,1,200,64,50,1.0,9.515204685622834,1247.1550233989653
173,lyapunov_greedy_oracle,1,200,64,50,1.0,8.194349712565424,1322.9960065418657
174,lyapunov_greedy_oracle,1,200,64,50,1.0,7.534901030477995,799.598656691355
175,lyapunov_greedy_oracle,1,200,64,50,1.0,16.212114244557256,993.3356432994489
176,lyapunov_greedy_oracle,1,200,64,50,1.0,10.932066381346191,1208.7866095466811
177,lyapunov_greedy_oracle,1,200,64,50,1.0,10.222133296647463,1030.1879733927221
178,lyapunov_greedy_oracle,1,200,64,50,1.0,4.189859024939038,1003.7951899536389
179,lyapunov_greedy_oracle,1,200,64,50,1.0,9.730005537439261,1073.225945869986
180,lyapunov_greedy_oracle,1,200,64,50,1.0,3.8104092985994527,1018.4218648668285
181,lyapunov_greedy_oracle,1,200,64,50,1.0,4.9173930293265045,1219.4950349822948
182,lyapunov_greedy_oracle,1,200,64,50,1.0,8.681585099758074,842.2818100112715
183,lyapunov_greedy_oracle,1,200,64,50,1.0,10.564028137255393,1082.3529311742307
184,lyapunov_greedy_oracle,1,200,64,50,1.0,3.8570541564574725,937.9418591677348
185,lyapunov_greedy_oracle,1,200,64,50,1.0,12.65177774161226,962.5163460807477
186,lyapunov_greedy_oracle,1,200,64,50,1.0,17.479442202081543,1164.9097981990494
187,lyapunov_greedy_oracle,1,200,64,50,1.0,9.329270443210607,1324.5966587249372
188,lyapunov_greedy_oracle,1,200,64,50,1.0,15.088070634030167,926.9578495550106
189,lyapunov_greedy_oracle,1,200,64,50,1.0,14.502040673373788,1324.6516950720284
190,lyapunov_greedy_oracle,1,200,64,50,1.0,13.509545877875814,912.4844308153287
191,lyapunov_greedy_oracle,1,200,64,50,1.0,5.038463103542476,1144.8255189560261
192,lyapunov_greedy_oracle,1,200,64,50,1.0,11.812487017741313,1092.2005762311398
193,lyapunov_greedy_oracle,1,200,64,50,1.0,3.9409420343931014,888.6672605552601
194,lyapunov_greedy_oracle,1,200,64,50,1.0,6.654964416009963,1187.557263507647
195,lyapunov_greedy_oracle,1,200,64,50,1.0,4.813641725500565,813.8740366800105
196,lyapunov_greedy_oracle,1,200,64,50,1.0,15.547404227479957,1340.800627801973
197,lyapunov_greedy_oracle,1,200,64,50,1.0,9.206015115079206,964.4847314585348
198,lyapunov_greedy_oracle,1,200,64,50,1.0,8.84554654366066,1107.78636093794
199,lyapunov_greedy_oracle,1,200,64,50,1.0,10.587230044536193,877.7424714055704
200,lyapunov_greedy_oracle,1,200,64,50,1.0,13.47078647835244,1215.7499593567338
201,lyapunov_greedy_oracle,1,200,64,50,1.0,11.06996188528762,1386.6554589487546
202,lyapunov_greedy_oracle,1,200,64,50,1.0,10.115114112380889,1035.3735693639985
203,lyapunov_greedy_oracle,1,200,64,50,1.0,7.553194632931433,1210.898996233896
204,lyapunov_greedy_oracle,1,200,64,50,1.0,13.538927657221718,687.9775029310322
205,lyapunov_greedy_oracle,1,200,64,50,1.0,5.7204948119372805,981.204106122056
206,lyapunov_greedy_oracle,1,200,64,50,1.0,8.188980934910665,1006.2241928398189
207,lyapunov_greedy_oracle,1,200,64,50,1.0,10.23107041595518,712.57655863241
208,lyapunov_greedy_oracle,1,200,64,50,1.0,9.618175014279817,1182.9770765066469
209,lyapunov_greedy_oracle,1,200,64,50,1.0,8.46868069322923,723.2194725602828
210,lyapunov_greedy_oracle,1,200,64,50,1.0,7.978298878396753,824.0102381520886
211,lyapunov_greedy_oracle,1,200,64,50,1.0,15.756261901070724,1082.5879407078683
212,lyapunov_greedy_oracle,1,200,64,50,1.0,19.309851904391664,1185.2118525144426
213,lyapunov_greedy_oracle,1,200,64,50,1.0,8.866307608262687,949.9807237720976
214,lyapunov_greedy_oracle,1,200,64,50,1.0,14.259806296505467,748.6378506882174
215,lyapunov_greedy_oracle,1,200,64,50,1.0,11.41048081899965,1226.3828869512436
216,lyapunov_greedy_oracle,1,200,64,50,1.0,10.745285426870515,964.252545074057
217,lyapunov_greedy_oracle,1,200,64,50,1.0,14.636221513550234,1349.9999780302412
218,lyapunov_greedy_oracle,1,200,64,50,1.0,18.280853537348847,679.8653243664052
219,lyapunov_greedy_oracle,1,200,64,50,1.0,6.369490594688549,1184.7156854988714
220,lyapunov_greedy_oracle,1,200,64,50,1.0,13.103314387058234,900.3855585988764
221,lyapunov_greedy_oracle,1,200,64,50,1.0,13.09703289996383,725.9198866441545
222,lyapunov_greedy_oracle,1,200,64,50,1.0,9.333899387153053,1124.2026973213394
223,lyapunov_greedy_oracle,1,200,64,50,1.0,9.925155967616243,869.0341702891196
224,lyapunov_greedy_oracle,1,200,64,50,1.0,3.397415583755432,1069.0381226180764
225,lyapunov_greedy_oracle,1,200,64,50,1.0,14.653215596590043,1120.6288506436042
226,lyapunov_greedy_oracle,1,200,64,50,1.0,18.19233375626768,1217.2244554504518
227,lyapunov_greedy_oracle,1,200,64,50,1.0,16.376583452026416,866.0225276136064
228,lyapunov_greedy_oracle,1,200,64,50,1.0,6.9889074817490116,1097.7017743341842
229,lyapunov_greedy_oracle,1,200,64,50,1.0,5.524330503058319,721.2346148475608
230,lyapunov_greedy_oracle,1,200,64,50,1.0,17.859936857155645,793.3982291989468
231,lyapunov_greedy_oracle,1,200,64,50,1.0,-0.6055437864643824,1051.9680821563823
232,lyapunov_greedy_oracle,1,200,64,50,1.0,4.2920245045753305,1124.8068959767436
233,lyapunov_greedy_oracle,1,200,64,50,1.0,3.560074118461925,952.1205011708631
234,lyapunov_greedy_oracle,1,200,64,50,1.0,10.5255429020744,1110.0645956172123
235,lyapunov_greedy_oracle,1,200,64,50,1.0,15.253411955356622,1051.054806349359
236,lyapunov_greedy_oracle,1,200,64,50,1.0,12.393256708398866,867.5927631397341
237,lyapunov_greedy_oracle,1,200,64,50,1.0,4.558839061228278,1012.8828323998447
238,lyapunov_greedy_oracle,1,200,64,50,1.0,17.173285024714843,840.7779735931764
239,lyapunov_greedy_oracle,1,200,64,50,1.0,14.365004511244434,901.9045251419519
240,lyapunov_greedy_oracle,1,200,64,50,1.0,4.927162857388585,913.0178468303732
241,lyapunov_greedy_oracle,1,200,64,50,1.0,4.4535544842578245,1150.7799548694218
242,lyapunov_greedy_oracle,1,200,64,50,1.0,14.799693410660533,992.9615927263665
243,lyapunov_greedy_oracle,1,200,64,50,1.0,11.12945941014437,1317.3321576671528
244,lyapunov_greedy_oracle,1,200,64,50,1.0,9.799660539517065,1104.654125746654
