t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,2,400,256,10,1.0,8.88008531298765,959.4661493981523
2,raucb_plus,2,400,256,10,1.0,13.004421238016967,923.4738044214646
3,raucb_plus,2,400,256,10,1.0,9.841300185546425,1036.1030722362593
4,raucb_plus,2,400,256,10,1.0,12.154610530267783,1049.2505441574592
5,raucb_plus,2,400,256,10,1.0,8.335887264984565,873.4430654566744
6,raucb_plus,2,400,256,10,1.0,14.61710088060154,995.6553631594774
7,raucb_plus,2,400,256,10,1.0,4.781303982850686,1153.4419672505926
8,raucb_plus,2,400,256,10,1.0,5.543232266003408,1039.4895052671066
9,raucb_plus,2,400,256,10,1.0,8.098402432255037,770.9259556605516
10,raucb_plus,2,400,256,10,1.0,9.424487528882562,1096.249222073516
11,raucb_plus,2,400,256,10,1.0,11.722662898829027,1047.9294364946293
12,raucb_plus,2,400,256,10,1.0,12.445429739915184,1242.7788959736001
13,raucb_plus,2,400,256,10,1.0,12.819746589509762,999.7002626631352
14,raucb_plus,2,400,256,10,1.0,3.3699846168649135,1224.287250235633
15,raucb_plus,2,400,256,10,1.0,18.42603817391999,911.8510213435583
16,raucb_plus,2,400,256,10,1.0,8.335782268414842,859.8949750033144
17,raucb_plus,2,400,256,10,1.0,11.244870101700634,734.520553212719
18,raucb_plus,2,400,256,10,1.0,10.885439187749459,894.5522428415712
19,raucb_plus,2,400,256,10,1.0,4.102899607035534,1284.8895235770165
20,raucb_plus,2,400,256,10,1.0,13.4065358668742,987.0216827400219
21,raucb_plus,2,400,256,10,1.0,15.874144466309565,1270.2398184409167
22,raucb_plus,2,400,256,10,1.0,5.276453292308623,927.4978081475077
23,raucb_plus,2,400,256,10,1.0,10.526339494057122,1106.023166493495
24,raucb_plus,2,400,256,10,1.0,9.731127877721264,853.7953864312719
25,raucb_plus,2,400,256,10,1.0,8.798915457409304,857.562764857843
26,raucb_plus,2,400,256,10,1.0,5.429451963127229,1044.56129223106
27,raucb_plus,2,400,256,10,1.0,15.142322139079656,1042.013246152143
28,raucb_plus,2,400,256,10,1.0,4.890346968689872,976.4460874304953
29,raucb_plus,2,400,256,10,1.0,18.03992122144656,1402.0841419291833
30,raucb_plus,2,400,256,10,1.0,11.362277042725681,612.6960481343787
31,raucb_plus,2,400,256,10,1.0,11.703536529440036,1079.3842575978538
32,raucb_plus,2,400,256,10,1.0,18.677975124911388,1300.190746668035
33,raucb_plus,2,400,256,10,1.0,7.402321396313258,984.6968856379671
34,raucb_plus,2,400,256,10,1.0,13.350185134753758,984.2485467856327
35,raucb_plus,2,400,256,10,1.0,6.077563918489623,662.8568130673937
36,raucb_plus,2,400,256,10,1.0,4.884357155186473,1259.0603355475228
37,raucb_plus,2,400,256,10,1.0,4.397080971248722,791.4366390826144
38,raucb_plus,2,400,256,10,1.0,11.986061761007408,1108.7099160167463
39,raucb_plus,2,400,256,10,1.0,3.151531665446665,930.736083288815
40,raucb_plus,2,400,256,10,1.0,9.072894187650407,993.9475969522206
41,raucb_plus,2,400,256,10,1.0,6.316380533629578,677.7554158685389
42,raucb_plus,2,400,256,10,1.0,10.615017861646475,1162.7643443098966
43,raucb_plus,2,400,256,10,1.0,19.41834325450824,1173.7912681715543
44,raucb_plus,2,400,256,10,1.0,10.143037491016583,945.0595149651424
45,raucb_plus,2,400,256,10,1.0,1.1828248410490918,987.0313251271815
46,raucb_plus,2,400,256,10,1.0,6.374600842991672,766.8594308169453
47,raucb_plus,2,400,256,10,1.0,9.030141896318302,911.9309261242406
48,raucb_plus,2,400,256,10,1.0,12.7147052657185,1075.946818192343
49,raucb_plus,2,400,256,10,1.0,1.3343228592297791,1463.4651907511773
50,raucb_plus,2,400,256,10,1.0,13.870911175490935,1106.5290325295732
51,raucb_plus,2,400,256,10,1.0,6.770785323266258,1038.6811364384562
52,raucb_plus,2,400,256,10,1.0,7.604655847220235,1036.3342885112468
53,raucb_plus,2,400,256,10,1.0,3.566135784346547,740.6773693408621
54,raucb_plus,2,400,256,10,1.0,8.093154782795121,1032.379169742321
55,raucb_plus,2,400,256,10,1.0,13.264190662093142,991.6841919324897
56,raucb_plus,2,400,256,10,1.0,20.58824175875472,851.0873283301586
57,raucb_plus,2,400,256,10,1.0,13.923405816899956,868.8595027030785
58,raucb_plus,2,400,256,10,1.0,13.10656114288636,945.6298831270968
59,raucb_plus,2,400,256,10,1.0,17.870801320688784,662.7668318181593
60,raucb_plus,2,400,256,10,1.0,-1.4480178913438468,1199.8396311129422
61,raucb_plus,2,400,256,10,1.0,9.980194318340702,1287.772632381962
62,raucb_plus,2,400,256,10,1.0,3.5197357069958066,1231.959465995836
63,raucb_plus,2,400,256,10,1.0,3.4064161282532526,949.995372012694
64,raucb_plus,2,400,256,10,1.0,11.331264401773872,910.7876047989262
65,raucb_plus,2,400,256,10,1.0,12.160476105306524,868.9920078312939
66,raucb_plus,2,400,256,10,1.0,4.343367897337447,1017.9821788430938
67,raucb_plus,2,400,256,10,1.0,19.81505286048878,720.5270467027664
68,raucb_plus,2,400,256,10,1.0,7.454339928721097,1056.607189342067
69,raucb_plus,2,400,256,10,1.0,13.98712778797444,1091.8961818361063
70,raucb_plus,2,400,256,10,1.0,-0.2931125444278049,1042.2097656864325
71,raucb_plus,2,400,256,10,1.0,9.867631060153377,1276.9974170999976
72,raucb_plus,2,400,256,10,1.0,-2.5357177669162887,1062.3405662206653
73,raucb_plus,2,400,256,10,1.0,17.18465068002136,843.9968010772906
74,raucb_plus,2,400,256,10,1.0,8.325181384230415,792.4456800360949
75,raucb_plus,2,400,256,10,1.0,14.001038993445965,1065.9798363408277
76,raucb_plus,2,400,256,10,1.0,19.078636651353616,734.7704249292769
77,raucb_plus,2,400,256,10,1.0,1.3346774108192463,767.5973219678809
78,raucb_plus,2,400,256,10,1.0,8.177373417203219,940.9695040411306
79,raucb_plus,2,400,256,10,1.0,11.314481872965873,996.1013975063152
80,raucb_plus,2,400,256,10,1.0,11.794522022355125,1016.8604215378851
81,raucb_plus,2,400,256,10,1.0,22.240323236628612,862.2031002445201
82,raucb_plus,2,400,256,10,1.0,10.683034725592414,804.4326667719822
83,raucb_plus,2,400,256,10,1.0,16.74020838952316,1405.037009212614
84,raucb_plus,2,400,256,10,1.0,14.072361121082318,890.7971789148664
85,raucb_plus,2,400,256,10,1.0,9.876812917516931,851.2823212242033
86,raucb_plus,2,400,256,10,1.0,14.854907638190214,907.5715081367081
87,raucb_plus,2,400,256,10,1.0,7.911613420333577,1247.0445713473885
88,raucb_plus,2,400,256,10,1.0,17.983585573439804,1138.2001178570547
89,raucb_plus,2,400,256,10,1.0,8.363056798939223,934.0358498694244
90,raucb_plus,2,400,256,10,1.0,8.423317415027887,1042.2577646693182
91,raucb_plus,2,400,256,10,1.0,16.13403895019424,1148.3875987158217
92,raucb_plus,2,400,256,10,1.0,12.455431004331981,1198.406466920931
93,raucb_plus,2,400,256,10,1.0,15.248938962237373,1115.5413072065191
94,raucb_plus,2,400,256,10,1.0,7.211879518639636,1076.80130301892
95,raucb_plus,2,400,256,10,1.0,2.227582491123038,1250.9873997375005
96,raucb_plus,2,400,256,10,1.0,1.902096777005072,1052.8601555367945
97,raucb_plus,2,400,256,10,1.0,7.342155999890696,1266.5313214659298
