t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,3,50,128,50,1.0,9.347493490037284,1127.1134853370306
2,safe_linucb,3,50,128,50,1.0,24.420578308982996,846.9213707650265
3,safe_linucb,3,50,128,50,1.0,14.587922055708319,705.503758789829
4,safe_linucb,3,50,128,50,1.0,11.121639989526422,960.1211040670363
5,safe_linucb,3,50,128,50,1.0,6.623468434750315,1171.6865539167172
6,safe_linucb,3,50,128,50,1.0,12.386146329807763,1227.6827468664078
7,safe_linucb,3,50,128,50,1.0,4.694910861789685,1362.8989973406096
8,safe_linucb,3,50,128,50,1.0,6.23749066641213,918.1713738806661
9,safe_linucb,3,50,128,50,1.0,5.259132274247581,1110.5210089581299
10,safe_linucb,3,50,128,50,1.0,13.17150530537764,1034.780819443927
11,safe_linucb,3,50,128,50,1.0,12.28383855026371,1053.4841958784534
12,safe_linucb,3,50,128,50,1.0,8.12274079027919,1354.3631536349935
13,safe_linucb,3,50,128,50,1.0,10.546747366781645,1115.530704984718
14,safe_linucb,3,50,128,50,1.0,10.93303488135689,1161.5097327794203
15,safe_linucb,3,50,128,50,1.0,8.732105928777083,945.2609766746482
16,safe_linucb,3,50,128,50,1.0,13.00340094482772,957.3672412064748
17,safe_linucb,3,50,128,50,1.0,7.593911629436544,1108.3356455452017
18,safe_linucb,3,50,128,50,1.0,12.324375585324475,1213.426643856782
19,safe_linucb,3,50,128,50,1.0,11.080722326917078,1102.2924501297393
20,safe_linucb,3,50,128,50,1.0,5.1874550419819,838.8551948245557
21,safe_linucb,3,50,128,50,1.0,-2.976254511436988,1024.7952373006442
22,safe_linucb,3,50,128,50,1.0,8.891255704015574,810.2703911481333
23,safe_linucb,3,50,128,50,1.0,5.342739526706234,1280.034329912246
24,safe_linucb,3,50,128,50,1.0,13.337533761054022,979.906991419244
25,safe_linucb,3,50,128,50,1.0,10.969590842886408,1061.2473672387828
26,safe_linucb,3,50,128,50,1.0,10.71181175635648,779.3253800049099
27,safe_linucb,3,50,128,50,1.0,6.0214877007966,954.760874770623
28,safe_linucb,3,50,128,50,1.0,13.794216076892114,1043.728237165812
29,safe_linucb,3,50,128,50,1.0,3.6874271460895134,1416.618362028164
30,safe_linucb,3,50,128,50,1.0,8.733467864695927,1117.064508306886
31,safe_linucb,3,50,128,50,1.0,10.663493321454055,1134.0152948173513
32,safe_linucb,3,50,128,50,1.0,17.966829115152073,1017.0193772183968
33,safe_linucb,3,50,128,50,1.0,9.554834473695019,779.2472692049491
