t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,3,100,64,25,1.0,8.173126635909231,1206.9344250135193
2,sw_ucb,3,100,64,25,1.0,13.382776045032688,830.2375716030933
3,sw_ucb,3,100,64,25,1.0,5.855395461352054,1036.7122068483793
4,sw_ucb,3,100,64,25,1.0,2.4168154383444502,761.9525630530657
5,sw_ucb,3,100,64,25,1.0,10.86199987307431,1103.5310393638722
6,sw_ucb,3,100,64,25,1.0,7.259608347495461,941.2483119745186
7,sw_ucb,3,100,64,25,1.0,-1.965356966560277,1050.4468227337102
8,sw_ucb,3,100,64,25,1.0,6.464924227380407,1059.794357198345
9,sw_ucb,3,100,64,25,1.0,17.714849117827658,774.7090460409099
10,sw_ucb,3,100,64,25,1.0,10.128862284051397,693.849085965332
11,sw_ucb,3,100,64,25,1.0,13.995424740470401,1243.58159556992
12,sw_ucb,3,100,64,25,1.0,9.870141797498926,785.731345852048
13,sw_ucb,3,100,64,25,1.0,7.563323243642872,1302.1608434849331
14,sw_ucb,3,100,64,25,1.0,7.56428347624216,862.8052074916343
15,sw_ucb,3,100,64,25,1.0,12.318727591371886,1078.209822130349
16,sw_ucb,3,100,64,25,1.0,9.894461832873855,809.4883840048925
17,sw_ucb,3,100,64,25,1.0,13.471783821215674,790.8587626587314
18,sw_ucb,3,100,64,25,1.0,6.753889417662714,855.2402183612177
19,sw_ucb,3,100,64,25,1.0,12.371622900347685,861.5901688200671
20,sw_ucb,3,100,64,25,1.0,3.9125426000141816,1093.4193639588025
21,sw_ucb,3,100,64,25,1.0,10.535956187015707,949.4528070974559
22,sw_ucb,3,100,64,25,1.0,10.201639458215253,973.8116673279164
23,sw_ucb,3,100,64,25,1.0,6.794960877249211,803.5936323403782
24,sw_ucb,3,100,64,25,1.0,13.895232253215923,1003.3090526426726
25,sw_ucb,3,100,64,25,1.0,6.804882382086506,611.6311676837486
26,sw_ucb,3,100,64,25,1.0,11.692514499086748,1006.8311942235784
27,sw_ucb,3,100,64,25,1.0,1.0141150374620942,858.699724906257
28,sw_ucb,3,100,64,25,1.0,17.795791394614362,841.5833535203631
29,sw_ucb,3,100,64,25,1.0,11.862676412391442,887.9626910996724
30,sw_ucb,3,100,64,25,1.0,3.138368483039347,748.7213786553357
31,sw_ucb,3,100,64,25,1.0,10.925676719454925,968.3294033589636
32,sw_ucb,3,100,64,25,1.0,7.858484370454084,861.7901612162392
33,sw_ucb,3,100,64,25,1.0,14.864351923845279,663.2239820540099
34,sw_ucb,3,100,64,25,1.0,-2.4530237100308145,1052.5512264127938
35,sw_ucb,3,100,64,25,1.0,3.7349615976751025,1039.3717372748733
