t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.016178804800417154,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16268144116495584,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8089402400208576,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522545431029676,0.25,0.25,0.8089402400208576,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.705899999360554
2,0.022686023878687043,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.22811296040806747,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.1343011939343521,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152297691746053,0.25000000000000006,0.25000000000000006,1.1343011939343521,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.273000006331131
3,0.023444112069779442,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.23573570392827273,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.172205603488972,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152343925789731,0.25000000000000006,0.25000000000000006,1.172205603488972,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1569000099552795
4,0.010764663588156172,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.108241060311947,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.5382331794078086,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152316597102813,0.25,0.25,0.5382331794078086,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.328300005407073
5,0.011043404723870087,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11104386374701454,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.5521702361935044,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522921919404756,0.25,0.25,0.5521702361935044,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.125100000645034
6,0.011795232043969397,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11860365283216305,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.5897616021984698,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522718800410936,0.25,0.25,0.5897616021984698,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.190300002344884
7,0.015633393013561633,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1571972056723735,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.7816696506780817,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152267863512867,0.25,0.25,0.7816696506780817,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.140700003015809
8,0.013968969618266186,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.14046106230482688,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.6653345369377348e-16,0.6984484809133092,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1522570052851924,0.25000000000000006,0.25000000000000006,0.6984484809133092,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.110400005127303
9,0.019416636666230246,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19523855281060165,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.9708318333115122,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152275466204461,0.25,0.25,0.9708318333115122,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.207300000824034
10,0.011249161169521286,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11311279006885588,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.220446049250313e-16,0.5624580584760643,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152254915130145,0.25000000000000006,0.25000000000000006,0.5624580584760643,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0760000051232055
