t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.015243063864779449,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1532723602195784,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7621531932389725,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152199235756567,0.25,0.25,0.7621531932389725,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.883699999889359
2,0.02179640719583057,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2191676689704857,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.0898203597915286,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152239556499163,0.25,0.25,1.0898203597915286,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.168499996419996
3,0.017663605540854926,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17761143922581274,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8831802770427463,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8558251233597085,0.25,0.25,0.8831802770427463,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.25879999238532
4,0.01642777076673329,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1651848487220017,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8213885383366644,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.855970218637826,0.25,0.25,0.8213885383366644,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.133499998715706
5,0.020275454693671886,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20387415699312125,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.0137727346835943,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152582100841003,0.25,0.25,1.0137727346835943,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.086100009270012
6,0.02478142184311596,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2491826478709276,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.239071092155798,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152617930391892,0.25,0.25,1.239071092155798,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.131799993454479
7,0.013039054816385207,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1311105644159642,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6519527408192604,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525756081527403,0.25,0.25,0.6519527408192604,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.045499991159886
8,0.014486067631314105,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.14566059657351413,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7243033815657053,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525422196051673,0.25,0.25,0.7243033815657053,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.12130000081379
9,0.016207363821376365,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16296860840290808,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8103681910688182,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152519347117093,0.25,0.25,0.8103681910688182,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.788099999539554
10,0.01254920460562145,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1261850127930192,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6274602302810725,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152483239807974,0.25,0.25,0.6274602302810725,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.191200009197928
11,0.01689472420314558,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16988016824217556,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.8447362101572791,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1524686145025598,0.25000000000000006,0.25000000000000006,0.8447362101572791,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.391899994923733
12,0.02623598519090543,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2638086022973023,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.3117992595452714,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525281604703324,0.25,0.25,1.3117992595452714,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.093100004363805
13,0.013475417101803694,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13549828318367457,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6737708550901846,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524945956788013,0.25,0.25,0.6737708550901846,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.034099991666153
14,0.024508106705841044,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24643440404373623,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.2254053352920522,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1525348163497977,0.25000000000000006,0.25000000000000006,1.2254053352920522,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.069499999284744
15,0.02709900907243367,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2724864972678361,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.3549504536216834,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525983563178595,0.25,0.25,1.3549504536216834,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0874000046169385
16,0.019061025120245944,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1916628004908671,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.9530512560122972,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525871961739873,0.25,0.25,0.9530512560122972,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.401200007530861
17,0.0175743769182625,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17671422579777724,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.1102230246251565e-16,0.878718845913125,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8561420577135532,0.25,0.25,0.878718845913125,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.222900010063313
18,0.01354204298857162,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.136168221131008,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.6653345369377348e-16,0.6771021494285809,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1527042429571286,0.25000000000000006,0.25000000000000006,0.6771021494285809,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1117000004742295
19,0.019254350601946246,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1936067307357084,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.6653345369377348e-16,0.9627175300973123,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856307723369861,0.25,0.25,0.9627175300973123,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.165100006503053
20,0.029226784532364828,0.5,1988.1195096929553,1200.0,0.08,0.0,0.2499999999999999,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2938817475701392,0.2,1,0,0,0,0,1988.1195096929553,0.0,0.0,1.6653345369377348e-16,1.4613392266182414,1.0,1988.1195096929553,4.967764082186452,0.00848178077309866,3.1529789134514226,0.2499999999999999,0.2499999999999999,1.4613392266182414,1,0,0,39.42513431722038,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.287600001087412
