t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.004,0.8,17596.697030607975,400.0,0.08,0.0,0.21027607021028458,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.00830859000298276,0.2,1,0,0,0,0,17596.697030607975,0.0,0.0,0.0,0.2,5.0,17596.697030607975,5.775778430109121,0.0032335557007746054,4.5,0.21027607021028458,0.21027607021028458,0.2,1,0,0,350.79594261219694,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.593900005100295
2,0.004,0.8,17397.968808632973,400.0,0.08,0.0,0.23085223712237696,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.009135350675214968,0.2,1,0,0,0,0,17397.968808632973,0.0,0.0,0.0,0.2,5.0,17397.968808632973,5.363799486383893,0.005290387339830899,4.5,0.23085223712237696,0.23085223712237696,0.2,1,0,0,346.11853629418016,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.288999997195788
3,0.004,0.8,17543.7373607514,400.0,0.08,0.0,0.2166484385887833,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.008553951833849766,0.2,1,0,0,0,0,17543.7373607514,0.0,0.0,0.0,0.2,5.0,17543.7373607514,5.649383712692574,0.0037611568238174135,4.5,0.2166484385887833,0.2166484385887833,0.2,1,0,0,349.555052265235,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.165600003441796
4,0.004,0.8,15346.027946993821,400.0,0.08,0.0,0.3034551220894548,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.013231992462820854,0.2,1,0,0,0,0,15346.027946993821,0.0,0.0,0.0,0.2,5.0,15346.027946993821,3.7547992691657175,0.03537414507074717,4.459399688659903,0.3034551220894548,0.3034551220894548,0.2,1,0,0,296.0635065627424,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.12570000521373
5,0.004,0.8,17908.58224152239,400.0,0.08,0.0,0.13354869984715811,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005879570658608837,0.2,1,0,0,0,0,17908.58224152239,0.0,0.0,0.0,0.2,5.0,17908.58224152239,7.277595578107556,0.0005347829364212469,4.5,0.13354869984715811,0.13354869984715811,0.2,1,0,0,357.9801007464825,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.208999999216758
6,0.004,0.8,17619.677196432192,400.0,0.08,0.0,0.20723685311650575,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.008194643247172916,0.2,1,0,0,0,0,17619.677196432192,0.0,0.0,0.0,0.2,5.0,17619.677196432192,5.835751203841992,0.0030096975697723213,4.5,0.20723685311650575,0.20723685311650575,0.2,1,0,0,351.3329459358784,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1412000068230554
7,0.004,0.8,17945.434088279842,400.0,0.08,0.0,0.1084316028534774,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005218395709609246,0.2,1,0,0,0,0,17945.434088279842,0.0,0.0,0.0,0.2,5.0,17945.434088279842,7.795681632910707,0.00028726504523592523,4.5,0.1084316028534774,0.1084316028534774,0.2,1,0,0,358.8055798468939,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.080099992686883
8,0.004,0.8,14904.58465650481,400.0,0.08,0.0,0.3107523309361916,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.013801633646237776,0.2,1,0,0,0,0,14904.58465650481,0.0,0.0,0.0,0.2,5.0,14904.58465650481,3.571746765336261,0.0436844337019097,4.430190273954215,0.3107523309361916,0.3107523309361916,0.2,1,0,0,285.06972632446457,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.526899989694357
9,0.004,0.8,17933.103976385253,400.0,0.08,0.0,0.11815774892691046,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005469892078016428,0.2,1,0,0,0,0,17933.103976385253,0.0,0.0,0.0,0.2,5.0,17933.103976385253,7.591264140358096,0.0003670971125945788,4.5,0.11815774892691046,0.11815774892691046,0.2,1,0,0,358.5304157139133,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.001999994623475
10,0.004,0.8,17986.58853042175,400.0,0.08,0.0,0.05156228772927313,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0037755309255363156,0.2,1,0,0,0,0,17986.58853042175,0.0,0.0,0.0,0.2,5.0,17986.58853042175,9.20127139799816,5.319325942019613e-05,4.5,0.05156228772927313,0.05156228772927313,0.2,1,0,0,359.71263530303935,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.188100000144914
