t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.018178332798310402,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.18278713502551625,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9089166399155201,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.858330581352384,0.25,0.25,0.9089166399155201,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,0.0,0.0,1,0,1,1,1,1,4.904499990516342
2,0.02939001516494664,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.29552306748704626,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.469500758247332,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.154841967401179,0.25,0.25,1.469500758247332,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.3338000036310405
3,0.01895435171118068,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19059017589746896,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9477175855590341,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.858263534388837,0.25,0.25,0.9477175855590341,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,0.0,1,0,1,1,1,1,4.241700007696636
4,0.025409120715030382,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2554942981046966,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.270456035751519,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1547356239920035,0.25,0.25,1.270456035751519,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.327900002361275
5,0.015122685010937475,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15206192436412555,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7561342505468738,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1545321737859937,0.25,0.25,0.7561342505468738,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.2575000047218055
6,0.01171815470606566,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11782862324462426,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.585907735303283,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.154332433463706,0.25,0.25,0.585907735303283,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.529199992655776
7,0.015002110713833132,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15084952328367734,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7501055356916566,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1541607052505882,0.25,0.25,0.7501055356916566,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.218599999556318
8,0.018261278667190264,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1836211739829371,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9130639333595131,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.857612501985235,0.25,0.25,0.9130639333595131,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,3.4491940966778287,1,0,1,1,1,1,4.406500011100434
9,0.02438799854543253,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24522669007030193,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2193999272716265,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1541267713997296,0.25,0.25,1.2193999272716265,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,3.4491940966778287,12.024059779457467,1,0,1,1,1,1,6.24049999169074
10,0.016933108598232834,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1702661317783002,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8466554299116417,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.857538277708789,0.25,0.25,0.8466554299116417,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,12.024059779457467,0.0,1,0,1,1,1,1,4.32560000626836
