q_bps,S_eff_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER_clip,sWER,P_tx_W,E_slot_J,violate_lat,violate_eng,violate_sem,arrivals_bps,delta_queue_used,Q_t_used,energy_budget_per_slot_j,semantic_budget,latency_budget_q_bps,action_in_guard_set,fallback_used,feasible_set_nonempty,t,algorithm,seed,V
3638902.733337615,3638902.733337615,0.0,0.0,0.0,1.4923076923076923,3.0,3638902.733337615,5.97082730307759,0.8765040265977213,4.198560589113612,0.20035985272159715,0.20035985272159715,0.20035985272159715,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,0.0,0.5,0.3,400.0,1,0,1,1,lagrangian_ppo,2026,800.0
2663733.4756864137,2663733.4756864137,3638502.733337615,0.0,0.0,1.4923076923076923,3.0,2663733.4756864137,4.067929677797563,0.918466828469461,3.8380517109080907,0.29048707227297726,0.29048707227297726,0.29048707227297726,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,3638502.733337615,0.5,0.3,400.0,1,0,1,2,lagrangian_ppo,2026,800.0
3685488.0820036763,3685488.0820036763,6301836.209024029,0.0,0.0,1.6,3.0,3685488.0820036763,6.052703028372593,0.8743079785659648,4.21530801036137,0.19617299740965757,0.19617299740965757,0.19617299740965757,1.6,0.032,0,0,0,400.0,0.08,6301836.209024029,0.5,0.3,400.0,1,0,1,3,lagrangian_ppo,2026,800.0
2988193.8265198115,2988193.8265198115,9986924.291027706,0.0,0.0,0.8461538461538463,3.0,2988193.8265198115,4.747486727595611,0.9053305237380044,3.9586995106342022,0.26032512234144944,0.26032512234144944,0.26032512234144944,0.8461538461538463,0.016923076923076926,0,0,0,400.0,0.08,9986924.291027706,0.5,0.3,400.0,1,0,1,4,lagrangian_ppo,2026,800.0
3647740.438813099,3647740.438813099,12974718.117547518,0.0,0.0,1.3846153846153846,3.0,3647740.438813099,5.986410991319432,0.8760888069833187,4.2017442995711916,0.19956392510720214,0.19956392510720214,0.19956392510720214,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,12974718.117547518,0.5,0.3,400.0,1,0,1,5,lagrangian_ppo,2026,800.0
2846735.680802075,2846735.680802075,16622058.556360617,0.0,0.0,1.4923076923076923,2.0,2846735.680802075,5.26884116387674,0.8451755728645555,4.057974902787328,0.235506274303168,0.235506274303168,0.235506274303168,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,16622058.556360617,0.5,0.3,400.0,1,0,1,6,lagrangian_ppo,2026,800.0
3198495.7107722606,3198495.7107722606,19468394.237162694,0.0,0.0,1.6,3.0,3198495.7107722606,5.160831420346126,0.8963843134209007,4.036986351054855,0.24075341223628624,0.24075341223628624,0.24075341223628624,1.6,0.032,0,0,0,400.0,0.08,19468394.237162694,0.5,0.3,400.0,1,0,1,7,lagrangian_ppo,2026,800.0
3195743.1952736313,3195743.1952736313,22666489.947934955,0.0,0.0,1.276923076923077,3.0,3195743.1952736313,5.155542945708308,0.896503648124806,4.035963987107369,0.24100900322315785,0.24100900322315785,0.24100900322315785,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,22666489.947934955,0.5,0.3,400.0,1,0,1,8,lagrangian_ppo,2026,800.0
3389108.71675557,3389108.71675557,25861833.143208586,0.0,0.0,1.3846153846153846,3.0,3389108.71675557,5.519876848928643,0.8879732367156247,4.107497421170961,0.22312564470725985,0.22312564470725985,0.22312564470725985,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,25861833.143208586,0.5,0.3,400.0,1,0,1,9,lagrangian_ppo,2026,800.0
2868607.36076854,2868607.36076854,29250541.859964155,0.0,0.0,1.3846153846153846,3.0,2868607.36076854,4.503396860289701,0.910264914541982,3.9141427072934016,0.27146432317664965,0.27146432317664965,0.27146432317664965,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,29250541.859964155,0.5,0.3,400.0,1,0,1,10,lagrangian_ppo,2026,800.0
2819038.929526087,2819038.929526087,32118749.220732696,0.0,0.0,1.276923076923077,3.0,2819038.929526087,4.4001231507556495,0.9122782590602722,3.895693727449438,0.2760765681376405,0.2760765681376405,0.2760765681376405,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,32118749.220732696,0.5,0.3,400.0,1,0,1,11,lagrangian_ppo,2026,800.0
5122119.578953845,5122119.578953845,34937388.15025878,0.0,0.0,1.4923076923076923,3.0,5122119.578953845,8.323153839613656,0.7972669738789621,4.660828742584381,0.08479281435390469,0.08479281435390469,0.08479281435390469,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,34937388.15025878,0.5,0.3,400.0,1,0,1,12,lagrangian_ppo,2026,800.0
3090947.926947008,3090947.926947008,40059107.72921263,0.0,0.0,1.6,2.0,3090947.926947008,5.841048571307033,0.8253894446156237,4.172128175743421,0.20696795606414467,0.20696795606414467,0.20696795606414467,1.6,0.032,0,0,0,400.0,0.08,40059107.72921263,0.5,0.3,400.0,1,0,1,13,lagrangian_ppo,2026,800.0
4143129.342061821,4143129.342061821,43149655.65615963,0.0,0.0,1.3846153846153846,3.0,4143129.342061821,6.824788980479828,0.8517547707193198,4.374153447626831,0.15646163809329228,0.15646163809329228,0.15646163809329228,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,43149655.65615963,0.5,0.3,400.0,1,0,1,14,lagrangian_ppo,2026,800.0
3475246.9368112297,3475246.9368112297,47292384.99822145,0.0,0.0,1.276923076923077,3.0,3475246.9368112297,5.677748379351284,0.8840760740538225,4.1391099017495625,0.2152225245626093,0.2152225245626093,0.2152225245626093,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,47292384.99822145,0.5,0.3,400.0,1,0,1,15,lagrangian_ppo,2026,800.0
2718146.418277488,2718146.418277488,50767231.93503268,0.0,0.0,1.4923076923076923,2.0,2718146.418277488,4.956007707163728,0.8551141268376331,3.9977709007485167,0.2505572748128709,0.2505572748128709,0.2505572748128709,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,50767231.93503268,0.5,0.3,400.0,1,0,1,16,lagrangian_ppo,2026,800.0
2365504.2114408975,2365504.2114408975,53484978.35331017,0.0,0.0,1.0615384615384615,2.0,2365504.2114408975,4.0486589658612875,0.8807253843319236,3.8347894572085655,0.29130263569785864,0.29130263569785864,0.29130263569785864,1.0615384615384615,0.02123076923076923,0,0,0,400.0,0.08,53484978.35331017,0.5,0.3,400.0,1,0,1,17,lagrangian_ppo,2026,800.0
3875197.7075910275,3875197.7075910275,55850082.564751066,0.0,0.0,1.276923076923077,3.0,3875197.7075910275,6.3795547138586794,0.8651763743029098,4.282524850773416,0.179368787306646,0.179368787306646,0.179368787306646,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,55850082.564751066,0.5,0.3,400.0,1,0,1,18,lagrangian_ppo,2026,800.0
2591578.3932453296,2591578.3932453296,59724880.27234209,0.0,0.0,1.0615384615384615,3.0,2591578.3932453296,3.9088233164956265,0.9212811383257075,3.811390761788166,0.2971523095529584,0.2971523095529584,0.2971523095529584,1.0615384615384615,0.02123076923076923,0,0,0,400.0,0.08,59724880.27234209,0.5,0.3,400.0,1,0,1,19,lagrangian_ppo,2026,800.0
4492133.530510326,4492133.530510326,62316058.665587425,0.0,0.0,1.6,3.0,4492133.530510326,7.379772461034019,0.8333270462531135,4.486075521251059,0.12848111968723533,0.12848111968723533,0.12848111968723533,1.6,0.032,0,0,0,400.0,0.08,62316058.665587425,0.5,0.3,400.0,1,0,1,20,lagrangian_ppo,2026,800.0
2644053.4912690753,2644053.4912690753,66807792.196097754,0.0,0.0,1.1692307692307693,2.0,2644053.4912690753,4.771707483149052,0.860693262355233,3.9631915123917674,0.25920212190205816,0.25920212190205816,0.25920212190205816,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,66807792.196097754,0.5,0.3,400.0,1,0,1,21,lagrangian_ppo,2026,800.0
2461274.286588755,2461274.286588755,69451445.68736683,0.0,0.0,1.1692307692307693,2.0,2461274.286588755,4.30302808448841,0.8740037563075519,3.8785742385678663,0.2803564403580335,0.2803564403580335,0.2803564403580335,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,69451445.68736683,0.5,0.3,400.0,1,0,1,22,lagrangian_ppo,2026,800.0
2871702.44197553,2871702.44197553,71912319.97395559,0.0,0.0,0.9538461538461538,3.0,2871702.44197553,4.5098033876311,0.910138582116488,3.9152952190049746,0.2711761952487563,0.2711761952487563,0.2711761952487563,0.9538461538461538,0.019076923076923075,0,0,0,400.0,0.08,71912319.97395559,0.5,0.3,400.0,1,0,1,23,lagrangian_ppo,2026,800.0
4127006.0115982573,4127006.0115982573,74783622.41593112,0.0,0.0,1.1692307692307693,3.0,4127006.0115982573,6.79849681881908,0.8525800683022269,4.3687662395025875,0.15780844012435324,0.15780844012435324,0.15780844012435324,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,74783622.41593112,0.5,0.3,400.0,1,0,1,24,lagrangian_ppo,2026,800.0
3448534.474792661,3448534.474792661,78910228.42752938,0.0,0.0,0.7384615384615385,3.0,3448534.474792661,5.629067438541733,0.8852910966715196,4.129327181637364,0.21766820459065905,0.21766820459065905,0.21766820459065905,0.7384615384615385,0.01476923076923077,0,0,0,400.0,0.08,78910228.42752938,0.5,0.3,400.0,1,0,1,25,lagrangian_ppo,2026,800.0
3824671.503100059,3824671.503100059,82358362.90232204,0.0,0.0,1.1692307692307693,3.0,3824671.503100059,6.293498063897459,0.8676382176956587,4.264790112870935,0.18380247178226614,0.18380247178226614,0.18380247178226614,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,82358362.90232204,0.5,0.3,400.0,1,0,1,26,lagrangian_ppo,2026,800.0
2378059.8303063004,2378059.8303063004,86182634.40542209,0.0,0.0,0.8461538461538463,2.0,2378059.8303063004,4.082378691389824,0.8798539227229875,3.8405036723655366,0.2898740819086159,0.2898740819086159,0.2898740819086159,0.8461538461538463,0.016923076923076926,0,0,0,400.0,0.08,86182634.40542209,0.5,0.3,400.0,1,0,1,27,lagrangian_ppo,2026,800.0
