t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,2,400,64,50,1.0,2.937743723987981,1160.6719300236289
2,raucb_plus,2,400,64,50,1.0,13.89634877485012,1197.866861845576
3,raucb_plus,2,400,64,50,1.0,16.370604430184677,889.7202856647617
4,raucb_plus,2,400,64,50,1.0,6.555061725033999,1340.1818874165135
5,raucb_plus,2,400,64,50,1.0,13.630007959909237,1047.7584141247253
6,raucb_plus,2,400,64,50,1.0,5.892251577593159,1100.1758170287853
7,raucb_plus,2,400,64,50,1.0,7.086926615620291,702.6250827611266
8,raucb_plus,2,400,64,50,1.0,13.83747154135083,770.3305500651159
9,raucb_plus,2,400,64,50,1.0,1.773997733736758,905.4835380259902
10,raucb_plus,2,400,64,50,1.0,13.269546106946136,1008.3653614316432
11,raucb_plus,2,400,64,50,1.0,3.2632999346434506,1038.1867001351684
12,raucb_plus,2,400,64,50,1.0,4.181409518725018,1040.810896793309
13,raucb_plus,2,400,64,50,1.0,15.190435522101296,1126.7293635628494
14,raucb_plus,2,400,64,50,1.0,13.733539456945014,882.238812044775
15,raucb_plus,2,400,64,50,1.0,8.00140336992238,975.7192956807313
16,raucb_plus,2,400,64,50,1.0,4.279808816400043,1152.9530441414367
17,raucb_plus,2,400,64,50,1.0,-0.17239831038480524,937.856054821796
18,raucb_plus,2,400,64,50,1.0,8.077981168884321,771.8445105308083
19,raucb_plus,2,400,64,50,1.0,15.389615174341609,909.5076066575896
20,raucb_plus,2,400,64,50,1.0,5.768368491902261,1220.3389743129646
21,raucb_plus,2,400,64,50,1.0,11.63182893901479,1041.6615094236588
22,raucb_plus,2,400,64,50,1.0,13.288920008616955,861.2344948992189
23,raucb_plus,2,400,64,50,1.0,11.577848793087535,1203.7189115735052
24,raucb_plus,2,400,64,50,1.0,13.19800737388814,922.7956618247003
25,raucb_plus,2,400,64,50,1.0,3.8029959474686237,1234.7574024730898
26,raucb_plus,2,400,64,50,1.0,12.072258095685525,1166.5388021160647
27,raucb_plus,2,400,64,50,1.0,9.482331759916434,1244.7315652202774
28,raucb_plus,2,400,64,50,1.0,11.302165412036352,1164.9427200100201
29,raucb_plus,2,400,64,50,1.0,3.709101243882145,900.728091571893
30,raucb_plus,2,400,64,50,1.0,14.18628959573192,1127.7496609421867
31,raucb_plus,2,400,64,50,1.0,9.040003820269598,937.4795926693502
32,raucb_plus,2,400,64,50,1.0,22.58966678650076,571.5093903239218
33,raucb_plus,2,400,64,50,1.0,7.5896493194480135,1105.479882932766
34,raucb_plus,2,400,64,50,1.0,0.07555453836994275,678.3942236881874
35,raucb_plus,2,400,64,50,1.0,5.791889046965276,1227.0006683879644
36,raucb_plus,2,400,64,50,1.0,10.185060010044097,862.6926424287998
37,raucb_plus,2,400,64,50,1.0,19.69525804668783,901.3574591629794
38,raucb_plus,2,400,64,50,1.0,3.1574244166736527,1313.9883098152986
39,raucb_plus,2,400,64,50,1.0,16.36452361881644,1044.2351718180116
40,raucb_plus,2,400,64,50,1.0,5.697649061393875,1125.6098428039782
41,raucb_plus,2,400,64,50,1.0,9.218522273081419,967.5437519979167
42,raucb_plus,2,400,64,50,1.0,5.866920399751827,921.4533455884571
43,raucb_plus,2,400,64,50,1.0,18.724315286150244,794.4367035846138
44,raucb_plus,2,400,64,50,1.0,15.204003010074983,837.4289022470721
45,raucb_plus,2,400,64,50,1.0,22.160554186632503,785.3801541046635
46,raucb_plus,2,400,64,50,1.0,5.398656319277124,821.2789052473706
47,raucb_plus,2,400,64,50,1.0,14.422238454234895,913.6045029282559
48,raucb_plus,2,400,64,50,1.0,4.574781894398359,985.5263660417469
49,raucb_plus,2,400,64,50,1.0,9.676189609132653,1144.0481458679458
50,raucb_plus,2,400,64,50,1.0,7.636084548658003,1183.7169181481777
51,raucb_plus,2,400,64,50,1.0,8.886302095048999,1090.0133288291167
52,raucb_plus,2,400,64,50,1.0,7.385829590476122,878.2519437999991
53,raucb_plus,2,400,64,50,1.0,2.996713108343739,783.6702205109275
54,raucb_plus,2,400,64,50,1.0,16.239511748465883,859.1681341017918
55,raucb_plus,2,400,64,50,1.0,15.555233002702149,598.4202400895822
56,raucb_plus,2,400,64,50,1.0,13.292799264271295,1231.4092111504065
57,raucb_plus,2,400,64,50,1.0,14.089480529855887,1206.6302900270762
58,raucb_plus,2,400,64,50,1.0,14.723792766632418,865.2960313274201
59,raucb_plus,2,400,64,50,1.0,11.402736367952992,881.5326234384422
60,raucb_plus,2,400,64,50,1.0,13.921376485751633,885.3527036573954
61,raucb_plus,2,400,64,50,1.0,4.310551214163808,1098.6614905279716
62,raucb_plus,2,400,64,50,1.0,13.006744211876548,1126.7538988707581
63,raucb_plus,2,400,64,50,1.0,5.91571263319897,1033.5807744628266
64,raucb_plus,2,400,64,50,1.0,13.495612075599684,763.0587040069198
65,raucb_plus,2,400,64,50,1.0,5.0199622264563235,677.807779757065
66,raucb_plus,2,400,64,50,1.0,7.339277512822287,791.7573715139326
67,raucb_plus,2,400,64,50,1.0,4.298708444190696,1080.4000453308756
68,raucb_plus,2,400,64,50,1.0,7.374407840046834,1063.2859238530164
69,raucb_plus,2,400,64,50,1.0,17.999670498905175,1018.4471518735744
70,raucb_plus,2,400,64,50,1.0,15.54793030608108,1190.4683656731129
71,raucb_plus,2,400,64,50,1.0,13.327190462538015,696.5603856671348
