t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,2,800,512,25,1.0,13.284413734527405,918.2382402297695
2,safe_linucb,2,800,512,25,1.0,10.249015423795454,997.035471033478
3,safe_linucb,2,800,512,25,1.0,23.525807294531944,1043.2832849198692
4,safe_linucb,2,800,512,25,1.0,7.19439854217414,794.4257386975735
5,safe_linucb,2,800,512,25,1.0,19.365645342164623,994.6220761013062
6,safe_linucb,2,800,512,25,1.0,11.625851280334926,1079.5950528923704
7,safe_linucb,2,800,512,25,1.0,2.3107271518724604,812.4525244308411
8,safe_linucb,2,800,512,25,1.0,7.286759559355761,1019.5332399136693
9,safe_linucb,2,800,512,25,1.0,14.444224116013581,686.4742792044535
10,safe_linucb,2,800,512,25,1.0,20.149556240826524,756.2652505874853
11,safe_linucb,2,800,512,25,1.0,-0.3134684780064667,700.582778488261
12,safe_linucb,2,800,512,25,1.0,12.639880196154982,1294.3655560905015
13,safe_linucb,2,800,512,25,1.0,9.474938908028546,894.1234563051195
14,safe_linucb,2,800,512,25,1.0,-7.157739418549223,1258.2956624500184
15,safe_linucb,2,800,512,25,1.0,11.385313584508637,1165.7859062684909
16,safe_linucb,2,800,512,25,1.0,13.419451538556782,1219.8498176524722
17,safe_linucb,2,800,512,25,1.0,4.3726210503848995,883.0964118206821
18,safe_linucb,2,800,512,25,1.0,14.451076270784064,890.276151190357
19,safe_linucb,2,800,512,25,1.0,9.97195060768461,974.3226000914282
20,safe_linucb,2,800,512,25,1.0,17.365022246476954,1168.6895333378288
21,safe_linucb,2,800,512,25,1.0,14.986282483405367,1080.7419113140406
22,safe_linucb,2,800,512,25,1.0,0.3441665748527729,714.4002809603979
23,safe_linucb,2,800,512,25,1.0,14.315758100791623,807.3981931721628
24,safe_linucb,2,800,512,25,1.0,4.864947020839069,976.8191362754987
25,safe_linucb,2,800,512,25,1.0,0.8630574368294202,811.9370934465845
26,safe_linucb,2,800,512,25,1.0,2.4717723659490716,1417.709282318164
27,safe_linucb,2,800,512,25,1.0,10.920924710465084,1137.387641586927
28,safe_linucb,2,800,512,25,1.0,6.54731027218766,1259.7889816395568
29,safe_linucb,2,800,512,25,1.0,17.383611621287333,1104.5339430590302
30,safe_linucb,2,800,512,25,1.0,8.114112846484177,1188.2465411708415
31,safe_linucb,2,800,512,25,1.0,16.270374182547762,945.6439258672243
32,safe_linucb,2,800,512,25,1.0,6.322380640608482,1447.9896227371592
33,safe_linucb,2,800,512,25,1.0,8.421042779717933,906.5984166520501
34,safe_linucb,2,800,512,25,1.0,8.823137306396147,1117.623092526056
35,safe_linucb,2,800,512,25,1.0,7.327894736540827,1019.9751038293662
36,safe_linucb,2,800,512,25,1.0,15.190035727781137,792.1165089107844
37,safe_linucb,2,800,512,25,1.0,8.813906300743367,1014.9686842703603
38,safe_linucb,2,800,512,25,1.0,17.451673925837852,1052.8678437981207
39,safe_linucb,2,800,512,25,1.0,20.910817728569775,1337.6267440609854
40,safe_linucb,2,800,512,25,1.0,8.416471216804533,1148.4850776424496
41,safe_linucb,2,800,512,25,1.0,8.549898898545148,1007.4082999231412
42,safe_linucb,2,800,512,25,1.0,10.098271299654877,872.1147342379477
43,safe_linucb,2,800,512,25,1.0,9.638142006166172,770.4848641873026
44,safe_linucb,2,800,512,25,1.0,12.020341116855663,744.2143776444577
45,safe_linucb,2,800,512,25,1.0,9.446743380754837,1246.0019493626053
46,safe_linucb,2,800,512,25,1.0,5.494916870245835,1056.1394731173225
47,safe_linucb,2,800,512,25,1.0,10.447079569674454,1419.8325269915497
48,safe_linucb,2,800,512,25,1.0,12.60731701205613,1158.654125199677
49,safe_linucb,2,800,512,25,1.0,11.207329166221964,849.9872414964781
50,safe_linucb,2,800,512,25,1.0,9.555264539486693,1248.7790220253773
51,safe_linucb,2,800,512,25,1.0,14.041422877176915,954.8653409240175
52,safe_linucb,2,800,512,25,1.0,8.493338780794787,1251.410473026101
53,safe_linucb,2,800,512,25,1.0,7.857319634402788,1104.4022645325986
54,safe_linucb,2,800,512,25,1.0,13.695646801682797,1084.7888350526694
55,safe_linucb,2,800,512,25,1.0,12.829613327626092,972.0454181705708
56,safe_linucb,2,800,512,25,1.0,13.046950280929202,1172.0779471346689
57,safe_linucb,2,800,512,25,1.0,12.24416738244641,1089.1323094018585
58,safe_linucb,2,800,512,25,1.0,13.696487165903722,1073.4451543133566
59,safe_linucb,2,800,512,25,1.0,13.027053054509071,1274.5363804693898
60,safe_linucb,2,800,512,25,1.0,9.390455705643959,950.0284924530374
61,safe_linucb,2,800,512,25,1.0,15.276460465599289,1018.0575091944728
62,safe_linucb,2,800,512,25,1.0,7.4650769101737975,1051.4746070657736
63,safe_linucb,2,800,512,25,1.0,17.341047433969397,1188.0185936047287
64,safe_linucb,2,800,512,25,1.0,14.148840433247992,926.1724560385103
65,safe_linucb,2,800,512,25,1.0,11.249288968179824,841.4961520204773
66,safe_linucb,2,800,512,25,1.0,14.855141528161516,711.0334468589331
67,safe_linucb,2,800,512,25,1.0,4.685480315454362,953.6105571842137
68,safe_linucb,2,800,512,25,1.0,7.489558262762912,1191.1505908501888
69,safe_linucb,2,800,512,25,1.0,7.851625945718501,1048.7144366003147
70,safe_linucb,2,800,512,25,1.0,14.121535683506679,1292.4433500944729
71,safe_linucb,2,800,512,25,1.0,8.018628269041308,1208.3114102561303
72,safe_linucb,2,800,512,25,1.0,5.32399054450374,933.9336400274037
73,safe_linucb,2,800,512,25,1.0,7.9588098335360815,869.6680213253348
74,safe_linucb,2,800,512,25,1.0,4.316410296979997,1454.0974755972566
