t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11999.965886255823,1200.0,0.08,0.0,1.166686342407136e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.023910486229219406,0.2,1,0,0,0,0,11999.965886255823,0.0,0.0,0.0,0.6,5.0,11999.965886255823,18.948989549670564,4.34827806389204e-10,4.5,1.166686342407136e-12,1.166686342407136e-12,0.6,1,0,0,239.9993176207581,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.4690999921876937
2,0.012,0.5,11998.170970930687,1200.0,0.08,0.0,0.0001609746984313187,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07522065818410752,0.2,1,0,0,0,0,11998.170970930687,0.0,0.0,0.0,0.6,5.0,11998.170970930687,13.971502335240872,1.7074638268425235e-07,4.5,0.0001609746984313187,0.0001609746984313187,0.6,1,0,0,239.9633784457279,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.3391999925952405
3,0.012,0.5,11999.810335272898,1200.0,0.08,0.0,5.213016561919401e-08,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03917731993713353,0.2,1,0,0,0,0,11999.810335272898,0.0,0.0,0.0,0.6,5.0,11999.810335272898,16.80452639495378,5.700481282210961e-09,4.5,5.213016561919401e-08,5.213016561919401e-08,0.6,1,0,0,239.99620533736405,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.29540000832639635
4,0.012,0.5,11999.41660978488,1200.0,0.08,0.0,5.364217818464184e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05413630626367026,0.2,1,0,0,0,0,11999.41660978488,0.0,0.0,0.0,0.6,5.0,11999.41660978488,15.399987423198855,3.0753301298930015e-08,4.5,5.364217818464184e-06,5.364217818464184e-06,0.6,1,0,0,239.9883248152641,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2697000018088147
5,0.012,0.5,11999.963401507392,1200.0,0.08,0.0,2.023036958210696e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.024399266500754732,0.2,1,0,0,0,0,11999.963401507392,0.0,0.0,0.0,0.6,5.0,11999.963401507392,18.861105921001055,4.831902457756799e-10,4.5,2.023036958210696e-12,2.023036958210696e-12,0.6,1,0,0,239.99926791418252,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2623000036692247
6,0.012,0.5,11999.036824879557,1200.0,0.08,0.0,2.7402068999168473e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.06254101807360235,0.2,1,0,0,0,0,11999.036824879557,0.0,0.0,0.0,0.6,5.0,11999.036824879557,14.773224160984642,6.524263902570291e-08,4.5,2.7402068999168473e-05,2.7402068999168473e-05,0.6,1,0,0,239.98072084061457,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.27740000223275274
7,0.012,0.5,11999.897017906094,1200.0,0.08,0.0,2.077403644962247e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03286214982188678,0.2,1,0,0,0,0,11999.897017906094,0.0,0.0,0.0,0.6,5.0,11999.897017906094,17.567913914134408,2.2807072384166193e-09,4.5,2.077403644962247e-09,2.077403644962247e-09,0.6,1,0,0,239.99793981075683,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25579999783076346
8,0.012,0.5,11999.0363403408,1200.0,0.08,0.0,2.7443768929583144e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.06255007270972007,0.2,1,0,0,0,0,11999.0363403408,0.0,0.0,0.0,0.6,5.0,11999.0363403408,14.772595438589814,6.529188100577837e-08,4.5,2.7443768929583144e-05,2.7443768929583144e-05,0.6,1,0,0,239.98071113802294,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2758000046014786
9,0.012,0.5,11999.35235745339,1200.0,0.08,0.0,7.685121511020337e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.055789133856922746,0.2,1,0,0,0,0,11999.35235745339,0.0,0.0,0.0,0.6,5.0,11999.35235745339,15.269377438128444,3.597158512359915e-08,4.5,7.685121511020337e-06,7.685121511020337e-06,0.6,1,0,0,239.98703851635332,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.28500000189524144
10,0.012,0.5,11999.855420748097,1200.0,0.08,0.0,1.3344311719983913e-08,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.036233099810099964,0.2,1,0,0,0,0,11999.855420748097,0.0,0.0,0.0,0.6,5.0,11999.855420748097,17.143818723862747,3.793920108513973e-09,4.5,1.3344311719983913e-08,1.3344311719983913e-08,0.6,1,0,0,239.9971075044321,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25329999334644526
11,0.012,0.5,11999.918836415063,1200.0,0.08,0.0,5.031163246939631e-10,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.030685604890690495,0.2,1,0,0,0,0,11999.918836415063,0.0,0.0,0.0,0.6,5.0,11999.918836415063,17.865526739788713,1.5957601360772695e-09,4.5,5.031163246939631e-10,5.031163246939631e-10,0.6,1,0,0,239.99837634532142,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2449000021442771
12,0.012,0.5,11999.949712896807,1200.0,0.08,0.0,2.1282245972805688e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.026735887939994218,0.2,1,0,0,0,0,11999.949712896807,0.0,0.0,0.0,0.6,5.0,11999.949712896807,18.4639275045899,7.782319057195986e-10,4.5,2.1282245972805688e-11,2.1282245972805688e-11,0.6,1,0,0,239.99899407116126,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23899998632259667
