t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.016078686964187523,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16167473429846757,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8039343482093761,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522483756175332,0.25,0.25,0.8039343482093761,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.5150999871548265
2,0.025217465857930194,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2535671663577013,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.2608732928965096,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1523151579672666,0.25000000000000006,0.25000000000000006,1.2608732928965096,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.092499999795109
3,0.015825204511581165,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15912591247826943,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,0.7912602255790583,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152308587739833,0.25000000000000006,0.25000000000000006,0.7912602255790583,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.359899998642504
4,0.027661881337341536,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2781463017080648,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.3830940668670768,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523965312540465,0.25,0.25,1.3830940668670768,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.097000004956499
5,0.01336074873446226,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1343452675261363,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.6653345369377348e-16,0.668037436723113,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152373074690439,0.25000000000000006,0.25000000000000006,0.668037436723113,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.079999991925433
6,0.0196240975359077,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19732461749095387,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.9812048767953849,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152383630450954,0.25,0.25,0.9812048767953849,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.171000000904314
7,0.018748723673653652,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.18852254074756244,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.9374361836826827,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152387672065971,0.25,0.25,0.9374361836826827,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.074200005969033
8,0.01953221128291302,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19640068100461736,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.6653345369377348e-16,0.9766105641456511,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8560267794142167,0.25,0.25,0.9766105641456511,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.184599994914606
9,0.015108239715781877,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1519166737437642,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.7554119857890939,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526045864489873,0.25,0.25,0.7554119857890939,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.64719998894725
10,0.01931753310726534,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1942420447251236,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.6653345369377348e-16,0.9658766553632671,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8562183640597603,0.25,0.25,0.9658766553632671,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.014300007838756
11,0.020123840826490526,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20234964620768794,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,1.0061920413245262,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1528093304512055,0.25,0.25,1.0061920413245262,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.003599992254749
12,0.01866085601971537,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1876390121587204,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.6653345369377348e-16,0.9330428009857685,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8563830768761607,0.25,0.25,0.9330428009857685,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.159899996011518
13,0.02446940004568567,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24604520006146205,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.220446049250313e-16,1.2234700022842835,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1529964670178745,0.25000000000000006,0.25000000000000006,1.2234700022842835,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,5.944799995631911
14,0.016740596500861585,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16833038029180994,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,2.220446049250313e-16,0.8370298250430792,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856492545513197,0.25,0.25,0.8370298250430792,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.029400006402284
15,0.02610310974424415,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.262472510452141,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,1.3051554872122073,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531134008644255,0.25,0.25,1.3051554872122073,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.113199997344054
16,0.014995011329284377,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15077813741036822,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,0.7497505664642188,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530391640723368,0.25,0.25,0.7497505664642188,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.006299998261966
17,0.01048992404649196,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10547849378529105,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,0.524496202324598,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529555189024783,0.25,0.25,0.524496202324598,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.105199994635768
18,0.02012252749482939,0.5,1988.1195096929553,1200.0,0.08,0.0,0.2499999999999999,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.202336440368938,0.2,1,0,0,0,0,1988.1195096929553,0.0,0.0,2.220446049250313e-16,1.0061263747414695,1.0,1988.1195096929553,4.967764082186452,0.00848178077309866,3.152922889825802,0.2499999999999999,0.2499999999999999,1.0061263747414695,1,0,0,39.42513431722038,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.045200003427453
19,0.010047118871058981,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10102599034122445,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,0.502355943552949,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1528474825039496,0.25,0.25,0.502355943552949,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.060200001229532
20,0.016900400794820702,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16993724762016457,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,0.845020039741035,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1528037478923094,0.25,0.25,0.845020039741035,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.08490000013262
