t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,3,800,512,25,1.0,0.08588230628797966,998.1668982648785
2,raucb_plus,3,800,512,25,1.0,5.88906532738573,959.6658566590222
3,raucb_plus,3,800,512,25,1.0,10.6123283409395,1128.969076556932
4,raucb_plus,3,800,512,25,1.0,11.796521493212314,1125.821066649943
5,raucb_plus,3,800,512,25,1.0,14.508643688306517,794.2772337664074
6,raucb_plus,3,800,512,25,1.0,4.901345917455227,1051.5430974461424
7,raucb_plus,3,800,512,25,1.0,5.3782339923359,1061.4877053656242
8,raucb_plus,3,800,512,25,1.0,10.191343918660198,569.7689771973788
9,raucb_plus,3,800,512,25,1.0,14.884720528436945,824.9093113532542
10,raucb_plus,3,800,512,25,1.0,15.872994127552559,930.5252041307165
11,raucb_plus,3,800,512,25,1.0,1.7175916600670789,721.7994043642277
12,raucb_plus,3,800,512,25,1.0,8.665148394255986,804.4469971417312
13,raucb_plus,3,800,512,25,1.0,17.946443646315725,1174.2427391702213
14,raucb_plus,3,800,512,25,1.0,10.01343336610389,887.0497266224116
15,raucb_plus,3,800,512,25,1.0,6.159803862774815,953.4130174244222
16,raucb_plus,3,800,512,25,1.0,6.807311643394718,886.0587105690627
17,raucb_plus,3,800,512,25,1.0,9.268539647940042,699.5440380849768
18,raucb_plus,3,800,512,25,1.0,13.440620930922591,942.0700261643552
19,raucb_plus,3,800,512,25,1.0,12.095341271372904,986.3804851992307
20,raucb_plus,3,800,512,25,1.0,10.556569806120455,716.2000260523123
21,raucb_plus,3,800,512,25,1.0,-6.439482711589079,936.8018599294946
22,raucb_plus,3,800,512,25,1.0,12.996857186705535,917.3645489258447
23,raucb_plus,3,800,512,25,1.0,13.303760522219363,967.4353725168633
24,raucb_plus,3,800,512,25,1.0,20.372977711265783,1189.271624185051
25,raucb_plus,3,800,512,25,1.0,6.957679095803547,960.9436799971621
26,raucb_plus,3,800,512,25,1.0,11.927831393204482,938.8849771301205
27,raucb_plus,3,800,512,25,1.0,2.3256731869642984,1119.9690612633967
28,raucb_plus,3,800,512,25,1.0,12.452679411006525,768.6488577324922
