t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,3,400,128,50,1.0,5.028770466933738,1053.01793557396
2,safe_linucb,3,400,128,50,1.0,2.4577230223462827,1225.5619043698327
3,safe_linucb,3,400,128,50,1.0,11.62978669631206,1398.697384108446
4,safe_linucb,3,400,128,50,1.0,14.666018285065782,1369.1886888374695
5,safe_linucb,3,400,128,50,1.0,12.167226251034375,1067.523115871162
6,safe_linucb,3,400,128,50,1.0,16.022869706662018,783.9217358167382
7,safe_linucb,3,400,128,50,1.0,12.697603747556254,992.5781118880914
8,safe_linucb,3,400,128,50,1.0,11.095717992122818,933.3132415783167
9,safe_linucb,3,400,128,50,1.0,-6.568071659427247,967.6703005425303
10,safe_linucb,3,400,128,50,1.0,7.759197715933338,659.8018248831044
11,safe_linucb,3,400,128,50,1.0,8.130185901469247,800.5517161208546
12,safe_linucb,3,400,128,50,1.0,11.153045137152136,983.9818303807398
13,safe_linucb,3,400,128,50,1.0,9.544012147747049,833.1573941630285
14,safe_linucb,3,400,128,50,1.0,17.050865358071707,634.4524388327277
15,safe_linucb,3,400,128,50,1.0,9.205200889528152,891.3293012426659
16,safe_linucb,3,400,128,50,1.0,7.173438583111021,823.7947577975473
17,safe_linucb,3,400,128,50,1.0,15.42797146547502,1378.40102655222
18,safe_linucb,3,400,128,50,1.0,7.252430162205841,912.7242910698525
19,safe_linucb,3,400,128,50,1.0,6.919386779845046,964.7733638480786
20,safe_linucb,3,400,128,50,1.0,17.829235071803726,959.2429647810324
21,safe_linucb,3,400,128,50,1.0,9.541084068968331,1093.3132309435568
22,safe_linucb,3,400,128,50,1.0,18.08520099831931,858.4887306137301
23,safe_linucb,3,400,128,50,1.0,-1.8284875701156071,1082.226861127336
24,safe_linucb,3,400,128,50,1.0,-1.2245532570682922,1221.6668814973555
25,safe_linucb,3,400,128,50,1.0,3.2709379102432248,1037.706867749458
26,safe_linucb,3,400,128,50,1.0,9.6508037820208,1242.0855075342743
27,safe_linucb,3,400,128,50,1.0,5.701725001326144,1505.091265889779
28,safe_linucb,3,400,128,50,1.0,11.782765485136308,980.7430559676963
29,safe_linucb,3,400,128,50,1.0,7.905135073156506,783.2963735449493
30,safe_linucb,3,400,128,50,1.0,3.2772641413893613,1158.3346616109127
31,safe_linucb,3,400,128,50,1.0,7.997711498473362,910.9588385990874
32,safe_linucb,3,400,128,50,1.0,13.474532188436195,1360.4477172963807
33,safe_linucb,3,400,128,50,1.0,15.699762378997363,1229.4251513964452
34,safe_linucb,3,400,128,50,1.0,7.223583716132062,918.6050209616031
35,safe_linucb,3,400,128,50,1.0,7.804418571407657,742.4934523675099
36,safe_linucb,3,400,128,50,1.0,10.564761537328785,889.6063946451666
37,safe_linucb,3,400,128,50,1.0,10.946299180134655,1272.591508242899
38,safe_linucb,3,400,128,50,1.0,2.7258085911313534,959.2977907447801
39,safe_linucb,3,400,128,50,1.0,9.484544774498918,919.6711512349992
40,safe_linucb,3,400,128,50,1.0,15.32209490044486,855.9280861466901
41,safe_linucb,3,400,128,50,1.0,13.85130853347086,570.4657628130782
42,safe_linucb,3,400,128,50,1.0,13.329651163559554,926.0225857504904
43,safe_linucb,3,400,128,50,1.0,15.249644452105525,1567.709789955229
44,safe_linucb,3,400,128,50,1.0,9.035606260279504,1104.113234209612
45,safe_linucb,3,400,128,50,1.0,8.627608245036736,961.2991627155328
46,safe_linucb,3,400,128,50,1.0,19.238926908824148,1048.288399750498
47,safe_linucb,3,400,128,50,1.0,14.201060182432458,922.0990622352028
48,safe_linucb,3,400,128,50,1.0,12.681209293396286,1126.5655107435337
49,safe_linucb,3,400,128,50,1.0,14.309619360407098,1089.9859499763427
50,safe_linucb,3,400,128,50,1.0,18.578091470705143,1204.5124989894268
51,safe_linucb,3,400,128,50,1.0,3.479626386975518,859.3718192521839
52,safe_linucb,3,400,128,50,1.0,9.610746576442898,1045.869501764177
53,safe_linucb,3,400,128,50,1.0,11.779273199923944,1295.0949272576856
54,safe_linucb,3,400,128,50,1.0,2.1662361915272523,1047.6880481282913
55,safe_linucb,3,400,128,50,1.0,9.788206231059569,1176.2286987554673
56,safe_linucb,3,400,128,50,1.0,15.271160006312995,720.4353566420787
57,safe_linucb,3,400,128,50,1.0,13.853687236457588,1173.682434059985
58,safe_linucb,3,400,128,50,1.0,9.381914511832402,1123.9049190354071
59,safe_linucb,3,400,128,50,1.0,3.4888760243404953,1056.8768586917504
60,safe_linucb,3,400,128,50,1.0,8.890415741102817,838.8149135260397
61,safe_linucb,3,400,128,50,1.0,3.3100609122224682,896.1618156580688
62,safe_linucb,3,400,128,50,1.0,-3.514696207264194,1153.514065062071
63,safe_linucb,3,400,128,50,1.0,11.41621935275516,1094.6145234950984
64,safe_linucb,3,400,128,50,1.0,16.064031262712888,1160.068956874054
65,safe_linucb,3,400,128,50,1.0,16.98509165434178,1087.5587682363723
66,safe_linucb,3,400,128,50,1.0,9.228077915021021,929.0823144760325
67,safe_linucb,3,400,128,50,1.0,13.354381599244105,1190.6138115878202
68,safe_linucb,3,400,128,50,1.0,10.305950026492921,1001.3535308880855
69,safe_linucb,3,400,128,50,1.0,10.581775958915546,1486.445190434866
70,safe_linucb,3,400,128,50,1.0,8.229419146976287,1039.8628188681687
71,safe_linucb,3,400,128,50,1.0,11.73115654839466,793.6484790217135
72,safe_linucb,3,400,128,50,1.0,7.693084514122354,1051.617931398361
73,safe_linucb,3,400,128,50,1.0,2.8539173914832636,814.9793908513982
74,safe_linucb,3,400,128,50,1.0,10.678287361502681,1088.8773823702327
75,safe_linucb,3,400,128,50,1.0,12.047365861003378,1030.0718572394942
76,safe_linucb,3,400,128,50,1.0,19.118667740794344,585.5400489650303
77,safe_linucb,3,400,128,50,1.0,7.662302262089939,1125.833601468802
78,safe_linucb,3,400,128,50,1.0,21.335885903995475,836.8948605904448
79,safe_linucb,3,400,128,50,1.0,14.781599099352938,1020.0843503486527
80,safe_linucb,3,400,128,50,1.0,13.028725798633996,788.5725303940136
81,safe_linucb,3,400,128,50,1.0,14.568501832799058,1153.7461729626557
82,safe_linucb,3,400,128,50,1.0,6.2019294277373955,561.8692095228967
83,safe_linucb,3,400,128,50,1.0,10.645480209345966,1124.5633799416107
84,safe_linucb,3,400,128,50,1.0,14.991397247739716,1316.8325099772683
85,safe_linucb,3,400,128,50,1.0,16.10997161319326,1012.3946946968857
86,safe_linucb,3,400,128,50,1.0,9.268811733247578,1171.537187036522
87,safe_linucb,3,400,128,50,1.0,12.539423020000788,1079.6501196875276
88,safe_linucb,3,400,128,50,1.0,10.020492718498371,1006.9363356433975
89,safe_linucb,3,400,128,50,1.0,9.914854653979226,848.0621930859928
90,safe_linucb,3,400,128,50,1.0,1.3660798501804141,1009.0473442793632
91,safe_linucb,3,400,128,50,1.0,11.906114089354334,756.1484820278891
92,safe_linucb,3,400,128,50,1.0,11.811924298908883,1154.8308757675577
93,safe_linucb,3,400,128,50,1.0,4.105639136812313,1301.0164918148632
94,safe_linucb,3,400,128,50,1.0,15.265310947716024,631.6724707056675
95,safe_linucb,3,400,128,50,1.0,6.9659399626224126,820.7833392126864
96,safe_linucb,3,400,128,50,1.0,9.202064573530901,1047.779471838431
97,safe_linucb,3,400,128,50,1.0,1.6385515786114961,610.6556553457688
98,safe_linucb,3,400,128,50,1.0,6.645311682340321,987.6948254284835
99,safe_linucb,3,400,128,50,1.0,4.780378546487702,667.283270781383
100,safe_linucb,3,400,128,50,1.0,14.45462090530296,913.5668492223857
101,safe_linucb,3,400,128,50,1.0,9.632742221567254,1142.2986296494705
102,safe_linucb,3,400,128,50,1.0,12.773006276207326,1047.733315560695
103,safe_linucb,3,400,128,50,1.0,6.995955452519315,996.6053087371276
