t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11999.904315805452,1200.0,0.08,0.0,1.3548142600244098e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.032174228765669416,0.2,1,0,0,0,0,11999.904315805452,0.0,0.0,0.0,0.6,5.0,11999.904315805452,17.65979217304554,2.0426166892081363e-09,4.5,1.3548142600244098e-09,1.3548142600244098e-09,0.6,1,0,0,239.9980858258849,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.4785999917658046
2,0.012,0.5,11999.184981735436,1200.0,0.08,0.0,1.6333992527290645e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05960535969700811,0.2,1,0,0,0,0,11999.184981735436,0.0,0.0,0.0,0.6,5.0,11999.184981735436,14.982020495906292,5.078279623958929e-08,4.5,1.6333992527290645e-05,1.6333992527290645e-05,0.6,1,0,0,239.9836874476654,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.3493999975034967
3,0.012,0.5,11998.50929135251,1200.0,0.08,0.0,9.478677242731686e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07091970131170043,0.2,1,0,0,0,0,11998.50929135251,0.0,0.0,0.0,0.6,5.0,11998.50929135251,14.227204648827206,1.2562943506303964e-07,4.5,9.478677242731686e-05,9.478677242731686e-05,0.6,1,0,0,239.97015567973133,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.28469999961089343
4,0.012,0.5,11999.803160357336,1200.0,0.08,0.0,6.230322767277151e-08,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03959827187793664,0.2,1,0,0,0,0,11999.803160357336,0.0,0.0,0.0,0.6,5.0,11999.803160357336,16.75811129581788,6.0269960877989945e-09,4.5,6.230322767277151e-08,6.230322767277151e-08,0.6,1,0,0,239.9960617606914,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2707999956328422
5,0.012,0.5,11999.979829254835,1200.0,0.08,0.0,1.3138622138224576e-14,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.020554403588031425,0.2,1,0,0,0,0,11999.979829254835,0.0,0.0,0.0,0.6,5.0,11999.979829254835,19.605824830266094,1.9769941454893245e-10,4.5,1.3138622138224576e-14,1.3138622138224576e-14,0.6,1,0,0,239.9995965376489,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26080000679939985
6,0.012,0.5,11999.97226360828,1200.0,0.08,0.0,2.160459804134747e-13,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.022527809395945602,0.2,1,0,0,0,0,11999.97226360828,0.0,0.0,0.0,0.6,5.0,11999.97226360828,19.20768399739073,3.1878495977728434e-10,4.5,2.160459804134747e-13,2.160459804134747e-13,0.6,1,0,0,239.9994451956574,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25769999774638563
7,0.012,0.5,11999.864168441196,1200.0,0.08,0.0,9.606332151539991e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.0355880236121209,0.2,1,0,0,0,0,11999.864168441196,0.0,0.0,0.0,0.6,5.0,11999.864168441196,17.22183492678932,3.4548545944613878e-09,4.5,9.606332151539991e-09,9.606332151539991e-09,0.6,1,0,0,239.9972825396682,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2570000069681555
8,0.012,0.5,11999.978214598588,1200.0,0.08,0.0,2.6475174945360628e-14,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02101506536892276,0.2,1,0,0,0,0,11999.978214598588,0.0,0.0,0.0,0.6,5.0,11999.978214598588,19.509566174743206,2.219069512432032e-10,4.5,2.6475174945360628e-14,2.6475174945360628e-14,0.6,1,0,0,239.99956423871419,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.27659999614115804
9,0.012,0.5,11999.376301624561,1200.0,0.08,0.0,6.759151437928908e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05518745470963866,0.2,1,0,0,0,0,11999.376301624561,0.0,0.0,0.0,0.6,5.0,11999.376301624561,15.316469982112304,3.399516381850255e-08,4.5,6.759151437928908e-06,6.759151437928908e-06,0.6,1,0,0,239.98751787407596,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25969999842345715
10,0.012,0.5,11999.666483745208,1200.0,0.08,0.0,6.444124318335737e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.04608827274509099,0.2,1,0,0,0,0,11999.666483745208,0.0,0.0,0.0,0.6,5.0,11999.666483745208,16.098969303923326,1.3292754447464348e-08,4.5,6.444124318335737e-07,6.444124318335737e-07,0.6,1,0,0,239.99332648473177,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2505000011296943
