t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.011927866444279539,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.11993732090324005,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.5963933222139769,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152043308323295,0.25000000000000006,0.25000000000000006,0.5963933222139769,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.568199998582713
2,0.01842006443573521,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.1852177998142044,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.9210032217867605,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8556699464905844,0.25,0.25,0.9210032217867605,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.207299993140623
3,0.01800713355853815,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.18106568901043257,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.9003566779269075,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.855877032548491,0.25,0.25,0.9003566779269075,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.139199998462573
4,0.025126540238224585,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.25265288925039964,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.2563270119112293,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525372396784017,0.25,0.25,1.2563270119112293,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.291300000157207
5,0.016346466686480945,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1643673183103794,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.8173233343240472,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152515461086924,0.25,0.25,0.8173233343240472,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.128400011220947
6,0.02983405063311905,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2999879417952387,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.4917025316559525,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526130353914708,0.25,0.25,1.4917025316559525,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.176599999889731
7,0.021306359243809476,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.21424012901570044,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.0653179621904738,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526164476252028,0.25,0.25,1.0653179621904738,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.08720000309404
8,0.030158596159591634,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.30325131845510417,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.5079298079795818,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15271010948407,0.25,0.25,1.5079298079795818,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.088699999963865
9,0.0202413465480014,0.08,1988.1195096929553,1200.0,0.08,0.0,0.2499999999999999,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.20353119208554069,0.2,1,0,0,0,0,1988.1195096929553,0.0,0.0,5.551115123125783e-17,1.01206732740007,1.0,1988.1195096929553,4.967764082186452,0.00848178077309866,3.152697946010681,0.2499999999999999,0.2499999999999999,1.01206732740007,1,0,0,39.42513431722038,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,7.08199999644421
10,0.025147796030271865,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2528666209151308,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.2573898015135931,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152728075299385,0.25000000000000006,0.25000000000000006,1.2573898015135931,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.139300006907433
