t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.011930409576429598,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11996289265642875,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5965204788214798,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1520434053578748,0.25,0.25,0.5965204788214798,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.434299997636117
2,0.015314166073060692,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15398730856439713,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7657083036530345,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152056193425011,0.25,0.25,0.7657083036530345,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.119500001659617
3,0.01064370400408861,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10702478508633101,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.5321852002044305,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1520515727247744,0.25000000000000006,0.25000000000000006,0.5321852002044305,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.1237000045366585
4,0.015546845500998559,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1563269513954543,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7773422750499279,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1520647765670122,0.25,0.25,0.7773422750499279,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.04870000097435
5,0.013028921888694384,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13100867559906465,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6514460944347192,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152066671017251,0.25,0.25,0.6514460944347192,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,42.87432841389819,1,0,1,1,1,1,6.127499989815988
6,0.025775180107666606,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2591751058207581,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.2887590053833302,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521535975785717,0.25,0.25,1.2887590053833302,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,42.87432841389819,51.44919409667782,1,0,1,1,1,1,6.01240000105463
7,0.026882566417810918,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.27031011876411065,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.344128320890546,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1522452623450956,0.25000000000000006,0.25000000000000006,1.344128320890546,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,51.44919409667782,60.02405977945745,1,0,1,1,1,1,6.068000002414919
8,0.024788329690472653,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24925210779563758,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.2394164845236326,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523081054977733,0.25,0.25,1.2394164845236326,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,60.02405977945745,68.59892546223708,1,0,1,1,1,1,6.0941999981878325
9,0.015066126030169888,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15149321137107088,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.7533063015084944,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152298605792453,0.25,0.25,0.7533063015084944,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,68.59892546223708,77.17379114501671,1,0,1,1,1,1,6.123600003775209
10,0.030066042657650796,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.30232067263383733,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.5033021328825398,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524165000030346,0.25,0.25,1.5033021328825398,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,77.17379114501671,85.74865682779634,1,0,1,1,1,1,6.226400000741705
11,0.018086440716814232,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.18186313993231512,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.6653345369377348e-16,0.9043220358407116,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1524138890735554,0.25000000000000006,0.25000000000000006,0.9043220358407116,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,85.74865682779634,94.32352251057597,1,0,1,1,1,1,6.1483000026782975
12,0.01930361601468811,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19410210529787794,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.6653345369377348e-16,0.9651808007344056,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8560424095261503,0.25,0.25,0.9651808007344056,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,94.32352251057597,63.473253876135246,1,0,1,1,1,1,4.062399995746091
13,0.019824687636137105,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19934159507312368,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.9912343818068552,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526453889702974,0.25,0.25,0.9912343818068552,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,63.473253876135246,72.04811955891489,1,0,1,1,1,1,6.136199997854419
