t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.01598449198947498,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16072758310740198,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.799224599473749,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152242628146242,0.25,0.25,0.799224599473749,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.592499994440004
2,0.017673584810065552,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17771178297289325,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8836792405032776,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8558282742463654,0.25,0.25,0.8836792405032776,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.262800008291379
3,0.01400513713787984,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1408247346704122,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.700256856893992,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524173392968673,0.25,0.25,0.700256856893992,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.179300005896948
4,0.02428321011841907,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24417301938607944,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2141605059209535,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152461626566726,0.25,0.25,1.2141605059209535,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.135600007837638
5,0.02075473990764622,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20869347524933687,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.037736995382311,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524730286585094,0.25,0.25,1.037736995382311,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.202699994901195
6,0.022297456859595007,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2242058335569274,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.1148728429797503,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524954754770915,0.25,0.25,1.1148728429797503,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.105799999204464
7,0.018636759374960513,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.18739671509510422,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9318379687480256,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856093483858398,0.25,0.25,0.9318379687480256,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.153799993218854
8,0.02788063466869123,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.28034591457456565,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.3940317334345613,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152765752858646,0.25,0.25,1.3940317334345613,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.614500001887791
9,0.02762844489673382,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.27781009094264725,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.381422244836691,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1528167431497414,0.25,0.25,1.381422244836691,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.172800000058487
10,0.01040389122747924,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10461341486523927,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.520194561373962,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527506791575353,0.25,0.25,0.520194561373962,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.205199999385513
11,0.018265979045892573,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1836684373247442,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9132989522946285,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8563154383540215,0.25,0.25,0.9132989522946285,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.16110000514891
12,0.018253940030733252,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1835473823790615,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9126970015366626,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8564792200824245,0.25,0.25,0.9126970015366626,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.32409999484662
13,0.014972386016742244,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15055063491580403,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7486193008371121,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530202324349488,0.25,0.25,0.7486193008371121,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.388000008882955
14,0.01833176410344591,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.18432992054936534,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9165882051722953,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8565656779831525,0.25,0.25,0.9165882051722953,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.153799993218854
15,0.012112227562178167,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12179111249813945,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6056113781089083,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153089071935917,0.25,0.25,0.6056113781089083,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1993999988771975
16,0.01580523778866782,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15892514268724003,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7902618894333908,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153020493198551,0.25,0.25,0.7902618894333908,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.213500004378147
17,0.012465523613568286,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1253435820103837,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6232761806784143,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529440187603655,0.25,0.25,0.6232761806784143,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.096400000387803
