t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.01613526848148404,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.16224367390127803,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.7755575615628914e-17,0.806763424074202,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301185216505324,0.15000000000000002,0.15000000000000002,0.806763424074202,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.478800001787022
2,0.01842445863731865,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.18526198447773065,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,8.326672684688674e-17,0.9212229318659325,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.040573203286309,0.15000000000000005,0.15000000000000005,0.9212229318659325,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.125999999814667
3,0.025408558211473337,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.25548864200769494,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.1102230246251565e-16,1.2704279105736669,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040739263434276,0.15000000000000002,0.15000000000000002,1.2704279105736669,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.279900007531978
4,0.017645495266900627,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.17742933643743483,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,1.6653345369377348e-16,0.8822747633450313,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.040782259723979,0.15000000000000005,0.15000000000000005,0.8822747633450313,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.164899990428239
5,0.018127565947306235,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.18227666317134372,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,1.942890293094024e-16,0.9063782973653117,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301445526346262,0.15000000000000002,0.15000000000000002,0.9063782973653117,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.013399994117208
6,0.029237760729456563,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2939921156463613,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,2.498001805406602e-16,1.4618880364728282,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3014591760401517,0.15000000000000005,0.15000000000000005,1.4618880364728282,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.133200004114769
7,0.01734542200703603,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.17441203380154544,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,3.0531133177191805e-16,0.8672711003518015,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.040813780501376,0.15000000000000005,0.15000000000000005,0.8672711003518015,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.138000003877096
8,0.019389885662839296,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.19496956558701292,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,3.3306690738754696e-16,0.9694942831419647,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040870374353903,0.15000000000000002,0.15000000000000002,0.9694942831419647,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.094599993550219
9,0.020505506571126576,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.20618737922608052,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,3.885780586188048e-16,1.0252753285563287,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.040936457382647,0.15000000000000005,0.15000000000000005,1.0252753285563287,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.03589999768883
10,0.022605878346306545,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.22730707945014553,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,4.440892098500626e-16,1.1302939173153272,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041026938584018,0.15000000000000005,0.15000000000000005,1.1302939173153272,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.218500005663373
