t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,1,800,512,25,1.0,11.416142841069501,1277.4505506248845
2,raucb_plus,1,800,512,25,1.0,10.077686547440704,955.0430454761588
3,raucb_plus,1,800,512,25,1.0,10.511485515122931,1154.588210990621
4,raucb_plus,1,800,512,25,1.0,5.193774836369165,799.3857005036004
5,raucb_plus,1,800,512,25,1.0,14.410129748426154,1056.4898795333263
6,raucb_plus,1,800,512,25,1.0,8.449452137275964,756.6074789729262
7,raucb_plus,1,800,512,25,1.0,16.229150186230953,1453.8341726172835
8,raucb_plus,1,800,512,25,1.0,15.444214518983316,904.8726724494386
9,raucb_plus,1,800,512,25,1.0,6.530836983504571,828.8995944379367
10,raucb_plus,1,800,512,25,1.0,11.506244775292934,930.0581516452527
11,raucb_plus,1,800,512,25,1.0,16.79841517439388,689.5737044616013
12,raucb_plus,1,800,512,25,1.0,10.70217925778281,882.1530025088637
13,raucb_plus,1,800,512,25,1.0,8.768415482297542,573.629461769056
14,raucb_plus,1,800,512,25,1.0,11.79803098721955,689.9828636143807
15,raucb_plus,1,800,512,25,1.0,11.101383499389856,1002.5632785988847
16,raucb_plus,1,800,512,25,1.0,10.102883196374563,1063.8677870140357
17,raucb_plus,1,800,512,25,1.0,3.440232338990868,1298.6850504398958
18,raucb_plus,1,800,512,25,1.0,1.4460672923832778,850.3766252086391
19,raucb_plus,1,800,512,25,1.0,12.47616132758821,1047.8318308420837
20,raucb_plus,1,800,512,25,1.0,12.493885872064457,1003.8732308666722
21,raucb_plus,1,800,512,25,1.0,14.601623902302178,992.7575584443721
22,raucb_plus,1,800,512,25,1.0,16.558368597873244,1318.5242000113933
23,raucb_plus,1,800,512,25,1.0,8.508387203338986,1253.7880925463332
24,raucb_plus,1,800,512,25,1.0,11.780886280790094,773.1362594743241
25,raucb_plus,1,800,512,25,1.0,13.364028241242103,1036.986332288488
26,raucb_plus,1,800,512,25,1.0,11.724456124296388,1325.9983122708718
27,raucb_plus,1,800,512,25,1.0,14.40313582664739,754.1859818377256
28,raucb_plus,1,800,512,25,1.0,14.687955238261985,1074.6938267856237
29,raucb_plus,1,800,512,25,1.0,6.423766827458936,1142.2866779670644
30,raucb_plus,1,800,512,25,1.0,14.63211761985161,962.8171068109864
31,raucb_plus,1,800,512,25,1.0,5.307866459533355,950.995328615056
32,raucb_plus,1,800,512,25,1.0,4.80939657592109,774.3407028828844
33,raucb_plus,1,800,512,25,1.0,20.246547649079886,1102.6893202064277
34,raucb_plus,1,800,512,25,1.0,9.022324785118196,1134.7247021188286
35,raucb_plus,1,800,512,25,1.0,14.838041119238596,1511.4408019685466
36,raucb_plus,1,800,512,25,1.0,11.690135235807254,688.5580179893376
37,raucb_plus,1,800,512,25,1.0,8.048201294934538,613.045191904112
38,raucb_plus,1,800,512,25,1.0,9.154569639347837,822.6978225193673
39,raucb_plus,1,800,512,25,1.0,15.7030893923337,978.4161860347564
40,raucb_plus,1,800,512,25,1.0,9.352845894877074,748.6060424070736
41,raucb_plus,1,800,512,25,1.0,7.971097581341943,938.7511729693534
42,raucb_plus,1,800,512,25,1.0,4.357575927535775,910.1030048951005
43,raucb_plus,1,800,512,25,1.0,15.035870947255844,860.5739290181308
44,raucb_plus,1,800,512,25,1.0,9.106139391491228,973.7993407840369
45,raucb_plus,1,800,512,25,1.0,13.418769193207304,766.6959877507547
46,raucb_plus,1,800,512,25,1.0,19.36765524808048,1247.9930015823325
47,raucb_plus,1,800,512,25,1.0,16.735728054877146,973.7021829205147
48,raucb_plus,1,800,512,25,1.0,15.464502797015856,915.3692522459867
49,raucb_plus,1,800,512,25,1.0,10.01555641722823,1027.034546419942
50,raucb_plus,1,800,512,25,1.0,1.305167874280432,760.2457950986434
51,raucb_plus,1,800,512,25,1.0,8.192815890372236,799.7158443129833
52,raucb_plus,1,800,512,25,1.0,14.637691559428738,1269.3372262737967
53,raucb_plus,1,800,512,25,1.0,7.5797748261885,1064.7498497309464
54,raucb_plus,1,800,512,25,1.0,11.32297041830127,1025.7344845122375
55,raucb_plus,1,800,512,25,1.0,14.718888028482253,927.4531480305367
56,raucb_plus,1,800,512,25,1.0,18.88137884871844,1126.0561170050046
57,raucb_plus,1,800,512,25,1.0,4.454692676443614,790.8682818606723
58,raucb_plus,1,800,512,25,1.0,9.74702788597367,1104.3505249022678
59,raucb_plus,1,800,512,25,1.0,4.878708904090878,877.0573210895626
60,raucb_plus,1,800,512,25,1.0,16.461089712234127,794.5675126153703
61,raucb_plus,1,800,512,25,1.0,6.385513021418763,1293.4589534009772
62,raucb_plus,1,800,512,25,1.0,7.776765822063894,1365.0879864885362
63,raucb_plus,1,800,512,25,1.0,11.49497777802885,1148.8006711819712
64,raucb_plus,1,800,512,25,1.0,6.103487789182557,872.9449376491825
65,raucb_plus,1,800,512,25,1.0,4.823658501979851,1136.9313097504871
66,raucb_plus,1,800,512,25,1.0,15.607012460222489,1113.8588976895696
67,raucb_plus,1,800,512,25,1.0,5.508947594693561,785.0838600857485
68,raucb_plus,1,800,512,25,1.0,9.388472250532164,1143.8545792121163
69,raucb_plus,1,800,512,25,1.0,3.846136164504954,1245.6602304465541
70,raucb_plus,1,800,512,25,1.0,5.708532342275337,801.3838963505168
71,raucb_plus,1,800,512,25,1.0,3.5097542904987264,939.8466254508656
