t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,1,200,128,10,1.0,4.04599979376206,904.7123516929622
2,sw_ucb,1,200,128,10,1.0,11.288942241484367,541.2154330256212
3,sw_ucb,1,200,128,10,1.0,5.814888038918437,1015.2812361500166
4,sw_ucb,1,200,128,10,1.0,9.754837612111393,1312.2758970624534
5,sw_ucb,1,200,128,10,1.0,8.461204293571148,939.8050150373201
6,sw_ucb,1,200,128,10,1.0,12.88145463083627,955.9828091896834
7,sw_ucb,1,200,128,10,1.0,8.976258262047635,1045.2555175271573
8,sw_ucb,1,200,128,10,1.0,14.20295808211208,1011.5421057075491
9,sw_ucb,1,200,128,10,1.0,2.5407125770067465,1424.7777636977662
10,sw_ucb,1,200,128,10,1.0,10.4754016245729,1108.1814336941945
11,sw_ucb,1,200,128,10,1.0,9.671583211531104,919.262004453521
12,sw_ucb,1,200,128,10,1.0,8.97924279223158,1052.8113001209276
13,sw_ucb,1,200,128,10,1.0,10.982970317816905,636.3290472794984
14,sw_ucb,1,200,128,10,1.0,4.028695778360067,1011.1354692851669
15,sw_ucb,1,200,128,10,1.0,6.668472589304203,882.8177170855063
16,sw_ucb,1,200,128,10,1.0,5.197315701759058,1086.2919689021721
17,sw_ucb,1,200,128,10,1.0,7.28716600631884,923.4780510703993
18,sw_ucb,1,200,128,10,1.0,11.235044451916064,871.8843133105273
19,sw_ucb,1,200,128,10,1.0,4.027501696452789,901.2304852950177
20,sw_ucb,1,200,128,10,1.0,12.442286287945677,1202.388570930407
21,sw_ucb,1,200,128,10,1.0,4.993241545424162,1193.8733226169245
22,sw_ucb,1,200,128,10,1.0,16.428069943059903,1107.6254537499806
23,sw_ucb,1,200,128,10,1.0,12.019959319815413,952.0643808119918
24,sw_ucb,1,200,128,10,1.0,20.84439497850944,1056.7511733689003
25,sw_ucb,1,200,128,10,1.0,8.207564061961925,978.8110953941273
26,sw_ucb,1,200,128,10,1.0,7.554502433529642,1127.5276013987905
27,sw_ucb,1,200,128,10,1.0,18.621452694239174,784.3892260158724
28,sw_ucb,1,200,128,10,1.0,2.3218351843539793,950.9268999835001
29,sw_ucb,1,200,128,10,1.0,5.593131175334612,1123.8392104512525
30,sw_ucb,1,200,128,10,1.0,6.123380352154463,1006.4306243270261
31,sw_ucb,1,200,128,10,1.0,5.011003439761038,885.1067274649686
32,sw_ucb,1,200,128,10,1.0,13.753158822564643,832.2661355119508
33,sw_ucb,1,200,128,10,1.0,-2.965879042658667,1017.0119587570157
34,sw_ucb,1,200,128,10,1.0,9.265450523752438,798.0781623404513
35,sw_ucb,1,200,128,10,1.0,10.53245722617635,970.4725947467047
36,sw_ucb,1,200,128,10,1.0,6.583582937020844,792.2541478557109
37,sw_ucb,1,200,128,10,1.0,7.180066163661753,1223.419030217405
38,sw_ucb,1,200,128,10,1.0,9.788161146093318,1131.5782289584176
39,sw_ucb,1,200,128,10,1.0,8.663739203224468,1012.3795164948376
40,sw_ucb,1,200,128,10,1.0,10.394660405830777,842.8710469017923
41,sw_ucb,1,200,128,10,1.0,17.5352958623417,927.6402219690544
42,sw_ucb,1,200,128,10,1.0,4.755931237217284,1119.2499646516771
43,sw_ucb,1,200,128,10,1.0,10.967469643655205,1243.44149018666
44,sw_ucb,1,200,128,10,1.0,4.399424185614963,1101.7864225029496
45,sw_ucb,1,200,128,10,1.0,9.358008106546322,1036.9981517454862
46,sw_ucb,1,200,128,10,1.0,19.15467084615171,1054.462097311854
47,sw_ucb,1,200,128,10,1.0,6.3532862792932265,982.1897843557554
48,sw_ucb,1,200,128,10,1.0,11.25185882574944,1145.443052701186
49,sw_ucb,1,200,128,10,1.0,13.567444405842428,1241.8872152310705
50,sw_ucb,1,200,128,10,1.0,2.3431727480004403,633.676432204617
51,sw_ucb,1,200,128,10,1.0,14.726542359912216,1306.1539291136305
52,sw_ucb,1,200,128,10,1.0,10.977501011891318,1010.633694257237
53,sw_ucb,1,200,128,10,1.0,17.995294702636826,772.8820960486825
54,sw_ucb,1,200,128,10,1.0,7.793798454307716,1067.658999875847
55,sw_ucb,1,200,128,10,1.0,-0.19879755613777306,634.960920695054
56,sw_ucb,1,200,128,10,1.0,10.930538801499148,716.166644577387
57,sw_ucb,1,200,128,10,1.0,8.181655686503941,1585.4985909910765
58,sw_ucb,1,200,128,10,1.0,15.908760112891851,1184.6378856334663
59,sw_ucb,1,200,128,10,1.0,10.333782008885912,1050.7161564401445
60,sw_ucb,1,200,128,10,1.0,13.52023034723021,788.3099212892594
61,sw_ucb,1,200,128,10,1.0,17.03930922574437,641.4210233376442
62,sw_ucb,1,200,128,10,1.0,5.713630704604167,847.4535180348093
63,sw_ucb,1,200,128,10,1.0,12.31405040543681,756.3558050628312
64,sw_ucb,1,200,128,10,1.0,2.5740035957877136,937.0617184100055
65,sw_ucb,1,200,128,10,1.0,9.506705631659095,1002.8588213252613
66,sw_ucb,1,200,128,10,1.0,11.678846633631927,933.680987191465
67,sw_ucb,1,200,128,10,1.0,18.823159352029357,1000.493427623115
68,sw_ucb,1,200,128,10,1.0,18.62643346409676,857.5909145213554
69,sw_ucb,1,200,128,10,1.0,12.038108952518737,821.075512523629
70,sw_ucb,1,200,128,10,1.0,3.987542186563503,729.8557237135735
71,sw_ucb,1,200,128,10,1.0,13.017770918994547,1054.128333449922
72,sw_ucb,1,200,128,10,1.0,17.51991307156292,990.9706740770265
73,sw_ucb,1,200,128,10,1.0,9.551399270848696,966.6825305403752
74,sw_ucb,1,200,128,10,1.0,11.165736509077947,1099.1364783366644
75,sw_ucb,1,200,128,10,1.0,4.761007112171346,870.6638701943073
76,sw_ucb,1,200,128,10,1.0,10.089133303648255,899.0646748065225
77,sw_ucb,1,200,128,10,1.0,15.45363501806986,1261.127315722186
78,sw_ucb,1,200,128,10,1.0,13.36305958155144,835.0726871517688
79,sw_ucb,1,200,128,10,1.0,-2.03998689782426,1145.3474513844294
80,sw_ucb,1,200,128,10,1.0,14.576542100059912,1022.5670017944927
81,sw_ucb,1,200,128,10,1.0,11.953589684149524,966.7068222831753
82,sw_ucb,1,200,128,10,1.0,4.841608731807833,1160.6011809521553
83,sw_ucb,1,200,128,10,1.0,12.60751965435049,1034.3985025481475
84,sw_ucb,1,200,128,10,1.0,14.609145048228024,865.1191834639963
85,sw_ucb,1,200,128,10,1.0,7.701467613854543,1094.2973338213749
86,sw_ucb,1,200,128,10,1.0,9.767149808333297,1114.9604367051688
87,sw_ucb,1,200,128,10,1.0,12.055026774554412,1067.0563493725883
88,sw_ucb,1,200,128,10,1.0,19.024319663357222,1172.3039352383635
89,sw_ucb,1,200,128,10,1.0,9.680733473769129,994.644329535506
90,sw_ucb,1,200,128,10,1.0,4.683091172679399,1099.9478167664636
91,sw_ucb,1,200,128,10,1.0,2.291742809196129,841.7614182016117
92,sw_ucb,1,200,128,10,1.0,9.63143165291669,856.2255554188864
93,sw_ucb,1,200,128,10,1.0,3.0483874500505888,792.0695791262831
94,sw_ucb,1,200,128,10,1.0,6.375039117401522,996.0354070799943
95,sw_ucb,1,200,128,10,1.0,5.834236982113178,1063.965461213141
96,sw_ucb,1,200,128,10,1.0,6.368059150511701,865.5936006435272
97,sw_ucb,1,200,128,10,1.0,7.80248310666313,1191.9312215161845
98,sw_ucb,1,200,128,10,1.0,7.583622581334407,1287.2784210628984
99,sw_ucb,1,200,128,10,1.0,10.798055231437655,480.36002057293683
100,sw_ucb,1,200,128,10,1.0,-2.2922240486486487,1124.8260097965601
101,sw_ucb,1,200,128,10,1.0,7.218861448296318,841.3671631595528
102,sw_ucb,1,200,128,10,1.0,12.277468688775246,985.5667630341525
