t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.004,0.8,17867.864603916634,400.0,0.08,0.0,0.15226260599814143,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.006403419788026413,0.2,1,0,0,0,0,17867.864603916634,0.0,0.0,0.0,0.2,5.0,17867.864603916634,6.906931980078543,0.0008341036957957002,4.5,0.15226260599814143,0.15226260599814143,0.2,1,0,0,357.05921904029066,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.697900011204183
2,0.004,0.8,15910.281495077335,400.0,0.08,0.0,0.29209283407351555,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.012419712861550653,0.2,1,0,0,0,0,15910.281495077335,0.0,0.0,0.0,0.2,5.0,15910.281495077335,4.0299361648926535,0.02568260013947018,4.49302104535768,0.29209283407351555,0.29209283407351555,0.2,1,0,0,310.03328194665704,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1526000063167885
3,0.004,0.8,17955.23858562952,400.0,0.08,0.0,0.09926218950287415,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004985125550262256,0.2,1,0,0,0,0,17955.23858562952,0.0,0.0,0.0,0.2,5.0,17955.23858562952,7.9942907126215275,0.00022636196095598952,4.5,0.09926218950287415,0.09926218950287415,0.2,1,0,0,359.0234840522769,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.100099999457598
4,0.004,0.8,17985.208256628553,400.0,0.08,0.0,0.0548351862072695,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.003861727213858683,0.2,1,0,0,0,0,17985.208256628553,0.0,0.0,0.0,0.2,5.0,17985.208256628553,9.103235790735557,5.983362378941981e-05,4.5,0.0548351862072695,0.0548351862072695,0.2,1,0,0,359.682642728879,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.216000008862466
5,0.004,0.8,17860.328932067718,400.0,0.08,0.0,0.15511786018342283,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.00648635118980276,0.2,1,0,0,0,0,17860.328932067718,0.0,0.0,0.0,0.2,5.0,17860.328932067718,6.851047128110743,0.000891906850463314,4.5,0.15511786018342283,0.15511786018342283,0.2,1,0,0,356.88798364683356,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.174800000735559
6,0.004,0.8,17661.638301999526,400.0,0.08,0.0,0.2011659483817771,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.007972631504200687,0.2,1,0,0,0,0,17661.638301999526,0.0,0.0,0.0,0.2,5.0,17661.638301999526,5.955034803189518,0.002609348976406207,4.5,0.2011659483817771,0.2011659483817771,0.2,1,0,0,352.3110584834909,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.455599999753758
7,0.004,0.8,17958.63728702567,400.0,0.08,0.0,0.0956937323970257,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004895088044460521,0.2,1,0,0,0,0,17958.63728702567,0.0,0.0,0.0,0.2,5.0,17958.63728702567,8.0734466418844,0.0002058543154806599,4.5,0.0956937323970257,0.0956937323970257,0.2,1,0,0,359.09880848079973,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.183300007251091
8,0.004,0.8,17966.967779391216,400.0,0.08,0.0,0.08583059613484079,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0046475545474283855,0.2,1,0,0,0,0,17966.967779391216,0.0,0.0,0.0,0.2,5.0,17966.967779391216,8.298806760409482,0.0001570847311155236,4.5,0.08583059613484079,0.08583059613484079,0.2,1,0,0,359.2829088617726,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.140199999208562
9,0.004,0.8,17884.239211321805,400.0,0.08,0.0,0.14548673076786323,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.006209980693492417,0.2,1,0,0,0,0,17884.239211321805,0.0,0.0,0.0,0.2,5.0,17884.239211321805,7.040149217635417,0.0007109629231851478,4.5,0.14548673076786323,0.14548673076786323,0.2,1,0,0,357.43048360666364,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.264099996769801
10,0.004,0.8,17297.664834729472,400.0,0.08,0.0,0.23866647909051772,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.009477931509350203,0.2,1,0,0,0,0,17297.664834729472,0.0,0.0,0.0,0.2,5.0,17297.664834729472,5.203916057232403,0.006402146229091899,4.5,0.23866647909051772,0.23866647909051772,0.2,1,0,0,343.73845310071425,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.214300010469742
11,0.004,0.8,17983.26875574386,400.0,0.08,0.0,0.05911569563468797,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.003972951387670037,0.2,1,0,0,0,0,17983.26875574386,0.0,0.0,0.0,0.2,5.0,17983.26875574386,8.979919206057602,6.937580200876857e-05,4.5,0.05911569563468797,0.05911569563468797,0.2,1,0,0,359.64042304102384,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.327400013105944
12,0.004,0.8,17966.323618562867,400.0,0.08,0.0,0.08665933792956439,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004668307000641633,0.2,1,0,0,0,0,17966.323618562867,0.0,0.0,0.0,0.2,5.0,17966.323618562867,8.279457630373122,0.00016077415471404813,4.5,0.08665933792956439,0.08665933792956439,0.2,1,0,0,359.2687019613955,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.228099999134429
