t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.01595335778190445,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16041452180160193,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7976678890952225,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522407401661705,0.25,0.25,0.7976678890952225,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.7568000085884705
2,0.024092300602741402,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24225338221104248,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2046150301370702,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522973843027984,0.25,0.25,1.2046150301370702,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.21310000133235
3,0.02797354540660739,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.28128015248214644,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.3986772703303694,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523897995284993,0.25,0.25,1.3986772703303694,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.33899999957066
4,0.019282166362007424,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19388642432183378,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9641083181003712,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523967544087235,0.25,0.25,0.9641083181003712,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.162599995150231
5,0.013257865666016073,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13331075564143471,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6628932833008037,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523729061373387,0.25,0.25,0.6628932833008037,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.177799994475208
6,0.027495926990864335,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2764775942487967,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.3747963495432167,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524538248616225,0.25,0.25,1.3747963495432167,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.117700002505444
7,0.017116405406846363,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17210922150921884,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8558202703423181,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524427404606934,0.25,0.25,0.8558202703423181,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.078699996578507
8,0.014537665061818916,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.14617942008727053,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7268832530909458,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152420196439956,0.25,0.25,0.7268832530909458,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.095100005040877
9,0.012443950901400422,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12512666364412625,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.6221975450700211,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1523916752095777,0.25000000000000006,0.25000000000000006,0.6221975450700211,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.060499988961965
10,0.018144411667578395,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.18244605059428026,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9072205833789196,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523913933564365,0.25,0.25,0.9072205833789196,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.02709999657236
