t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.019984927235514545,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2009528394932149,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9992463617757272,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525357185851672,0.25,0.25,0.9992463617757272,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.708000000799075
2,0.02648131238842404,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.26627542123365894,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.324065619421202,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152592490853026,0.25,0.25,1.324065619421202,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.140199999208562
3,0.028483535002806454,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2864082100557602,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.4241767501403226,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526672783463385,0.25,0.25,1.4241767501403226,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1950999952387065
4,0.01397339556387581,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.14050556616151924,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6986697781937905,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152624484304587,0.25,0.25,0.6986697781937905,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.086900000809692
5,0.025627714205462043,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2576923037356059,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.281385710273102,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152665284845451,0.25,0.25,1.281385710273102,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.128900000476278
6,0.014251319603361632,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1433001535142744,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7125659801680816,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152623758757108,0.25,0.25,0.7125659801680816,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.606299997656606
7,0.015064745546909683,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15147933030822078,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7532372773454842,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152589000683807,0.25,0.25,0.7532372773454842,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.142600002931431
8,0.02597304292856554,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2611646600093328,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.298652146428277,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152636175396681,0.25,0.25,1.298652146428277,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.311799996183254
9,0.016476173355107215,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16567154739535375,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8238086677553608,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8561531957030266,0.25,0.25,0.8238086677553608,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.105900006834418
10,0.01051881284841624,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1057689770433899,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5259406424208121,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527051139010727,0.25,0.25,0.5259406424208121,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.132800001068972
11,0.011659455360852167,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11723838841624411,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5829727680426083,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152651364914222,0.25,0.25,0.5829727680426083,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.288200005656108
12,0.03165524870195806,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.31830048899142754,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.582762435097903,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152762314761229,0.25,0.25,1.582762435097903,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0972999926889315
13,0.013158182100962965,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13230841546715422,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6579091050481483,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527088638070837,0.25,0.25,0.6579091050481483,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.275799998547882
14,0.020010568772936117,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20121067079242924,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.0005284386468059,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152695189366887,0.25000000000000006,0.25000000000000006,1.0005284386468059,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.132499998784624
15,0.02587927729396925,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.26022182592757925,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.2939638646984626,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152732901891907,0.25,0.25,1.2939638646984626,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1304999981075525
16,0.016589009739775208,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16680614206412428,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8294504869887603,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856245525177311,0.25,0.25,0.8294504869887603,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.24560000828933
17,0.0274531762608409,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.27604772625441387,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.372658813042045,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152900766927658,0.25000000000000006,0.25000000000000006,1.372658813042045,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.133500006399117
18,0.029004795650071344,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2916496005271654,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.450239782503567,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152957173095814,0.25,0.25,1.450239782503567,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.14419998601079
19,0.027645779300712027,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2779843921877453,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.3822889650356014,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152993046691533,0.25,0.25,1.3822889650356014,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.2390999955823645
20,0.01905293971019475,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19158149991423218,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.9526469855097375,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152950259505405,0.25,0.25,0.9526469855097375,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.13310000335332
