t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.02759150068467288,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2774386087636532,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.379575034233644,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1533978930395676,0.25,0.25,1.379575034233644,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.6463999974075705
2,0.009952164483388521,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10007120308581681,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.497608224169426,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.15328426676765,0.25000000000000006,0.25000000000000006,0.497608224169426,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.185999998706393
3,0.010202706021617726,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10259045336503154,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5101353010808862,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531803148329347,0.25,0.25,0.5101353010808862,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.242399991606362
4,0.026267705214162614,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.26412755410869515,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.3133852607081307,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531832581917403,0.25,0.25,1.3133852607081307,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.125900006736629
5,0.017540981890861913,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17637843145126708,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8770490945430955,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8566893569384453,0.25,0.25,0.8770490945430955,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,3.4491940966778287,1,0,1,1,1,1,4.131200010306202
6,0.014086460509507721,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.14164245906105916,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.704323025475386,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1532098572940344,0.25,0.25,0.704323025475386,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,3.4491940966778287,12.024059779457467,1,0,1,1,1,1,6.2255000084405765
7,0.015183072311868238,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15266913195854717,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7591536155934119,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531287380372532,0.25,0.25,0.7591536155934119,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,12.024059779457467,20.598925462237105,1,0,1,1,1,1,6.069299997761846
8,0.02065876249838245,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20772840128677159,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.0329381249191225,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530860709984694,0.25,0.25,1.0329381249191225,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,20.598925462237105,29.173791145016743,1,0,1,1,1,1,6.064599991077557
9,0.018077873719633385,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.18177699689115545,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9038936859816692,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530298438330746,0.25,0.25,0.9038936859816692,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,29.173791145016743,37.748656827796374,1,0,1,1,1,1,6.596100007300265
10,0.01162558431600693,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11689780760961715,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5812792158003465,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152950016994821,0.25,0.25,0.5812792158003465,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,37.748656827796374,46.323522510576005,1,0,1,1,1,1,6.251899991184473
11,0.03180740099311797,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.3198304137484037,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.5903700496558983,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530391964350404,0.25,0.25,1.5903700496558983,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,46.323522510576005,54.898388193355636,1,0,1,1,1,1,6.166200008010492
12,0.01642612621334953,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16516831237597107,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8213063106674766,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8565225037044137,0.25,0.25,0.8213063106674766,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,54.898388193355636,24.048119558914905,1,0,1,1,1,1,4.144499995163642
13,0.018153846931622766,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.18254092424974777,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9076923465811383,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530764254931265,0.25,0.25,0.9076923465811383,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,24.048119558914905,32.62298524169454,1,0,1,1,1,1,6.18130000657402
14,0.019639665692402167,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1974811587290765,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.9819832846201083,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856664470340405,0.25,0.25,0.9819832846201083,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,32.62298524169454,1.7727166072538267,1,0,1,1,1,1,4.157699993811548
15,0.02279767006250635,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.22923558734549263,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.1398835031253174,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1532403807242164,0.25,0.25,1.1398835031253174,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,1.7727166072538267,10.347582290033465,1,0,1,1,1,1,6.1147999949753284
16,0.01754553808042902,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17642424493960207,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.877276904021451,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531687407847464,0.25,0.25,0.877276904021451,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,10.347582290033465,18.922447972813103,1,0,1,1,1,1,6.14349999523256
17,0.019958323272205307,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2006853307899926,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9979161636102654,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531179155559164,0.25,0.25,0.9979161636102654,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,18.922447972813103,27.49731365559274,1,0,1,1,1,1,6.212499996763654
18,0.022626066903826982,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.22751007983694674,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.131303345191349,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530914914670425,0.25,0.25,1.131303345191349,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,27.49731365559274,36.07217933837237,1,0,1,1,1,1,6.074100005207583
19,0.011269300885747688,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11331529934570184,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5634650442873844,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530057144333483,0.25,0.25,0.5634650442873844,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,36.07217933837237,44.647045021152,1,0,1,1,1,1,6.203199998708442
20,0.017518808557953135,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17615547371133955,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.8759404278976568,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15295269753943,0.25,0.25,0.8759404278976568,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,44.647045021152,53.221910703931634,1,0,1,1,1,1,6.127000000560656
