t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,1,400,512,50,1.0,-3.892387805019892,1086.1645266704459
2,lyapunov_greedy_oracle,1,400,512,50,1.0,19.827062170362566,900.8564674104903
3,lyapunov_greedy_oracle,1,400,512,50,1.0,8.07297912365869,844.5775410434406
4,lyapunov_greedy_oracle,1,400,512,50,1.0,15.911287998399356,1192.5679260948862
5,lyapunov_greedy_oracle,1,400,512,50,1.0,14.740118380774696,733.6553203874589
6,lyapunov_greedy_oracle,1,400,512,50,1.0,7.0375197678351995,1109.01149051902
7,lyapunov_greedy_oracle,1,400,512,50,1.0,12.903368491909415,913.8620070158668
8,lyapunov_greedy_oracle,1,400,512,50,1.0,13.136833349674399,849.6637918880081
9,lyapunov_greedy_oracle,1,400,512,50,1.0,9.749981707886707,956.3289740908891
10,lyapunov_greedy_oracle,1,400,512,50,1.0,15.290257210897039,941.7501278955808
11,lyapunov_greedy_oracle,1,400,512,50,1.0,3.331944759845758,813.3004193195668
12,lyapunov_greedy_oracle,1,400,512,50,1.0,-0.8023754717287304,919.4936405841164
13,lyapunov_greedy_oracle,1,400,512,50,1.0,14.937911697636839,1026.5951653727893
14,lyapunov_greedy_oracle,1,400,512,50,1.0,5.691995305662668,972.5540614910719
15,lyapunov_greedy_oracle,1,400,512,50,1.0,11.04282242340825,1268.4690074014197
16,lyapunov_greedy_oracle,1,400,512,50,1.0,0.8303506386163377,794.202071700626
17,lyapunov_greedy_oracle,1,400,512,50,1.0,7.545219833071879,723.6609213858168
18,lyapunov_greedy_oracle,1,400,512,50,1.0,3.8946291593475966,927.6075462166932
19,lyapunov_greedy_oracle,1,400,512,50,1.0,12.220748464833104,615.9919336784329
20,lyapunov_greedy_oracle,1,400,512,50,1.0,4.992514588667567,1186.3737215403974
21,lyapunov_greedy_oracle,1,400,512,50,1.0,7.803329922958099,894.6020124426398
22,lyapunov_greedy_oracle,1,400,512,50,1.0,7.791142926035286,1092.1194049384537
23,lyapunov_greedy_oracle,1,400,512,50,1.0,7.080420743455951,1185.1758207210844
24,lyapunov_greedy_oracle,1,400,512,50,1.0,12.619563314193236,983.2702344044218
25,lyapunov_greedy_oracle,1,400,512,50,1.0,6.231784455516385,1149.2895367198491
26,lyapunov_greedy_oracle,1,400,512,50,1.0,6.716695144581602,1216.4220071490176
27,lyapunov_greedy_oracle,1,400,512,50,1.0,17.57504549177093,762.3697652185512
28,lyapunov_greedy_oracle,1,400,512,50,1.0,11.93241230120486,567.1938803445407
29,lyapunov_greedy_oracle,1,400,512,50,1.0,7.749437233138369,1028.3816422610244
30,lyapunov_greedy_oracle,1,400,512,50,1.0,8.44068567870526,494.8691056322727
31,lyapunov_greedy_oracle,1,400,512,50,1.0,8.381088323902725,1087.5605019763725
32,lyapunov_greedy_oracle,1,400,512,50,1.0,9.230559937266563,978.0766316063051
33,lyapunov_greedy_oracle,1,400,512,50,1.0,2.6060188649984823,1110.7580343021239
34,lyapunov_greedy_oracle,1,400,512,50,1.0,11.275465683854215,973.3220475651299
35,lyapunov_greedy_oracle,1,400,512,50,1.0,11.498248880128099,892.8236116356514
36,lyapunov_greedy_oracle,1,400,512,50,1.0,3.4218446160740683,894.9945868134548
37,lyapunov_greedy_oracle,1,400,512,50,1.0,8.791161885676885,883.9221895437064
