t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,1,200,256,10,1.0,-0.15784502913437493,1308.82937465676
2,raucb_plus,1,200,256,10,1.0,16.938272093323793,735.922880176755
3,raucb_plus,1,200,256,10,1.0,12.671763216628134,1101.8656694187573
4,raucb_plus,1,200,256,10,1.0,6.826248366009218,950.4011152984215
5,raucb_plus,1,200,256,10,1.0,4.772604229399105,1212.4466149507907
6,raucb_plus,1,200,256,10,1.0,3.109145768638352,923.942821913666
7,raucb_plus,1,200,256,10,1.0,6.395059443366595,1043.9405809225088
8,raucb_plus,1,200,256,10,1.0,8.552311651388887,1254.8345814638456
9,raucb_plus,1,200,256,10,1.0,11.565145217885437,1138.0704440655202
10,raucb_plus,1,200,256,10,1.0,11.313123533681567,885.9845319027543
11,raucb_plus,1,200,256,10,1.0,14.681909579796773,1239.0635210179612
12,raucb_plus,1,200,256,10,1.0,6.476292201744412,936.7226064743159
13,raucb_plus,1,200,256,10,1.0,10.458365756063968,1200.8195901608979
14,raucb_plus,1,200,256,10,1.0,3.8174604026494823,934.8831003955092
15,raucb_plus,1,200,256,10,1.0,11.218349485244403,1298.1661234654061
16,raucb_plus,1,200,256,10,1.0,6.874288425087487,901.466190886588
17,raucb_plus,1,200,256,10,1.0,8.239535877756206,784.9932315681555
18,raucb_plus,1,200,256,10,1.0,9.595894797729537,1145.9580966914136
19,raucb_plus,1,200,256,10,1.0,4.978056483855364,1115.7474807259991
20,raucb_plus,1,200,256,10,1.0,9.325432299440228,1335.0910276466298
21,raucb_plus,1,200,256,10,1.0,16.872385467811373,1103.1760269327142
22,raucb_plus,1,200,256,10,1.0,11.387006738768147,906.0442601867791
23,raucb_plus,1,200,256,10,1.0,4.80949449242252,964.8862745231929
24,raucb_plus,1,200,256,10,1.0,15.121822608259038,1078.699233143599
25,raucb_plus,1,200,256,10,1.0,8.644881685205746,742.2132874514161
26,raucb_plus,1,200,256,10,1.0,17.182817378792535,1159.0286539409174
27,raucb_plus,1,200,256,10,1.0,6.309868230423152,1377.8947079127595
28,raucb_plus,1,200,256,10,1.0,12.168898013709342,709.0292627056276
29,raucb_plus,1,200,256,10,1.0,3.5246169279907154,696.5214359107104
30,raucb_plus,1,200,256,10,1.0,10.411508882288523,1134.236960973822
31,raucb_plus,1,200,256,10,1.0,9.777494612031266,868.6879452686038
32,raucb_plus,1,200,256,10,1.0,19.79368847219323,1266.749249379786
33,raucb_plus,1,200,256,10,1.0,8.41553703955487,845.8761723111091
34,raucb_plus,1,200,256,10,1.0,10.627716525923312,1001.9476938701904
35,raucb_plus,1,200,256,10,1.0,12.680029322266272,1201.2076267600341
36,raucb_plus,1,200,256,10,1.0,7.709611426870758,688.4881254133898
37,raucb_plus,1,200,256,10,1.0,3.2090623575201773,784.6738549573113
38,raucb_plus,1,200,256,10,1.0,4.307312984111161,1026.2937706016971
39,raucb_plus,1,200,256,10,1.0,-5.690627236533455,742.4704588088441
