t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,3,800,128,50,1.0,14.244778533176028,1485.0624410373082
2,safe_linucb,3,800,128,50,1.0,8.79471114738885,1186.949916967188
3,safe_linucb,3,800,128,50,1.0,18.013182121419174,1270.1234903282739
4,safe_linucb,3,800,128,50,1.0,4.159890316126688,843.2986724952044
5,safe_linucb,3,800,128,50,1.0,14.815519376879747,1046.3007194133324
6,safe_linucb,3,800,128,50,1.0,12.453778474524531,1182.4347324274438
7,safe_linucb,3,800,128,50,1.0,11.82290255074025,899.48606550297
8,safe_linucb,3,800,128,50,1.0,15.661886304194931,909.9650673238699
9,safe_linucb,3,800,128,50,1.0,12.16671820158285,1308.0171128706745
10,safe_linucb,3,800,128,50,1.0,10.882605289355654,1163.1956561090556
11,safe_linucb,3,800,128,50,1.0,8.70050283690302,1002.9333847706105
12,safe_linucb,3,800,128,50,1.0,10.74003266058503,875.317398707295
13,safe_linucb,3,800,128,50,1.0,14.256825833692227,1071.1190688418417
14,safe_linucb,3,800,128,50,1.0,12.228810155100234,1397.993143534309
15,safe_linucb,3,800,128,50,1.0,10.348067559516718,1241.1811967664719
16,safe_linucb,3,800,128,50,1.0,10.5191176491468,1039.590398551221
17,safe_linucb,3,800,128,50,1.0,10.723171713205444,1241.8091754941138
18,safe_linucb,3,800,128,50,1.0,9.471451761526039,806.1824119893768
19,safe_linucb,3,800,128,50,1.0,11.28811850433935,1060.947046558519
20,safe_linucb,3,800,128,50,1.0,10.862005333252249,718.0984669411969
21,safe_linucb,3,800,128,50,1.0,7.741482127202316,1096.3864826213185
22,safe_linucb,3,800,128,50,1.0,8.4111956116,1200.6168307528192
23,safe_linucb,3,800,128,50,1.0,14.701165348682263,617.896518151048
24,safe_linucb,3,800,128,50,1.0,10.350208546033281,889.8229485464446
25,safe_linucb,3,800,128,50,1.0,6.762566064612964,668.1435937541262
26,safe_linucb,3,800,128,50,1.0,7.46023840690995,861.9059899342011
27,safe_linucb,3,800,128,50,1.0,18.261790082778784,826.8332602644817
28,safe_linucb,3,800,128,50,1.0,9.619669844662665,754.1329632907722
29,safe_linucb,3,800,128,50,1.0,5.578368370538715,995.0949573967838
30,safe_linucb,3,800,128,50,1.0,10.88525489738142,954.7156380473758
31,safe_linucb,3,800,128,50,1.0,9.155097591951847,1236.034650054411
32,safe_linucb,3,800,128,50,1.0,5.7333976178168555,934.4278188466001
33,safe_linucb,3,800,128,50,1.0,8.8972930909436,1200.2469137252615
34,safe_linucb,3,800,128,50,1.0,14.080729248776962,748.8347812875187
35,safe_linucb,3,800,128,50,1.0,11.996811457880838,885.8695207160207
36,safe_linucb,3,800,128,50,1.0,1.682670637690725,592.8852636972997
37,safe_linucb,3,800,128,50,1.0,17.566990533288248,987.7357289180796
38,safe_linucb,3,800,128,50,1.0,12.449019001161986,1026.2197240686237
39,safe_linucb,3,800,128,50,1.0,13.766488424423418,740.0208490790233
40,safe_linucb,3,800,128,50,1.0,5.534755471255096,538.204527704705
41,safe_linucb,3,800,128,50,1.0,13.709560081987696,1257.155947074441
42,safe_linucb,3,800,128,50,1.0,8.099425077578237,1370.939416609682
43,safe_linucb,3,800,128,50,1.0,5.147092436801862,904.4179600507995
44,safe_linucb,3,800,128,50,1.0,14.89160453737001,1086.8712890957927
45,safe_linucb,3,800,128,50,1.0,12.991354855874437,1142.0405035416145
46,safe_linucb,3,800,128,50,1.0,8.748525899136238,1122.1599273879838
47,safe_linucb,3,800,128,50,1.0,3.89741423273027,846.2012168868813
48,safe_linucb,3,800,128,50,1.0,11.685679787676321,769.6172596541637
49,safe_linucb,3,800,128,50,1.0,0.36007493913824895,1370.1566910759134
50,safe_linucb,3,800,128,50,1.0,12.954696828306277,815.4606988311978
51,safe_linucb,3,800,128,50,1.0,13.017008924180647,834.5046712429637
52,safe_linucb,3,800,128,50,1.0,10.240830230317844,1138.7157073917363
53,safe_linucb,3,800,128,50,1.0,6.7506811316662105,868.3612425359618
54,safe_linucb,3,800,128,50,1.0,9.111710251028057,1042.3442954565899
55,safe_linucb,3,800,128,50,1.0,5.19850869183563,1083.3607043424288
56,safe_linucb,3,800,128,50,1.0,9.69347841406304,1023.5471531612121
57,safe_linucb,3,800,128,50,1.0,10.999470608221543,1331.6689257181297
58,safe_linucb,3,800,128,50,1.0,3.745235863138868,1100.9906136134236
59,safe_linucb,3,800,128,50,1.0,4.737300655353379,758.8223150386555
60,safe_linucb,3,800,128,50,1.0,4.444515124306144,886.3847484333245
61,safe_linucb,3,800,128,50,1.0,14.377575166394228,1083.107927212604
62,safe_linucb,3,800,128,50,1.0,18.938548450578416,1393.2272321845408
63,safe_linucb,3,800,128,50,1.0,19.44692580863098,631.8716931378153
64,safe_linucb,3,800,128,50,1.0,8.675882308039819,801.0748703587054
65,safe_linucb,3,800,128,50,1.0,-0.23674045467022253,1190.3823401271961
66,safe_linucb,3,800,128,50,1.0,14.129089299219405,966.5757386556536
67,safe_linucb,3,800,128,50,1.0,11.194843364502187,863.2462466377251
68,safe_linucb,3,800,128,50,1.0,3.324181632180606,664.766077430439
69,safe_linucb,3,800,128,50,1.0,3.858644785676021,879.9041139446779
70,safe_linucb,3,800,128,50,1.0,2.52961444181948,1082.3977501282152
71,safe_linucb,3,800,128,50,1.0,11.054621793920521,1022.6129686807698
72,safe_linucb,3,800,128,50,1.0,9.0880534321611,784.6355364969481
73,safe_linucb,3,800,128,50,1.0,15.749274803326594,872.340103698957
74,safe_linucb,3,800,128,50,1.0,12.995821669734251,776.4530832275871
75,safe_linucb,3,800,128,50,1.0,15.336148338601761,985.7154093112845
76,safe_linucb,3,800,128,50,1.0,8.704770766616038,1240.9658061640537
77,safe_linucb,3,800,128,50,1.0,5.684888803862893,899.8044357569042
78,safe_linucb,3,800,128,50,1.0,18.399758307229213,1158.4185318788252
79,safe_linucb,3,800,128,50,1.0,2.132056030467046,1048.4234485462357
80,safe_linucb,3,800,128,50,1.0,11.110093006835816,715.6075475278369
81,safe_linucb,3,800,128,50,1.0,10.986920648316799,1218.1461131358558
82,safe_linucb,3,800,128,50,1.0,15.943716287798686,1000.6500006699783
83,safe_linucb,3,800,128,50,1.0,15.996582685122757,529.21537051315
84,safe_linucb,3,800,128,50,1.0,-2.0944197781300673,893.5611852976388
85,safe_linucb,3,800,128,50,1.0,3.24496900731281,777.9117981377932
86,safe_linucb,3,800,128,50,1.0,14.726466731966681,813.5718561392603
87,safe_linucb,3,800,128,50,1.0,13.367170918716317,1087.4878816990838
88,safe_linucb,3,800,128,50,1.0,14.067144097421473,958.1662703843516
89,safe_linucb,3,800,128,50,1.0,12.579383230224854,1138.7450740228446
90,safe_linucb,3,800,128,50,1.0,13.686160832787696,1048.046468580699
91,safe_linucb,3,800,128,50,1.0,7.9679893234008565,1214.8710342111015
92,safe_linucb,3,800,128,50,1.0,6.010752719542319,1042.8437326776832
93,safe_linucb,3,800,128,50,1.0,11.434043984773979,758.8851537031956
94,safe_linucb,3,800,128,50,1.0,7.0150149296852815,908.9892076028897
95,safe_linucb,3,800,128,50,1.0,13.140780853635494,1211.9227173760905
96,safe_linucb,3,800,128,50,1.0,13.169694140981035,933.4922016430166
97,safe_linucb,3,800,128,50,1.0,18.707530135964717,1268.753799766706
98,safe_linucb,3,800,128,50,1.0,10.97834962952661,876.769557048252
99,safe_linucb,3,800,128,50,1.0,6.582963355210263,1533.6565516233009
100,safe_linucb,3,800,128,50,1.0,13.315152620732409,1346.4698264705921
101,safe_linucb,3,800,128,50,1.0,17.827124593296197,914.7866160554673
102,safe_linucb,3,800,128,50,1.0,12.181604614569068,675.7545567525251
103,safe_linucb,3,800,128,50,1.0,10.401845052382038,1143.4175093407277
104,safe_linucb,3,800,128,50,1.0,10.000969130271548,857.0718857732246
105,safe_linucb,3,800,128,50,1.0,10.571874531952316,997.021226881683
106,safe_linucb,3,800,128,50,1.0,5.63830306206464,1102.476286717507
107,safe_linucb,3,800,128,50,1.0,11.241837419919504,1037.278844207907
108,safe_linucb,3,800,128,50,1.0,0.10020873494984528,1243.3652878435128
109,safe_linucb,3,800,128,50,1.0,12.122813966174933,1017.5361840255837
110,safe_linucb,3,800,128,50,1.0,7.598940316077899,1210.4373428774434
111,safe_linucb,3,800,128,50,1.0,14.687226509733772,1196.2684475513236
112,safe_linucb,3,800,128,50,1.0,7.265531875843274,787.6692514191503
113,safe_linucb,3,800,128,50,1.0,16.879282126777156,993.0372263387026
114,safe_linucb,3,800,128,50,1.0,-4.963723625795641,1098.972563625914
115,safe_linucb,3,800,128,50,1.0,9.62676590671349,843.6543632885548
116,safe_linucb,3,800,128,50,1.0,6.915552674531078,1472.7889216882859
117,safe_linucb,3,800,128,50,1.0,3.8161024350357238,955.485229360361
118,safe_linucb,3,800,128,50,1.0,9.07252409818179,1203.3398467791183
119,safe_linucb,3,800,128,50,1.0,11.123699807284662,858.79301815697
120,safe_linucb,3,800,128,50,1.0,9.745631390683219,740.8693112695653
121,safe_linucb,3,800,128,50,1.0,16.183713430991858,774.2595554859586
122,safe_linucb,3,800,128,50,1.0,10.281641820512196,986.5456182353661
123,safe_linucb,3,800,128,50,1.0,6.673280517868404,994.0398091058236
124,safe_linucb,3,800,128,50,1.0,4.686216889397967,1135.4102489935974
125,safe_linucb,3,800,128,50,1.0,19.891208392225224,1049.2861903785931
126,safe_linucb,3,800,128,50,1.0,10.120508324828664,803.421138712787
127,safe_linucb,3,800,128,50,1.0,15.73859938940286,1162.9341028920614
128,safe_linucb,3,800,128,50,1.0,1.9857255847011217,1167.3256983648594
129,safe_linucb,3,800,128,50,1.0,10.37674284596224,907.8259860190498
130,safe_linucb,3,800,128,50,1.0,9.806309131340733,856.8248593064922
131,safe_linucb,3,800,128,50,1.0,12.949167622241333,861.5093822922696
132,safe_linucb,3,800,128,50,1.0,12.081042470889155,1033.8867209668485
133,safe_linucb,3,800,128,50,1.0,9.924336402870466,739.5508234134418
134,safe_linucb,3,800,128,50,1.0,11.961694951996243,1137.580697823835
135,safe_linucb,3,800,128,50,1.0,9.016174320972329,957.5745773399685
136,safe_linucb,3,800,128,50,1.0,15.702132291425164,978.9646951798078
137,safe_linucb,3,800,128,50,1.0,15.820770271164427,1096.4416725615947
138,safe_linucb,3,800,128,50,1.0,10.229625997354201,968.1093288419398
139,safe_linucb,3,800,128,50,1.0,-5.375463911357725,816.1298699101608
140,safe_linucb,3,800,128,50,1.0,14.060141500218826,775.5118665829847
141,safe_linucb,3,800,128,50,1.0,13.029897197516409,1277.038679863887
142,safe_linucb,3,800,128,50,1.0,7.232680259787476,891.0731743271706
143,safe_linucb,3,800,128,50,1.0,14.661213418232121,1257.8622083393748
144,safe_linucb,3,800,128,50,1.0,6.541452161059237,755.7285402473254
145,safe_linucb,3,800,128,50,1.0,14.070348090874084,1241.377562142384
146,safe_linucb,3,800,128,50,1.0,5.066090486356531,955.4972453591687
147,safe_linucb,3,800,128,50,1.0,10.8405122922653,1250.1581559043616
148,safe_linucb,3,800,128,50,1.0,10.722559799302797,698.5687533057387
149,safe_linucb,3,800,128,50,1.0,10.078724351368045,1029.3878224468879
150,safe_linucb,3,800,128,50,1.0,6.201777685023007,1008.977283535458
151,safe_linucb,3,800,128,50,1.0,-1.1548676493905123,880.169240097665
152,safe_linucb,3,800,128,50,1.0,11.76029678184726,1176.241034684178
153,safe_linucb,3,800,128,50,1.0,7.641307504277211,1144.1632988818537
154,safe_linucb,3,800,128,50,1.0,-1.2570700438716074,559.8625063539946
155,safe_linucb,3,800,128,50,1.0,19.362399296548617,1012.0665205030654
156,safe_linucb,3,800,128,50,1.0,7.651215283851065,1083.8793598194495
157,safe_linucb,3,800,128,50,1.0,25.791766599969215,891.4125173937407
158,safe_linucb,3,800,128,50,1.0,11.110202258023186,983.3626734054553
159,safe_linucb,3,800,128,50,1.0,10.69335053311878,1156.966567560172
160,safe_linucb,3,800,128,50,1.0,9.804885004815505,726.4150443827525
161,safe_linucb,3,800,128,50,1.0,11.914984481833647,920.0212498928112
162,safe_linucb,3,800,128,50,1.0,4.933023738361419,1115.6238586252568
163,safe_linucb,3,800,128,50,1.0,9.051576118355618,687.4274198958258
164,safe_linucb,3,800,128,50,1.0,18.84919282896604,840.7767813448182
165,safe_linucb,3,800,128,50,1.0,22.294575843065875,633.4308654515712
166,safe_linucb,3,800,128,50,1.0,-6.206664583177012,1204.3122019636994
167,safe_linucb,3,800,128,50,1.0,17.036425609117227,1006.0255959783499
168,safe_linucb,3,800,128,50,1.0,15.996828282469483,809.0487987466232
169,safe_linucb,3,800,128,50,1.0,9.202116391063816,622.1211300199793
170,safe_linucb,3,800,128,50,1.0,15.206839353372384,1061.8878782762479
171,safe_linucb,3,800,128,50,1.0,12.44795742138088,1146.2886955041488
172,safe_linucb,3,800,128,50,1.0,8.950215233532486,904.6706196814398
173,safe_linucb,3,800,128,50,1.0,5.575397209002604,1195.1787170365565
174,safe_linucb,3,800,128,50,1.0,8.355687791932151,888.8844336206337
175,safe_linucb,3,800,128,50,1.0,13.483821576374694,1290.076371146809
176,safe_linucb,3,800,128,50,1.0,10.22790662727369,1151.8829457054032
177,safe_linucb,3,800,128,50,1.0,14.737476835383173,968.1684979878207
178,safe_linucb,3,800,128,50,1.0,11.337754018446606,1232.2810168858264
179,safe_linucb,3,800,128,50,1.0,13.216336809776521,543.6973772377066
180,safe_linucb,3,800,128,50,1.0,1.9353868272210857,1135.202638823082
181,safe_linucb,3,800,128,50,1.0,16.429606380860065,533.1459633305992
182,safe_linucb,3,800,128,50,1.0,8.03578520732571,1176.0683011652702
183,safe_linucb,3,800,128,50,1.0,16.173075252950916,1231.7949266495239
184,safe_linucb,3,800,128,50,1.0,11.30542625462871,1314.3908938111595
185,safe_linucb,3,800,128,50,1.0,16.14742473959899,615.5854299294517
186,safe_linucb,3,800,128,50,1.0,11.858738703319014,949.4293264745069
187,safe_linucb,3,800,128,50,1.0,12.787971922648547,1315.0244256484661
188,safe_linucb,3,800,128,50,1.0,6.555117516661928,960.300127249713
189,safe_linucb,3,800,128,50,1.0,19.599872058661518,856.5246499763076
190,safe_linucb,3,800,128,50,1.0,7.921939578742815,844.6613437359142
191,safe_linucb,3,800,128,50,1.0,6.647794806556048,1029.5045674511878
192,safe_linucb,3,800,128,50,1.0,10.612416189332258,933.8186529387106
193,safe_linucb,3,800,128,50,1.0,14.838216465138618,880.3996636089073
194,safe_linucb,3,800,128,50,1.0,9.980303518001076,967.3992187470014
195,safe_linucb,3,800,128,50,1.0,9.574708389829008,1242.5283107839139
196,safe_linucb,3,800,128,50,1.0,9.928296558473596,782.7251393011156
197,safe_linucb,3,800,128,50,1.0,5.284789093991279,1004.0582870227574
198,safe_linucb,3,800,128,50,1.0,8.45572336389483,1032.9346705460148
199,safe_linucb,3,800,128,50,1.0,12.20756475134818,1200.913918719385
200,safe_linucb,3,800,128,50,1.0,11.672183593100913,866.166087192813
201,safe_linucb,3,800,128,50,1.0,12.7272436207853,482.41855172709586
202,safe_linucb,3,800,128,50,1.0,18.029160198454896,1404.7148338777868
203,safe_linucb,3,800,128,50,1.0,-0.024445521765180445,989.1756115841255
204,safe_linucb,3,800,128,50,1.0,3.528880517766205,1081.5170805965504
205,safe_linucb,3,800,128,50,1.0,9.960127814569772,936.5931519032364
206,safe_linucb,3,800,128,50,1.0,15.711831199564323,896.6526328311427
207,safe_linucb,3,800,128,50,1.0,18.25341468190844,902.4437404424598
208,safe_linucb,3,800,128,50,1.0,2.049940291256646,1089.0646318601016
209,safe_linucb,3,800,128,50,1.0,17.671261152945902,907.1612299861883
210,safe_linucb,3,800,128,50,1.0,16.40956877484406,986.9610111558743
211,safe_linucb,3,800,128,50,1.0,14.377623912610796,890.9298240900548
212,safe_linucb,3,800,128,50,1.0,12.725668832254302,1039.7511032984503
213,safe_linucb,3,800,128,50,1.0,1.5099898196324872,1097.1668845240772
214,safe_linucb,3,800,128,50,1.0,11.637744239284526,975.4029788308733
215,safe_linucb,3,800,128,50,1.0,8.60382606972199,1237.095736332753
216,safe_linucb,3,800,128,50,1.0,6.9241890736838805,1038.2184799448373
217,safe_linucb,3,800,128,50,1.0,14.62746768807542,1181.1189297702524
218,safe_linucb,3,800,128,50,1.0,9.816436486057148,1126.8220357659711
219,safe_linucb,3,800,128,50,1.0,7.845402625511362,854.7479508458852
220,safe_linucb,3,800,128,50,1.0,18.098409602918466,1075.591584672007
221,safe_linucb,3,800,128,50,1.0,5.509948413506518,1267.937482955224
222,safe_linucb,3,800,128,50,1.0,20.04734443522691,850.356593336492
223,safe_linucb,3,800,128,50,1.0,9.425960460845971,955.8357832768592
224,safe_linucb,3,800,128,50,1.0,15.019566338919018,974.9205031217925
225,safe_linucb,3,800,128,50,1.0,8.310308219905137,744.6937348505844
