t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.030702430103669277,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.3087196883914725,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,5.551115123125783e-17,1.535121505183464,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.04402496640453,0.15000000000000005,0.15000000000000005,1.535121505183464,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.506599987507798
2,0.025417045679609337,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.25557398536681447,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,8.326672684688674e-17,1.2708522839804668,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.043915038601638,0.15000000000000002,0.15000000000000002,1.2708522839804668,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.22919999982696
3,0.025522376499730784,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.25663310993304955,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.1102230246251565e-16,1.2761188249865392,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.043815811197179,0.15000000000000002,0.15000000000000002,1.2761188249865392,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.173399996943772
4,0.02065970242645574,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.20773785247030713,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,1.6653345369377348e-16,1.032985121322787,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.043648291045675,0.15000000000000005,0.15000000000000005,1.032985121322787,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.166400001849979
5,0.024342302081581422,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.24476720207430058,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,2.220446049250313e-16,1.217115104079071,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.304096864466268,0.15000000000000005,0.15000000000000005,1.217115104079071,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.198000002768822
6,0.018854936185219745,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.18959053091522154,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.498001805406602e-16,0.9427468092609873,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.3038686109510516,0.15000000000000002,0.15000000000000002,0.9427468092609873,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0864999977638945
7,0.029451368775429598,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000016,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.29613999153657705,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,4.163336342344337e-16,1.47256843877148,1.0,2302.420845060399,6.951315619430959,0.0007908755526006998,3.303689247428718,0.15000000000000016,0.15000000000000016,1.47256843877148,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.101100007072091
8,0.019715454076687133,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.19824322760444385,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,4.440892098500626e-16,0.9857727038343566,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.303495330854025,0.15000000000000002,0.15000000000000002,0.9857727038343566,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.178900002851151
9,0.0257777501553095,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.25920094821514794,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,4.718447854656915e-16,1.288887507765475,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.303332792350436,0.15000000000000002,0.15000000000000002,1.288887507765475,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.081200001062825
10,0.024970247422071705,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2510813306038162,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,4.996003610813204e-16,1.2485123711035853,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.042642562760701,0.15000000000000002,0.15000000000000002,1.2485123711035853,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.211099992971867
11,0.01803692262592178,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.18136522463575908,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,5.273559366969494e-16,0.9018461312960889,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.0425374382334285,0.15000000000000002,0.15000000000000002,0.9018461312960889,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.270599994924851
12,0.019306436765725573,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.1941304685700481,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,5.828670879282072e-16,0.9653218382862787,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.042455138857723,0.15000000000000005,0.15000000000000005,0.9653218382862787,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.090999995241873
13,0.02212963223897638,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2225183200797578,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,6.38378239159465e-16,1.106481611948819,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.042417011528416,0.15000000000000005,0.15000000000000005,1.106481611948819,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.106500011403114
14,0.023933892938473006,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.24066055830144858,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,6.661338147750939e-16,1.1966946469236504,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.042410092175389,0.15000000000000002,0.15000000000000002,1.1966946469236504,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.130300003453158
15,0.028623658105868758,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2878171786803211,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,6.938893903907228e-16,1.431182905293438,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.042492557982202,0.15000000000000002,0.15000000000000002,1.431182905293438,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.11589999566786
16,0.016429904338240396,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.1652063022528334,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,7.216449660063518e-16,0.8214952169120199,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.042383308613086,0.15000000000000002,0.15000000000000002,0.8214952169120199,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.077799996593967
17,0.026520797185158575,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000016,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.26667244955040553,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,8.881784197001252e-16,1.3260398592579288,2.0,4604.841690120798,6.951315619430959,0.0007908755526006998,4.042425259134307,0.15000000000000016,0.15000000000000016,1.3260398592579288,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.1188000031979755
18,0.026108596858458927,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.26252768459258635,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,9.43689570931383e-16,1.3054298429229463,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3029771071400087,0.15000000000000005,0.15000000000000005,1.3054298429229463,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1569000099552795
19,0.0159247671480099,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.16012703668863082,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,9.992007221626409e-16,0.796238357400495,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3028334412877944,0.15000000000000005,0.15000000000000005,0.796238357400495,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0831000009784475
