t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.013895839632687092,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13972572421322246,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6947919816343546,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152128563371139,0.25,0.25,0.6947919816343546,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.557000000611879
2,0.030836863263637517,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.3100714433865898,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.5418431631818759,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522701794909436,0.25,0.25,1.5418431631818759,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.284799994318746
3,0.01340918804501177,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13483233544904166,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6704594022505884,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522570086802575,0.25,0.25,0.6704594022505884,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.21540000429377
4,0.01964223329961662,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19750697658442154,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.982111664980831,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8559107037232327,0.25,0.25,0.982111664980831,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.162099998211488
5,0.011337705352441017,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11400312130542434,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5668852676220508,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152484195235395,0.25,0.25,0.5668852676220508,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.169199987198226
6,0.01733347085552138,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17429186234413754,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.866673542776069,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152471867917456,0.25,0.25,0.866673542776069,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.130099995061755
7,0.014429132193476276,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.14508809822180788,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7214566096738138,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524465426296047,0.25,0.25,0.7214566096738138,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.088800000725314
8,0.018059317194793773,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1815904069519627,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.9029658597396887,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1524413683554573,0.25000000000000006,0.25000000000000006,0.9029658597396887,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.211999992956407
9,0.017535250951197914,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17632080559229485,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.8767625475598957,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152433591534583,0.25,0.25,0.8767625475598957,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.065299996407703
10,0.019061407310913398,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19166664350209991,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,0.9530703655456698,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152435615023353,0.25000000000000006,0.25000000000000006,0.9530703655456698,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.210699997609481
