t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.014674583495982517,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1475561650611149,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7337291747991258,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152168149100447,0.25,0.25,0.7337291747991258,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.74720000824891
2,0.024289683712947503,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.24423811280307747,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2144841856473751,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152232432017416,0.25,0.25,1.2144841856473751,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.282500005909242
3,0.031619844291166925,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.3179444898529158,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.5809922145583462,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523764049142553,0.25,0.25,1.5809922145583462,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.197700000484474
4,0.02097702055137825,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.21092855601775481,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.0488510275689125,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152396265857696,0.25,0.25,1.0488510275689125,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.150800007162616
5,0.0183190116698839,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.18420169202471107,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.915950583494195,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152396660542241,0.25000000000000006,0.25000000000000006,0.915950583494195,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.14349999523256
6,0.014292404848452263,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.14371327469129647,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7146202424226131,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152376791210422,0.25,0.25,0.7146202424226131,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.17680000141263
7,0.0186468785297917,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.18749846542287046,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9323439264895849,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152380746506945,0.25,0.25,0.9323439264895849,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.12130000081379
8,0.016438151758055377,0.08,3976.2390193859083,1200.0,0.08,0.0,0.25000000000000006,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.16528923187328093,0.2,1,0,0,0,0,3976.2390193859083,0.0,0.0,1.1102230246251565e-16,0.8219075879027689,2.0,3976.2390193859083,4.967764082186449,0.008481780773098696,3.8559170827225593,0.25000000000000006,0.25000000000000006,0.8219075879027689,1,0,1,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.1402999922866
9,0.014312608965146734,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1439164315290152,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.7156304482573367,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152500275844642,0.25,0.25,0.7156304482573367,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.298799999058247
10,0.030081391727198845,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.30247501090452056,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.5040695863599423,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152602234253184,0.25,0.25,1.5040695863599423,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.195499998284504
