t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.004,0.8,17974.265106986906,400.0,0.08,0.0,0.07544996454094229,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004387532228353089,0.2,1,0,0,0,0,17974.265106986906,0.0,0.0,0.0,0.2,5.0,17974.265106986906,8.548848521737296,0.0001163701378810904,4.5,0.07544996454094229,0.07544996454094229,0.2,1,0,0,359.44346878556183,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.62870000815019
2,0.004,0.8,17708.93279072699,400.0,0.08,0.0,0.19332490358915452,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.007696231894101779,0.2,1,0,0,0,0,17708.93279072699,0.0,0.0,0.0,0.2,5.0,17708.93279072699,6.108270268491825,0.002172017755549112,4.5,0.19332490358915452,0.19332490358915452,0.2,1,0,0,353.40937348547413,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.291600002441555
3,0.004,0.8,17966.481523806302,400.0,0.08,0.0,0.08645733522834932,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004663248260532496,0.2,1,0,0,0,0,17966.481523806302,0.0,0.0,0.0,0.2,5.0,17966.481523806302,8.284166348413171,0.0001598684130900173,4.5,0.08645733522834932,0.08645733522834932,0.2,1,0,0,359.2721850183256,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.294999999227002
4,0.004,0.8,17625.608775679513,400.0,0.08,0.0,0.20642164554703948,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.008164403975143815,0.2,1,0,0,0,0,17625.608775679513,0.0,0.0,0.0,0.2,5.0,17625.608775679513,5.851806862534257,0.0029524349655625777,4.5,0.20642164554703948,0.20642164554703948,0.2,1,0,0,351.47140624081743,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.212399996002205
5,0.004,0.8,17646.38327720129,400.0,0.08,0.0,0.2034580850021862,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.00805560051907431,0.2,1,0,0,0,0,17646.38327720129,0.0,0.0,0.0,0.2,5.0,17646.38327720129,5.910072505262818,0.002753604745290645,4.5,0.2034580850021862,0.2034580850021862,0.2,1,0,0,351.95584224943946,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.651799994870089
6,0.004,0.8,17900.459307583118,400.0,0.08,0.0,0.1378275490736412,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005996580381580226,0.2,1,0,0,0,0,17900.459307583118,0.0,0.0,0.0,0.2,5.0,17900.459307583118,7.192015121567746,0.0005925881559038562,4.5,0.1378275490736412,0.1378275490736412,0.2,1,0,0,357.79703414824405,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.265999996685423
7,0.004,0.8,17911.250628237172,400.0,0.08,0.0,0.13206726674800234,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005839402004336354,0.2,1,0,0,0,0,17911.250628237172,0.0,0.0,0.0,0.2,5.0,17911.250628237172,7.307367971504018,0.0005160237725227415,4.5,0.13206726674800234,0.13206726674800234,0.2,1,0,0,358.0401599423478,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.306099996436387
8,0.004,0.8,17888.80485552492,400.0,0.08,0.0,0.1434369539956682,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.00615234677629413,0.2,1,0,0,0,0,17888.80485552492,0.0,0.0,0.0,0.2,5.0,17888.80485552492,7.080643653031393,0.0006772636807466549,4.5,0.1434369539956682,0.1434369539956682,0.2,1,0,0,357.53378835408614,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.4793999918038025
9,0.004,0.8,17828.5518690195,400.0,0.08,0.0,0.16572933959873803,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.00680264175738726,0.2,1,0,0,0,0,17828.5518690195,0.0,0.0,0.0,0.2,5.0,17828.5518690195,6.6442757111728685,0.001142799521378936,4.5,0.16572933959873803,0.16572933959873803,0.2,1,0,0,356.16354816953407,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.194000001414679
10,0.004,0.8,17336.320183370506,400.0,0.08,0.0,0.2358030815272683,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.009350379837599366,0.2,1,0,0,0,0,17336.320183370506,0.0,0.0,0.0,0.2,5.0,17336.320183370506,5.262759183014229,0.005968275961688446,4.5,0.2358030815272683,0.2358030815272683,0.2,1,0,0,344.65704480711923,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.169300002511591
