q_bps,S_eff_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER_clip,sWER,P_tx_W,E_slot_J,violate_lat,violate_eng,violate_sem,arrivals_bps,delta_queue_used,Q_t_used,energy_budget_per_slot_j,semantic_budget,latency_budget_q_bps,action_in_guard_set,fallback_used,feasible_set_nonempty,t,algorithm,seed,V
2425935.15555841,2425935.15555841,0.0,0.0,0.0,1.4923076923076923,2.0,2425935.15555841,4.209914712520778,0.8765040265977213,3.862365980714836,0.28440850482129104,0.28440850482129104,0.28440850482129104,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,0.0,0.5,0.3,400.0,1,0,1,1,lagrangian_ppo,2028,800.0
2804955.1410255115,2804955.1410255115,2425535.15555841,0.0,0.0,1.6,3.0,2804955.1410255115,4.370545728122918,0.9128469177638344,3.890455362742543,0.2773861593143642,0.2773861593143642,0.2773861593143642,1.6,0.032,0,0,0,400.0,0.08,2425535.15555841,0.5,0.3,400.0,1,0,1,2,lagrangian_ppo,2028,800.0
2959971.410710253,2959971.410710253,5230090.296583922,0.0,0.0,1.1692307692307693,3.0,2959971.410710253,4.690505558192703,0.9065049269154084,3.948181170694644,0.262954707326339,0.262954707326339,0.262954707326339,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,5230090.296583922,0.5,0.3,400.0,1,0,1,3,lagrangian_ppo,2028,800.0
4579118.670048936,4579118.670048936,8189661.7072941745,0.0,0.0,1.6,3.0,4579118.670048936,7.514193225640975,0.8285644048367825,4.512433392598922,0.1218916518502695,0.1218916518502695,0.1218916518502695,1.6,0.032,0,0,0,400.0,0.08,8189661.7072941745,0.5,0.3,400.0,1,0,1,4,lagrangian_ppo,2028,800.0
3835325.941007986,3835325.941007986,12768380.37734311,0.0,0.0,1.4923076923076923,3.0,3835325.941007986,6.311703239588632,0.867120898181055,4.268540577479367,0.1828648556301581,0.1828648556301581,0.1828648556301581,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,12768380.37734311,0.5,0.3,400.0,1,0,1,5,lagrangian_ppo,2028,800.0
2974456.3406847063,2974456.3406847063,16603306.318351097,0.0,0.0,1.6,2.0,2974456.3406847063,5.571457214202096,0.8349780639347462,4.117789451894178,0.2205526370264555,0.2205526370264555,0.2205526370264555,1.6,0.032,0,0,0,400.0,0.08,16603306.318351097,0.5,0.3,400.0,1,0,1,6,lagrangian_ppo,2028,800.0
2716017.381336158,2716017.381336158,19577362.659035802,0.0,0.0,1.276923076923077,3.0,2716017.381336158,4.181278951119062,0.9164035343550643,3.8574230163081253,0.28564424592296866,0.28564424592296866,0.28564424592296866,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,19577362.659035802,0.5,0.3,400.0,1,0,1,7,lagrangian_ppo,2028,800.0
2374029.3207960282,2374029.3207960282,22292980.040371962,0.0,0.0,1.4923076923076923,2.0,2374029.3207960282,4.071566774053204,0.8801339920071708,3.83866843708682,0.29033289072829505,0.29033289072829505,0.29033289072829505,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,22292980.040371962,0.5,0.3,400.0,1,0,1,8,lagrangian_ppo,2028,800.0
2802767.8172070673,2802767.8172070673,24666609.36116799,0.0,0.0,1.0615384615384615,3.0,2802767.8172070673,4.365942661907948,0.9129351007955323,3.889641962152165,0.27758950946195865,0.27758950946195865,0.27758950946195865,1.0615384615384615,0.02123076923076923,0,0,0,400.0,0.08,24666609.36116799,0.5,0.3,400.0,1,0,1,9,lagrangian_ppo,2028,800.0
3183148.5372554003,3183148.5372554003,27468977.178375058,0.0,0.0,1.6,3.0,3183148.5372554003,5.131305158884257,0.897048921717828,4.031284839254039,0.24217879018649022,0.24217879018649022,0.24217879018649022,1.6,0.032,0,0,0,400.0,0.08,27468977.178375058,0.5,0.3,400.0,1,0,1,10,lagrangian_ppo,2028,800.0
2819038.929526087,2819038.929526087,30651725.715630457,0.0,0.0,1.276923076923077,3.0,2819038.929526087,4.4001231507556495,0.9122782590602722,3.895693727449438,0.2760765681376405,0.2760765681376405,0.2760765681376405,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,30651725.715630457,0.5,0.3,400.0,1,0,1,11,lagrangian_ppo,2028,800.0
3414746.3859692304,3414746.3859692304,33470364.645156544,0.0,0.0,1.4923076923076923,2.0,3414746.3859692304,6.562241249056846,0.7972669738789621,4.320187651294004,0.1699530871764989,0.1699530871764989,0.1699530871764989,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,33470364.645156544,0.5,0.3,400.0,1,0,1,12,lagrangian_ppo,2028,800.0
3032029.138566411,3032029.138566411,36884711.03112578,0.0,0.0,0.8461538461538463,3.0,3032029.138566411,4.835254663818478,0.90349423432892,3.9750357179623297,0.2562410705094175,0.2562410705094175,0.2562410705094175,0.8461538461538463,0.016923076923076926,0,0,0,400.0,0.08,36884711.03112578,0.5,0.3,400.0,1,0,1,13,lagrangian_ppo,2028,800.0
3471456.0750619248,3471456.0750619248,39916340.16969219,0.0,0.0,1.0615384615384615,3.0,3471456.0750619248,5.670854793459133,0.8842488574087248,4.13772280399891,0.21556929900027247,0.21556929900027247,0.21556929900027247,1.0615384615384615,0.02123076923076923,0,0,0,400.0,0.08,39916340.16969219,0.5,0.3,400.0,1,0,1,14,lagrangian_ppo,2028,800.0
3052256.2708076225,3052256.2708076225,43387396.24475411,0.0,0.0,1.0615384615384615,3.0,3052256.2708076225,4.875458362963098,0.9026418840647559,3.982572335159621,0.2543569162100947,0.2543569162100947,0.2543569162100947,1.0615384615384615,0.02123076923076923,0,0,0,400.0,0.08,43387396.24475411,0.5,0.3,400.0,1,0,1,15,lagrangian_ppo,2028,800.0
2842480.2058020276,2842480.2058020276,46439252.51556174,0.0,0.0,1.6,2.0,2842480.2058020276,5.258623757489084,0.8455097159504124,4.0559807803671015,0.23600480490822454,0.23600480490822454,0.23600480490822454,1.6,0.032,0,0,0,400.0,0.08,46439252.51556174,0.5,0.3,400.0,1,0,1,16,lagrangian_ppo,2028,800.0
2675758.2060362566,2675758.2060362566,49281332.72136377,0.0,0.0,1.276923076923077,2.0,2675758.2060362566,4.850948982249474,0.8583190151781619,3.9779738329847874,0.25550654175380316,0.25550654175380316,0.25550654175380316,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,49281332.72136377,0.5,0.3,400.0,1,0,1,17,lagrangian_ppo,2028,800.0
2583465.138394018,2583465.138394018,51956690.92740002,0.0,0.0,1.276923076923077,2.0,2583465.138394018,4.618642123301866,0.8651763743029098,3.935016089247963,0.26624597768800934,0.26624597768800934,0.26624597768800934,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,51956690.92740002,0.5,0.3,400.0,1,0,1,18,lagrangian_ppo,2028,800.0
2321571.75735831,2321571.75735831,54539756.06579404,0.0,0.0,1.6,2.0,2321571.75735831,3.929753211554065,0.8837516589103379,3.8148622324619783,0.29628444188450537,0.29628444188450537,0.29628444188450537,1.6,0.032,0,0,0,400.0,0.08,54539756.06579404,0.5,0.3,400.0,1,0,1,19,lagrangian_ppo,2028,800.0
3665454.908301884,3665454.908301884,56860927.823152356,0.0,0.0,1.1692307692307693,3.0,3665454.908301884,6.017574990854128,0.8752545705935744,4.208116640347719,0.1979708399130702,0.1979708399130702,0.1979708399130702,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,56860927.823152356,0.5,0.3,400.0,1,0,1,20,lagrangian_ppo,2028,800.0
3220328.0761992754,3220328.0761992754,60525982.73145424,0.0,0.0,1.6,2.0,3220328.0761992754,6.133904953328942,0.8144139112996106,4.231962254856728,0.192009436285818,0.192009436285818,0.192009436285818,1.6,0.032,0,0,0,400.0,0.08,60525982.73145424,0.5,0.3,400.0,1,0,1,21,lagrangian_ppo,2028,800.0
2885963.617927846,2885963.617927846,63745910.80765352,0.0,0.0,1.4923076923076923,2.0,2885963.617927846,5.362609504342946,0.8420783471649943,4.07635685145717,0.2309107871357074,0.2309107871357074,0.2309107871357074,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,63745910.80765352,0.5,0.3,400.0,1,0,1,22,lagrangian_ppo,2028,800.0
2612668.4562192094,2612668.4562192094,66631474.425581366,0.0,0.0,1.4923076923076923,2.0,2612668.4562192094,4.692691244754198,0.8630243780929612,3.948583343923887,0.2628541640190282,0.2628541640190282,0.2628541640190282,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,66631474.425581366,0.5,0.3,400.0,1,0,1,23,lagrangian_ppo,2028,800.0
5010440.001932854,5010440.001932854,69243742.88180058,0.0,0.0,1.6,3.0,5010440.001932854,8.16069428899897,0.8039268910327902,4.63271348546407,0.09182162863398266,0.09182162863398266,0.09182162863398266,1.6,0.032,0,0,0,400.0,0.08,69243742.88180058,0.5,0.3,400.0,1,0,1,24,lagrangian_ppo,2028,800.0
2727744.6546570105,2727744.6546570105,74253782.88373344,0.0,0.0,0.9538461538461538,2.0,2727744.6546570105,4.9796593692115865,0.8543835435394725,4.002258207626377,0.24943544809340576,0.24943544809340576,0.24943544809340576,0.9538461538461538,0.019076923076923075,0,0,0,400.0,0.08,74253782.88373344,0.5,0.3,400.0,1,0,1,25,lagrangian_ppo,2028,800.0
3059084.6239745105,3059084.6239745105,76981127.53839044,0.0,0.0,0.8461538461538463,3.0,3059084.6239745105,4.888989036031985,0.9023534261506552,3.9851162462566485,0.25372093843583793,0.25372093843583793,0.25372093843583793,0.8461538461538463,0.016923076923076926,0,0,0,400.0,0.08,76981127.53839044,0.5,0.3,400.0,1,0,1,26,lagrangian_ppo,2028,800.0
2577192.1280625104,2577192.1280625104,80039812.16236496,0.0,0.0,0.9538461538461538,2.0,2577192.1280625104,4.602668691429923,0.8656364929367552,3.9321052462456523,0.26697368843858693,0.26697368843858693,0.26697368843858693,0.9538461538461538,0.019076923076923075,0,0,0,400.0,0.08,80039812.16236496,0.5,0.3,400.0,1,0,1,27,lagrangian_ppo,2028,800.0
2314246.3294327674,2314246.3294327674,82616604.29042748,0.0,0.0,1.6,2.0,2314246.3294327674,3.909784700401719,0.884252802299359,3.8115499806497235,0.29711250483756907,0.29711250483756907,0.29711250483756907,1.6,0.032,0,0,0,400.0,0.08,82616604.29042748,0.5,0.3,400.0,1,0,1,28,lagrangian_ppo,2028,800.0
