t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,3,800,128,50,1.0,14.244778533176028,1485.0624410373082
2,lyapunov_greedy_oracle,3,800,128,50,1.0,8.79471114738885,1186.949916967188
3,lyapunov_greedy_oracle,3,800,128,50,1.0,18.013182121419174,1270.1234903282739
4,lyapunov_greedy_oracle,3,800,128,50,1.0,4.159890316126688,843.2986724952044
5,lyapunov_greedy_oracle,3,800,128,50,1.0,14.815519376879747,1046.3007194133324
6,lyapunov_greedy_oracle,3,800,128,50,1.0,12.453778474524531,1182.4347324274438
7,lyapunov_greedy_oracle,3,800,128,50,1.0,11.82290255074025,899.48606550297
8,lyapunov_greedy_oracle,3,800,128,50,1.0,15.661886304194931,909.9650673238699
9,lyapunov_greedy_oracle,3,800,128,50,1.0,12.16671820158285,1308.0171128706745
10,lyapunov_greedy_oracle,3,800,128,50,1.0,10.882605289355654,1163.1956561090556
11,lyapunov_greedy_oracle,3,800,128,50,1.0,8.70050283690302,1002.9333847706105
12,lyapunov_greedy_oracle,3,800,128,50,1.0,10.74003266058503,875.317398707295
13,lyapunov_greedy_oracle,3,800,128,50,1.0,14.256825833692227,1071.1190688418417
14,lyapunov_greedy_oracle,3,800,128,50,1.0,12.228810155100234,1397.993143534309
15,lyapunov_greedy_oracle,3,800,128,50,1.0,10.348067559516718,1241.1811967664719
16,lyapunov_greedy_oracle,3,800,128,50,1.0,10.5191176491468,1039.590398551221
17,lyapunov_greedy_oracle,3,800,128,50,1.0,10.723171713205444,1241.8091754941138
18,lyapunov_greedy_oracle,3,800,128,50,1.0,9.471451761526039,806.1824119893768
19,lyapunov_greedy_oracle,3,800,128,50,1.0,11.28811850433935,1060.947046558519
20,lyapunov_greedy_oracle,3,800,128,50,1.0,10.862005333252249,718.0984669411969
21,lyapunov_greedy_oracle,3,800,128,50,1.0,7.741482127202316,1096.3864826213185
22,lyapunov_greedy_oracle,3,800,128,50,1.0,8.4111956116,1200.6168307528192
23,lyapunov_greedy_oracle,3,800,128,50,1.0,14.701165348682263,617.896518151048
24,lyapunov_greedy_oracle,3,800,128,50,1.0,10.350208546033281,889.8229485464446
25,lyapunov_greedy_oracle,3,800,128,50,1.0,6.762566064612964,668.1435937541262
26,lyapunov_greedy_oracle,3,800,128,50,1.0,7.46023840690995,861.9059899342011
27,lyapunov_greedy_oracle,3,800,128,50,1.0,18.261790082778784,826.8332602644817
28,lyapunov_greedy_oracle,3,800,128,50,1.0,9.619669844662665,754.1329632907722
29,lyapunov_greedy_oracle,3,800,128,50,1.0,5.578368370538715,995.0949573967838
30,lyapunov_greedy_oracle,3,800,128,50,1.0,10.88525489738142,954.7156380473758
31,lyapunov_greedy_oracle,3,800,128,50,1.0,9.155097591951847,1236.034650054411
32,lyapunov_greedy_oracle,3,800,128,50,1.0,5.7333976178168555,934.4278188466001
33,lyapunov_greedy_oracle,3,800,128,50,1.0,8.8972930909436,1200.2469137252615
34,lyapunov_greedy_oracle,3,800,128,50,1.0,14.080729248776962,748.8347812875187
35,lyapunov_greedy_oracle,3,800,128,50,1.0,11.996811457880838,885.8695207160207
36,lyapunov_greedy_oracle,3,800,128,50,1.0,1.682670637690725,592.8852636972997
37,lyapunov_greedy_oracle,3,800,128,50,1.0,17.566990533288248,987.7357289180796
38,lyapunov_greedy_oracle,3,800,128,50,1.0,12.449019001161986,1026.2197240686237
39,lyapunov_greedy_oracle,3,800,128,50,1.0,13.766488424423418,740.0208490790233
40,lyapunov_greedy_oracle,3,800,128,50,1.0,5.534755471255096,538.204527704705
41,lyapunov_greedy_oracle,3,800,128,50,1.0,13.709560081987696,1257.155947074441
42,lyapunov_greedy_oracle,3,800,128,50,1.0,8.099425077578237,1370.939416609682
43,lyapunov_greedy_oracle,3,800,128,50,1.0,5.147092436801862,904.4179600507995
44,lyapunov_greedy_oracle,3,800,128,50,1.0,14.89160453737001,1086.8712890957927
45,lyapunov_greedy_oracle,3,800,128,50,1.0,12.991354855874437,1142.0405035416145
46,lyapunov_greedy_oracle,3,800,128,50,1.0,8.748525899136238,1122.1599273879838
47,lyapunov_greedy_oracle,3,800,128,50,1.0,3.89741423273027,846.2012168868813
48,lyapunov_greedy_oracle,3,800,128,50,1.0,11.685679787676321,769.6172596541637
49,lyapunov_greedy_oracle,3,800,128,50,1.0,0.36007493913824895,1370.1566910759134
50,lyapunov_greedy_oracle,3,800,128,50,1.0,12.954696828306277,815.4606988311978
51,lyapunov_greedy_oracle,3,800,128,50,1.0,13.017008924180647,834.5046712429637
52,lyapunov_greedy_oracle,3,800,128,50,1.0,10.240830230317844,1138.7157073917363
53,lyapunov_greedy_oracle,3,800,128,50,1.0,6.7506811316662105,868.3612425359618
54,lyapunov_greedy_oracle,3,800,128,50,1.0,9.111710251028057,1042.3442954565899
55,lyapunov_greedy_oracle,3,800,128,50,1.0,5.19850869183563,1083.3607043424288
56,lyapunov_greedy_oracle,3,800,128,50,1.0,9.69347841406304,1023.5471531612121
57,lyapunov_greedy_oracle,3,800,128,50,1.0,10.999470608221543,1331.6689257181297
58,lyapunov_greedy_oracle,3,800,128,50,1.0,3.745235863138868,1100.9906136134236
59,lyapunov_greedy_oracle,3,800,128,50,1.0,4.737300655353379,758.8223150386555
60,lyapunov_greedy_oracle,3,800,128,50,1.0,4.444515124306144,886.3847484333245
61,lyapunov_greedy_oracle,3,800,128,50,1.0,14.377575166394228,1083.107927212604
62,lyapunov_greedy_oracle,3,800,128,50,1.0,18.938548450578416,1393.2272321845408
63,lyapunov_greedy_oracle,3,800,128,50,1.0,19.44692580863098,631.8716931378153
64,lyapunov_greedy_oracle,3,800,128,50,1.0,8.675882308039819,801.0748703587054
65,lyapunov_greedy_oracle,3,800,128,50,1.0,-0.23674045467022253,1190.3823401271961
66,lyapunov_greedy_oracle,3,800,128,50,1.0,14.129089299219405,966.5757386556536
67,lyapunov_greedy_oracle,3,800,128,50,1.0,11.194843364502187,863.2462466377251
68,lyapunov_greedy_oracle,3,800,128,50,1.0,3.324181632180606,664.766077430439
69,lyapunov_greedy_oracle,3,800,128,50,1.0,3.858644785676021,879.9041139446779
70,lyapunov_greedy_oracle,3,800,128,50,1.0,2.52961444181948,1082.3977501282152
71,lyapunov_greedy_oracle,3,800,128,50,1.0,11.054621793920521,1022.6129686807698
72,lyapunov_greedy_oracle,3,800,128,50,1.0,9.0880534321611,784.6355364969481
73,lyapunov_greedy_oracle,3,800,128,50,1.0,15.749274803326594,872.340103698957
74,lyapunov_greedy_oracle,3,800,128,50,1.0,12.995821669734251,776.4530832275871
75,lyapunov_greedy_oracle,3,800,128,50,1.0,15.336148338601761,985.7154093112845
76,lyapunov_greedy_oracle,3,800,128,50,1.0,8.704770766616038,1240.9658061640537
77,lyapunov_greedy_oracle,3,800,128,50,1.0,5.684888803862893,899.8044357569042
78,lyapunov_greedy_oracle,3,800,128,50,1.0,18.399758307229213,1158.4185318788252
79,lyapunov_greedy_oracle,3,800,128,50,1.0,2.132056030467046,1048.4234485462357
80,lyapunov_greedy_oracle,3,800,128,50,1.0,11.110093006835816,715.6075475278369
81,lyapunov_greedy_oracle,3,800,128,50,1.0,10.986920648316799,1218.1461131358558
82,lyapunov_greedy_oracle,3,800,128,50,1.0,15.943716287798686,1000.6500006699783
83,lyapunov_greedy_oracle,3,800,128,50,1.0,15.996582685122757,529.21537051315
84,lyapunov_greedy_oracle,3,800,128,50,1.0,-2.0944197781300673,893.5611852976388
85,lyapunov_greedy_oracle,3,800,128,50,1.0,3.24496900731281,777.9117981377932
86,lyapunov_greedy_oracle,3,800,128,50,1.0,14.726466731966681,813.5718561392603
87,lyapunov_greedy_oracle,3,800,128,50,1.0,13.367170918716317,1087.4878816990838
88,lyapunov_greedy_oracle,3,800,128,50,1.0,14.067144097421473,958.1662703843516
89,lyapunov_greedy_oracle,3,800,128,50,1.0,12.579383230224854,1138.7450740228446
90,lyapunov_greedy_oracle,3,800,128,50,1.0,13.686160832787696,1048.046468580699
91,lyapunov_greedy_oracle,3,800,128,50,1.0,7.9679893234008565,1214.8710342111015
92,lyapunov_greedy_oracle,3,800,128,50,1.0,6.010752719542319,1042.8437326776832
93,lyapunov_greedy_oracle,3,800,128,50,1.0,11.434043984773979,758.8851537031956
94,lyapunov_greedy_oracle,3,800,128,50,1.0,7.0150149296852815,908.9892076028897
95,lyapunov_greedy_oracle,3,800,128,50,1.0,13.140780853635494,1211.9227173760905
96,lyapunov_greedy_oracle,3,800,128,50,1.0,13.169694140981035,933.4922016430166
97,lyapunov_greedy_oracle,3,800,128,50,1.0,18.707530135964717,1268.753799766706
98,lyapunov_greedy_oracle,3,800,128,50,1.0,10.97834962952661,876.769557048252
99,lyapunov_greedy_oracle,3,800,128,50,1.0,6.582963355210263,1533.6565516233009
100,lyapunov_greedy_oracle,3,800,128,50,1.0,13.315152620732409,1346.4698264705921
101,lyapunov_greedy_oracle,3,800,128,50,1.0,17.827124593296197,914.7866160554673
102,lyapunov_greedy_oracle,3,800,128,50,1.0,12.181604614569068,675.7545567525251
103,lyapunov_greedy_oracle,3,800,128,50,1.0,10.401845052382038,1143.4175093407277
104,lyapunov_greedy_oracle,3,800,128,50,1.0,10.000969130271548,857.0718857732246
105,lyapunov_greedy_oracle,3,800,128,50,1.0,10.571874531952316,997.021226881683
106,lyapunov_greedy_oracle,3,800,128,50,1.0,5.63830306206464,1102.476286717507
107,lyapunov_greedy_oracle,3,800,128,50,1.0,11.241837419919504,1037.278844207907
108,lyapunov_greedy_oracle,3,800,128,50,1.0,0.10020873494984528,1243.3652878435128
109,lyapunov_greedy_oracle,3,800,128,50,1.0,12.122813966174933,1017.5361840255837
110,lyapunov_greedy_oracle,3,800,128,50,1.0,7.598940316077899,1210.4373428774434
111,lyapunov_greedy_oracle,3,800,128,50,1.0,14.687226509733772,1196.2684475513236
112,lyapunov_greedy_oracle,3,800,128,50,1.0,7.265531875843274,787.6692514191503
113,lyapunov_greedy_oracle,3,800,128,50,1.0,16.879282126777156,993.0372263387026
114,lyapunov_greedy_oracle,3,800,128,50,1.0,-4.963723625795641,1098.972563625914
115,lyapunov_greedy_oracle,3,800,128,50,1.0,9.62676590671349,843.6543632885548
