t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,3,800,64,25,1.0,4.240620152401665,1043.95650401922
2,raucb_plus,3,800,64,25,1.0,14.801420841871895,795.90355121172
3,raucb_plus,3,800,64,25,1.0,12.440091701414394,829.9074597806728
4,raucb_plus,3,800,64,25,1.0,2.993004606739972,668.6686775443316
5,raucb_plus,3,800,64,25,1.0,11.28070203149762,1023.9714118597221
6,raucb_plus,3,800,64,25,1.0,11.032535627352724,926.4658195298723
7,raucb_plus,3,800,64,25,1.0,-1.2078676121367877,1068.9697398268459
8,raucb_plus,3,800,64,25,1.0,6.388356171476072,766.4723490110896
9,raucb_plus,3,800,64,25,1.0,10.110682722823649,971.0808728853889
10,raucb_plus,3,800,64,25,1.0,14.967156521261352,883.867590100238
11,raucb_plus,3,800,64,25,1.0,15.70503683445888,1188.6290366168516
12,raucb_plus,3,800,64,25,1.0,10.945977745398908,1164.7164413940206
13,raucb_plus,3,800,64,25,1.0,8.202391607534217,788.671803863177
14,raucb_plus,3,800,64,25,1.0,13.387447943000769,640.9138416995208
15,raucb_plus,3,800,64,25,1.0,8.732027025606335,930.4922111158401
16,raucb_plus,3,800,64,25,1.0,3.8655069911601467,1344.954291387035
17,raucb_plus,3,800,64,25,1.0,10.530088182419172,937.5432547699426
18,raucb_plus,3,800,64,25,1.0,13.561525811445128,1150.642991737608
19,raucb_plus,3,800,64,25,1.0,10.432020555356049,1178.808870391984
20,raucb_plus,3,800,64,25,1.0,5.093572563168552,821.7077262385608
21,raucb_plus,3,800,64,25,1.0,3.70732092059047,1027.3060136887457
22,raucb_plus,3,800,64,25,1.0,15.008112284740696,747.2415811029568
23,raucb_plus,3,800,64,25,1.0,0.6538904589234527,664.9085200270862
24,raucb_plus,3,800,64,25,1.0,1.5600817211831988,678.19125685892
25,raucb_plus,3,800,64,25,1.0,12.890604799061853,875.6610852725452
26,raucb_plus,3,800,64,25,1.0,14.091798579249307,876.0678914878505
27,raucb_plus,3,800,64,25,1.0,4.963291412592855,1274.557803237825
28,raucb_plus,3,800,64,25,1.0,13.440619184927565,938.208707192104
29,raucb_plus,3,800,64,25,1.0,13.758188348695457,798.6879834259773
30,raucb_plus,3,800,64,25,1.0,6.669065717115149,1224.4132795515827
31,raucb_plus,3,800,64,25,1.0,8.385688284851044,903.0623372732305
32,raucb_plus,3,800,64,25,1.0,4.160674700709328,1152.0797878873304
33,raucb_plus,3,800,64,25,1.0,13.067705215239261,1061.895537343916
34,raucb_plus,3,800,64,25,1.0,19.772796937577006,894.3137816112743
35,raucb_plus,3,800,64,25,1.0,10.587377342921174,1401.4135579067422
36,raucb_plus,3,800,64,25,1.0,11.543477292239926,880.7453232299546
37,raucb_plus,3,800,64,25,1.0,21.525245645629845,739.4713167281061
38,raucb_plus,3,800,64,25,1.0,13.443453756664855,1214.8801778606603
39,raucb_plus,3,800,64,25,1.0,18.655837797440242,1028.2092432048983
40,raucb_plus,3,800,64,25,1.0,13.833651678399919,1070.7042967301654
41,raucb_plus,3,800,64,25,1.0,1.5596214312002008,962.4199321956414
42,raucb_plus,3,800,64,25,1.0,6.037844303561453,923.3231014238138
43,raucb_plus,3,800,64,25,1.0,16.554776407255346,857.4009874566704
44,raucb_plus,3,800,64,25,1.0,10.986596529205825,1444.0269418407977
45,raucb_plus,3,800,64,25,1.0,11.330656631905072,645.2871372936495
46,raucb_plus,3,800,64,25,1.0,9.737014559128102,1000.2643920546177
47,raucb_plus,3,800,64,25,1.0,9.67871027750393,574.6005716831469
48,raucb_plus,3,800,64,25,1.0,15.663043001899137,1092.082834163932
49,raucb_plus,3,800,64,25,1.0,14.284403240816642,1160.3580597689972
50,raucb_plus,3,800,64,25,1.0,3.5656277522121362,733.7649708596557
51,raucb_plus,3,800,64,25,1.0,15.007941190672689,1035.0391466045796
52,raucb_plus,3,800,64,25,1.0,15.057303216381325,1033.671575407037
53,raucb_plus,3,800,64,25,1.0,6.105871229626592,1039.7192607576778
54,raucb_plus,3,800,64,25,1.0,19.362414443309476,1047.7780521523505
55,raucb_plus,3,800,64,25,1.0,-0.6993822243181302,991.8960807178981
56,raucb_plus,3,800,64,25,1.0,14.85818608829605,1170.6770231352841
57,raucb_plus,3,800,64,25,1.0,12.433419567859865,943.0236645983846
58,raucb_plus,3,800,64,25,1.0,4.980360732120818,868.8255976365781
59,raucb_plus,3,800,64,25,1.0,14.022143200808781,715.799576855798
60,raucb_plus,3,800,64,25,1.0,7.406170277080506,1031.0901315008662
61,raucb_plus,3,800,64,25,1.0,20.74926559789857,1211.6047491608824
62,raucb_plus,3,800,64,25,1.0,12.538228903801564,1164.9737534393762
63,raucb_plus,3,800,64,25,1.0,11.02427248019084,776.573431774754
64,raucb_plus,3,800,64,25,1.0,4.884284935343249,1094.7978783672265
65,raucb_plus,3,800,64,25,1.0,4.795162187207257,1005.3837547715281
