t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,2,800,64,25,1.0,13.598744919306606,764.5946102784359
2,safe_linucb,2,800,64,25,1.0,13.01140846525491,1011.3869611789693
3,safe_linucb,2,800,64,25,1.0,16.108723187697866,916.8361634617002
4,safe_linucb,2,800,64,25,1.0,6.270113954539778,970.8673746818221
5,safe_linucb,2,800,64,25,1.0,16.252941095664283,1243.5647107545262
6,safe_linucb,2,800,64,25,1.0,9.253276414076625,781.6459243067634
7,safe_linucb,2,800,64,25,1.0,17.833826003568554,938.1057128935834
8,safe_linucb,2,800,64,25,1.0,4.996727224475755,1104.2753670295997
9,safe_linucb,2,800,64,25,1.0,4.463622126316901,1172.6906877663112
10,safe_linucb,2,800,64,25,1.0,10.078493039520895,756.9541347220677
11,safe_linucb,2,800,64,25,1.0,10.786503542231499,986.7879877054246
12,safe_linucb,2,800,64,25,1.0,2.581494757816465,1007.7530180554078
13,safe_linucb,2,800,64,25,1.0,6.61932696581265,1216.558190245722
14,safe_linucb,2,800,64,25,1.0,14.186743902975751,1072.303153659701
15,safe_linucb,2,800,64,25,1.0,3.723051056954291,948.315788695669
16,safe_linucb,2,800,64,25,1.0,17.244281422811447,1029.522495640491
17,safe_linucb,2,800,64,25,1.0,-0.7059792424827993,1170.4095629436194
18,safe_linucb,2,800,64,25,1.0,4.978340207870429,749.8083104574623
19,safe_linucb,2,800,64,25,1.0,9.16227739094156,1206.3262338249751
20,safe_linucb,2,800,64,25,1.0,11.505685972847497,1100.4038824465717
21,safe_linucb,2,800,64,25,1.0,10.206785622515644,1076.073791143593
22,safe_linucb,2,800,64,25,1.0,9.587799547383717,924.5927555729794
23,safe_linucb,2,800,64,25,1.0,6.348409031077835,971.9577477284599
24,safe_linucb,2,800,64,25,1.0,14.793403849833894,1159.2117322231284
25,safe_linucb,2,800,64,25,1.0,15.002633036110335,874.4585612141276
26,safe_linucb,2,800,64,25,1.0,8.466501227601025,1154.2093392391985
27,safe_linucb,2,800,64,25,1.0,12.054753194536124,711.1276666883841
28,safe_linucb,2,800,64,25,1.0,9.299367251214857,1245.8484905216976
29,safe_linucb,2,800,64,25,1.0,5.949943108390164,813.9687064676823
30,safe_linucb,2,800,64,25,1.0,9.90630739368212,769.9719437132057
31,safe_linucb,2,800,64,25,1.0,17.89521372798623,1089.7216906679264
32,safe_linucb,2,800,64,25,1.0,20.16841407452106,884.5414738045786
33,safe_linucb,2,800,64,25,1.0,8.272970798334919,1039.4615440430746
34,safe_linucb,2,800,64,25,1.0,5.077313843062481,1115.0247877861257
35,safe_linucb,2,800,64,25,1.0,3.9695112839660265,1109.8025404395703
36,safe_linucb,2,800,64,25,1.0,5.113615462355456,1148.6102405119707
37,safe_linucb,2,800,64,25,1.0,17.26974616781263,1264.1390558947596
38,safe_linucb,2,800,64,25,1.0,10.928610612284105,984.4282134497984
39,safe_linucb,2,800,64,25,1.0,5.4379733842393,1216.648403178981
40,safe_linucb,2,800,64,25,1.0,12.582476218107914,858.0662199211223
41,safe_linucb,2,800,64,25,1.0,13.13438613085621,991.3300200054382
42,safe_linucb,2,800,64,25,1.0,14.456019149880806,919.9991812258856
43,safe_linucb,2,800,64,25,1.0,16.355145816197396,602.9409673519756
44,safe_linucb,2,800,64,25,1.0,23.204907434305987,1180.5842844828985
45,safe_linucb,2,800,64,25,1.0,4.0896800668733295,977.2081225164775
46,safe_linucb,2,800,64,25,1.0,22.707182524591477,1193.9690870756795
47,safe_linucb,2,800,64,25,1.0,0.704652110637527,924.2963479282655
48,safe_linucb,2,800,64,25,1.0,12.04794234457361,1333.161486501149
49,safe_linucb,2,800,64,25,1.0,5.053360163759173,725.3178664189336
50,safe_linucb,2,800,64,25,1.0,8.037823837873804,896.3689925345128
51,safe_linucb,2,800,64,25,1.0,10.519816450724974,973.4234665815071
