t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,1,800,128,50,1.0,14.267906379222326,1467.466143894798
2,sw_ucb,1,800,128,50,1.0,15.196676754266566,809.716536175637
3,sw_ucb,1,800,128,50,1.0,12.46628322257708,1139.4761681317543
4,sw_ucb,1,800,128,50,1.0,4.468643352052201,1239.6129797081592
5,sw_ucb,1,800,128,50,1.0,16.14201191427287,876.7756745828949
6,sw_ucb,1,800,128,50,1.0,12.829190305988917,759.0981880812344
7,sw_ucb,1,800,128,50,1.0,10.759350955624054,1216.532013605364
8,sw_ucb,1,800,128,50,1.0,-5.267709070915744,1070.3333562512983
9,sw_ucb,1,800,128,50,1.0,7.771768794897739,1079.058395029083
10,sw_ucb,1,800,128,50,1.0,5.9306988579890705,1466.4776814508086
11,sw_ucb,1,800,128,50,1.0,2.530839620337254,985.310207792383
12,sw_ucb,1,800,128,50,1.0,-2.4186658221628647,1248.6691156990664
13,sw_ucb,1,800,128,50,1.0,7.925147391311183,1227.2832234378773
14,sw_ucb,1,800,128,50,1.0,13.123091422986068,889.0646579152536
15,sw_ucb,1,800,128,50,1.0,13.167512618383196,891.9012714064786
16,sw_ucb,1,800,128,50,1.0,9.742263809213222,1002.3065181596779
17,sw_ucb,1,800,128,50,1.0,1.6739703737751004,1216.4398786024697
18,sw_ucb,1,800,128,50,1.0,13.132194676493864,1067.4196170286452
19,sw_ucb,1,800,128,50,1.0,10.106975289512574,1253.2272225543181
20,sw_ucb,1,800,128,50,1.0,5.144619766488087,874.828270357672
21,sw_ucb,1,800,128,50,1.0,18.481798484610337,618.2234706180088
22,sw_ucb,1,800,128,50,1.0,10.578368398729298,1023.7147336602485
23,sw_ucb,1,800,128,50,1.0,6.392670339827865,1078.559189760452
24,sw_ucb,1,800,128,50,1.0,10.206692002384624,494.0998949389967
25,sw_ucb,1,800,128,50,1.0,9.538002202723938,1090.472426856631
26,sw_ucb,1,800,128,50,1.0,0.8915976390515166,1264.8763745379633
27,sw_ucb,1,800,128,50,1.0,6.625864143489757,1411.861102410436
28,sw_ucb,1,800,128,50,1.0,13.72045959563953,967.0534155252346
29,sw_ucb,1,800,128,50,1.0,14.159005778788433,1022.6235744295909
30,sw_ucb,1,800,128,50,1.0,3.843719908706902,723.6767932282187
31,sw_ucb,1,800,128,50,1.0,3.3802926784234444,881.3605327851941
32,sw_ucb,1,800,128,50,1.0,5.53594778352768,963.831786063207
33,sw_ucb,1,800,128,50,1.0,7.734367954429285,1157.9599049951876
34,sw_ucb,1,800,128,50,1.0,15.756868982954632,1189.7038840679077
35,sw_ucb,1,800,128,50,1.0,5.44249841246131,1056.8059177680702
36,sw_ucb,1,800,128,50,1.0,12.866144463351063,896.4011673652736
37,sw_ucb,1,800,128,50,1.0,6.610859135442356,1346.1084809041686
38,sw_ucb,1,800,128,50,1.0,0.5708120605042293,949.9979554263041
39,sw_ucb,1,800,128,50,1.0,18.68369144675667,772.3453161040486
40,sw_ucb,1,800,128,50,1.0,19.66958281018156,1045.9475008876022
41,sw_ucb,1,800,128,50,1.0,11.192589944422021,905.8909285976905
42,sw_ucb,1,800,128,50,1.0,5.459723007680383,924.313186980469
43,sw_ucb,1,800,128,50,1.0,9.142569262912453,1261.4694237934077
44,sw_ucb,1,800,128,50,1.0,10.64671629809598,961.6353809261693
45,sw_ucb,1,800,128,50,1.0,11.519771706176673,730.4402836010604
46,sw_ucb,1,800,128,50,1.0,13.79480630645747,1126.2530963725073
47,sw_ucb,1,800,128,50,1.0,13.900864880507708,880.149489590598
48,sw_ucb,1,800,128,50,1.0,8.964626807866537,1158.5772725522397
49,sw_ucb,1,800,128,50,1.0,6.679192660287769,817.3060348523043
50,sw_ucb,1,800,128,50,1.0,12.623811031073474,1028.5105185922857
51,sw_ucb,1,800,128,50,1.0,6.475939113151124,1004.4713552965952
52,sw_ucb,1,800,128,50,1.0,14.980792592786845,1292.8382038334667
53,sw_ucb,1,800,128,50,1.0,16.56770079657634,1440.8360382077437
54,sw_ucb,1,800,128,50,1.0,11.03282292565943,735.2761472264965
55,sw_ucb,1,800,128,50,1.0,3.225069314530222,843.1325680293173
56,sw_ucb,1,800,128,50,1.0,11.937856975251506,854.163483059767
57,sw_ucb,1,800,128,50,1.0,-0.04234650493565084,796.392018215809
58,sw_ucb,1,800,128,50,1.0,12.74899437287517,1024.8507118467496
59,sw_ucb,1,800,128,50,1.0,4.679717482023186,976.3559441288548
60,sw_ucb,1,800,128,50,1.0,6.014281131732319,1000.5420004446835
61,sw_ucb,1,800,128,50,1.0,14.666867853477207,836.0594486115956
62,sw_ucb,1,800,128,50,1.0,6.894517760304473,1249.725045113643
63,sw_ucb,1,800,128,50,1.0,11.340620611804834,915.2711543104027
64,sw_ucb,1,800,128,50,1.0,-0.01360218753832676,983.2619703019145
65,sw_ucb,1,800,128,50,1.0,15.985522994864358,976.3487336437548
66,sw_ucb,1,800,128,50,1.0,11.972384535543277,974.1962526612009
67,sw_ucb,1,800,128,50,1.0,6.686859374954414,1214.8568896823006
68,sw_ucb,1,800,128,50,1.0,5.66021599474317,875.9807826022885
69,sw_ucb,1,800,128,50,1.0,3.3949599117558202,1482.9067598017734
70,sw_ucb,1,800,128,50,1.0,4.69363190682918,1101.8741887677204
71,sw_ucb,1,800,128,50,1.0,12.689596464696258,767.3544369762103
72,sw_ucb,1,800,128,50,1.0,9.945019626367422,741.5951766173662
73,sw_ucb,1,800,128,50,1.0,16.75217683059971,566.8075176612231
74,sw_ucb,1,800,128,50,1.0,12.605072506476553,797.8676461692021
75,sw_ucb,1,800,128,50,1.0,8.331649779184346,899.2460838909261
76,sw_ucb,1,800,128,50,1.0,8.982245342547609,927.9219306425782
77,sw_ucb,1,800,128,50,1.0,15.6580957380359,856.109715201352
78,sw_ucb,1,800,128,50,1.0,12.273955265319579,873.0526479637201
79,sw_ucb,1,800,128,50,1.0,9.967814400562078,965.0688520302087
80,sw_ucb,1,800,128,50,1.0,9.474852724270738,975.4228707913978
81,sw_ucb,1,800,128,50,1.0,20.170259187472674,626.1236339833199
82,sw_ucb,1,800,128,50,1.0,12.53979192065048,916.0646540221962
83,sw_ucb,1,800,128,50,1.0,13.788946771513691,790.0358339052177
84,sw_ucb,1,800,128,50,1.0,15.769181552465685,924.574018811767
85,sw_ucb,1,800,128,50,1.0,7.764889391415953,506.5017620874622
86,sw_ucb,1,800,128,50,1.0,5.651290637018565,967.0116728042701
87,sw_ucb,1,800,128,50,1.0,4.3607636594218935,1062.9049409810023
88,sw_ucb,1,800,128,50,1.0,1.4849264611177801,1216.023997284684
89,sw_ucb,1,800,128,50,1.0,3.8813512201940403,1032.145363577835
90,sw_ucb,1,800,128,50,1.0,12.640957984227489,924.62870530578
91,sw_ucb,1,800,128,50,1.0,-1.5230038995917354,824.7756376780658
92,sw_ucb,1,800,128,50,1.0,8.978589300911647,475.18243710638535
93,sw_ucb,1,800,128,50,1.0,4.995872811891645,1065.0701360680132
94,sw_ucb,1,800,128,50,1.0,0.05580089998792026,1139.3483853825726
95,sw_ucb,1,800,128,50,1.0,11.439554736263403,931.9963805535314
96,sw_ucb,1,800,128,50,1.0,3.5628748817422453,1105.6261781344397
97,sw_ucb,1,800,128,50,1.0,12.111929204195093,1203.0150405184297
98,sw_ucb,1,800,128,50,1.0,2.8903056655260837,1202.128190937105
