t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11998.457323050163,1200.0,0.08,0.0,0.00010380892065791542,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07162273258442012,0.2,1,0,0,0,0,11998.457323050163,0.0,0.0,0.0,0.6,5.0,11998.457323050163,14.18436476322376,1.3225666127400222e-07,4.5,0.00010380892065791542,0.00010380892065791542,0.6,1,0,0,239.96911472348515,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.5027000006521121
2,0.012,0.5,11999.972034387936,1200.0,0.08,0.0,2.314800218382345e-13,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.0225812381393541,0.2,1,0,0,0,0,11999.972034387936,0.0,0.0,0.0,0.6,5.0,11999.972034387936,19.197396119212875,3.227448980967085e-10,4.5,2.314800218382345e-13,2.314800218382345e-13,0.6,1,0,0,239.99944061030013,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.3718999942066148
3,0.012,0.5,11999.959573325403,1200.0,0.08,0.0,4.326093251253516e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02510800216501644,0.2,1,0,0,0,0,11999.959573325403,0.0,0.0,0.0,0.6,5.0,11999.959573325403,18.736752052960604,5.609518658765835e-10,4.5,4.326093251253516e-12,4.326093251253516e-12,0.6,1,0,0,239.99919133188007,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.28789999487344176
4,0.012,0.5,11999.952063151497,1200.0,0.08,0.0,1.5134840114062545e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.026370087329215246,0.2,1,0,0,0,0,11999.952063151497,0.0,0.0,0.0,0.6,5.0,11999.952063151497,18.52375794684221,7.243161935317948e-10,4.5,1.5134840114062545e-11,1.5134840114062545e-11,0.6,1,0,0,239.99904108919478,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2702999918255955
5,0.012,0.5,11999.665622053311,1200.0,0.08,0.0,6.512685742709646e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.046122515135702105,0.2,1,0,0,0,0,11999.665622053311,0.0,0.0,0.0,0.6,5.0,11999.665622053311,16.095743806708754,1.3344305039126005e-08,4.5,6.512685742709646e-07,6.512685742709646e-07,0.6,1,0,0,239.99330923852227,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2615999983390793
6,0.012,0.5,11999.970318225329,1200.0,0.08,0.0,3.79547652071328e-13,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02297166467248551,0.2,1,0,0,0,0,11999.970318225329,0.0,0.0,0.0,0.6,5.0,11999.970318225329,19.1229489465572,3.5290497538726066e-10,4.5,3.79547652071328e-13,3.79547652071328e-13,0.6,1,0,0,239.9994062798096,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2521999995224178
7,0.012,0.5,11999.724833580132,1200.0,0.08,0.0,2.8629439157758314e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.04360641500761542,0.2,1,0,0,0,0,11999.724833580132,0.0,0.0,0.0,0.6,5.0,11999.724833580132,16.339369790171222,9.961608237892255e-09,4.5,2.8629439157758314e-07,2.8629439157758314e-07,0.6,1,0,0,239.99449428087152,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.24850000045262277
8,0.012,0.5,11999.938199953609,1200.0,0.08,0.0,8.766687503485003e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.028370315516959597,0.2,1,0,0,0,0,11999.938199953609,0.0,0.0,0.0,0.6,5.0,11999.938199953609,18.206231969479973,1.060249143941641e-09,4.5,8.766687503485003e-11,8.766687503485003e-11,0.6,1,0,0,239.9987637446137,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2725000085774809
9,0.012,0.5,11999.816590710081,1200.0,0.08,0.0,4.4304331607003564e-08,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.038800957661010785,0.2,1,0,0,0,0,11999.816590710081,0.0,0.0,0.0,0.6,5.0,11999.816590710081,16.84644918011412,5.420799234601353e-09,4.5,4.4304331607003564e-08,4.4304331607003564e-08,0.6,1,0,0,239.9963305132297,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25680000544525683
10,0.012,0.5,11999.90080785305,1200.0,0.08,0.0,1.6722789941779e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03250939570797949,0.2,1,0,0,0,0,11999.90080785305,0.0,0.0,0.0,0.6,5.0,11999.90080785305,17.614784659163142,2.1559699028773175e-09,4.5,1.6722789941779e-09,1.6722789941779e-09,0.6,1,0,0,239.99801563963248,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.24689998826943338
11,0.012,0.5,11999.965457613336,1200.0,0.08,0.0,1.2875513061614614e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02399657520510342,0.2,1,0,0,0,0,11999.965457613336,0.0,0.0,0.0,0.6,5.0,11999.965457613336,18.933380991639943,4.4304900069055393e-10,4.5,1.2875513061614614e-12,1.2875513061614614e-12,0.6,1,0,0,239.99930904593526,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23759999021422118
12,0.012,0.5,11999.209625963333,1200.0,0.08,0.0,1.481149816626489e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.059080889893785724,0.2,1,0,0,0,0,11999.209625963333,0.0,0.0,0.0,0.6,5.0,11999.209625963333,15.020403345624112,4.8496819726835855e-08,4.5,1.481149816626489e-05,1.481149816626489e-05,0.6,1,0,0,239.98418088079652,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23780000628903508
13,0.012,0.5,11999.960242118359,1200.0,0.08,0.0,3.814187090491583e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.024987737472644725,0.2,1,0,0,0,0,11999.960242118359,0.0,0.0,0.0,0.6,5.0,11999.960242118359,18.757604282305202,5.470895094557138e-10,4.5,3.814187090491583e-12,3.814187090491583e-12,0.6,1,0,0,239.9992047110661,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23920000239741057
14,0.012,0.5,11998.382079818786,1200.0,0.08,0.0,0.00011761624396085307,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07261134103696625,0.2,1,0,0,0,0,11998.382079818786,0.0,0.0,0.0,0.6,5.0,11998.382079818786,14.124829050380258,1.4205116134716146e-07,4.5,0.00011761624396085307,0.00011761624396085307,0.6,1,0,0,239.96760750869356,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2367000124650076
15,0.012,0.5,11998.620340177647,1200.0,0.08,0.0,7.692974140869122e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.06935677809587383,0.2,1,0,0,0,0,11998.620340177647,0.0,0.0,0.0,0.6,5.0,11998.620340177647,14.323984525295451,1.1185470409062134e-07,4.5,7.692974140869122e-05,7.692974140869122e-05,0.6,1,0,0,239.97237996151043,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23320000036619604
16,0.012,0.5,11997.831325479296,1200.0,0.08,0.0,0.00024447075857739734,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07900089838247389,0.2,1,0,0,0,0,11997.831325479296,0.0,0.0,0.0,0.6,5.0,11997.831325479296,13.758553326943133,2.2046039706409627e-07,4.5,0.00024447075857739734,0.00024447075857739734,0.6,1,0,0,239.95657360865277,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23200000578071922
17,0.012,0.5,11999.94370325692,1200.0,0.08,0.0,4.668721623295814e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02761885560932249,0.2,1,0,0,0,0,11999.94370325692,0.0,0.0,0.0,0.6,5.0,11999.94370325692,18.322816831529742,9.218268121734114e-10,4.5,4.668721623295814e-11,4.668721623295814e-11,0.6,1,0,0,239.99887384390104,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23700000019744039
18,0.012,0.5,11999.465132643407,1200.0,0.08,0.0,3.945580310937815e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05279993979872167,0.2,1,0,0,0,0,11999.465132643407,0.0,0.0,0.0,0.6,5.0,11999.465132643407,15.508539353616383,2.6997250704480267e-08,4.5,3.945580310937815e-06,3.945580310937815e-06,0.6,1,0,0,239.98929617381677,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2376000047661364
19,0.012,0.5,11999.918672020147,1200.0,0.08,0.0,5.09427186743835e-10,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03070348118565976,0.2,1,0,0,0,0,11999.918672020147,0.0,0.0,0.0,0.6,5.0,11999.918672020147,17.86299743792818,1.6006108846474827e-09,4.5,5.09427186743835e-10,5.09427186743835e-10,0.6,1,0,0,239.99837305625894,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23280001187231392
