t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.004,0.8,17948.58711226682,400.0,0.08,0.0,0.10564460914572472,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005147156715489797,0.2,1,0,0,0,0,17948.58711226682,0.0,0.0,0.0,0.2,5.0,17948.58711226682,7.855377803268761,0.00026741178773988814,4.5,0.10564460914572472,0.10564460914572472,0.2,1,0,0,358.87574896999445,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.865200004540384
2,0.004,0.8,17913.091222366005,400.0,0.08,0.0,0.13102169941358663,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005811153769947062,0.2,1,0,0,0,0,17913.091222366005,0.0,0.0,0.0,0.2,5.0,17913.091222366005,7.328428042108468,0.0005031526625603321,4.5,0.13102169941358663,0.13102169941358663,0.2,1,0,0,358.08156405645576,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.343000000924803
3,0.004,0.8,17957.80548899367,400.0,0.08,0.0,0.09658853109296427,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0049176336439972134,0.2,1,0,0,0,0,17957.80548899367,0.0,0.0,0.0,0.2,5.0,17957.80548899367,8.05349000393974,0.00021084255886681682,4.5,0.09658853109296427,0.09658853109296427,0.2,1,0,0,359.0803843866547,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.254799998714589
4,0.004,0.8,17960.759942348566,400.0,0.08,0.0,0.09334258995482587,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004835935688975052,0.2,1,0,0,0,0,17960.759942348566,0.0,0.0,0.0,0.2,5.0,17960.759942348566,8.126246550112658,0.00019321845900160397,4.5,0.09334258995482587,0.09334258995482587,0.2,1,0,0,359.14579183980015,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.242599993129261
5,0.004,0.8,17821.515038052086,400.0,0.08,0.0,0.16782004104751436,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.006866563413846879,0.2,1,0,0,0,0,17821.515038052086,0.0,0.0,0.0,0.2,5.0,17821.515038052086,6.603657365500942,0.0011998132345358407,4.5,0.16782004104751436,0.16782004104751436,0.2,1,0,0,356.00265096899903,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.375700002536178
6,0.004,0.8,17408.035508607416,400.0,0.08,0.0,0.22999344911081787,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.009098737128855483,0.2,1,0,0,0,0,17408.035508607416,0.0,0.0,0.0,0.2,5.0,17408.035508607416,5.3812405371109975,0.005181381827250668,4.5,0.22999344911081787,0.22999344911081787,0.2,1,0,0,346.3567565954997,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.748700005118735
7,0.004,0.8,17269.11009695717,400.0,0.08,0.0,0.24067700813773069,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.009568943523204922,0.2,1,0,0,0,0,17269.11009695717,0.0,0.0,0.0,0.2,5.0,17269.11009695717,5.162411804000238,0.006726880443798777,4.5,0.24067700813773069,0.24067700813773069,0.2,1,0,0,343.05885715928287,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.241800001589581
8,0.004,0.8,17935.569265640668,400.0,0.08,0.0,0.11634463435460542,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005422632027976459,0.2,1,0,0,0,0,17935.569265640668,0.0,0.0,0.0,0.2,5.0,17935.569265640668,7.628950369078739,0.0003508711921938813,4.5,0.11634463435460542,0.11634463435460542,0.2,1,0,0,358.5855238213951,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.51609999476932
9,0.004,0.8,16746.659349285073,400.0,0.08,0.0,0.2674413813313394,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.010911049921011272,0.2,1,0,0,0,0,16746.659349285073,0.0,0.0,0.0,0.2,5.0,16746.659349285073,4.592386289493152,0.01324419116898898,4.5,0.2674413813313394,0.2674413813313394,0.2,1,0,0,330.49726782842407,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.318599989754148
10,0.004,0.8,17312.854735011864,400.0,0.08,0.0,0.23756155915116295,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0094284279856975,0.2,1,0,0,0,0,17312.854735011864,0.0,0.0,0.0,0.2,5.0,17312.854735011864,5.226658834649671,0.006230859749685642,4.5,0.23756155915116295,0.23756155915116295,0.2,1,0,0,344.09961530582655,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.351100004394539
