t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.018259395280477687,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.1836022361152483,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,5.551115123125783e-17,0.9129697640238843,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3012296401269525,0.15000000000000005,0.15000000000000005,0.9129697640238843,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.569100005435757
2,0.025677834641669173,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2581962757468006,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,8.326672684688674e-17,1.2838917320834586,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301248039931875,0.15000000000000002,0.15000000000000002,1.2838917320834586,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.411900001694448
3,0.01788129819349282,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.179800386734546,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,1.3877787807814457e-16,0.894064909674641,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301245883719883,0.15000000000000005,0.15000000000000005,0.894064909674641,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.235599998035468
4,0.028609297374419293,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2876727783666266,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.6653345369377348e-16,1.4304648687209647,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040793461835506,0.15000000000000002,0.15000000000000002,1.4304648687209647,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.140799996093847
5,0.03002028893093387,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.30186060884712396,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.942890293094024e-16,1.5010144465466935,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041036150157513,0.15000000000000002,0.15000000000000002,1.5010144465466935,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.278699998394586
6,0.02792968074143626,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.28083908362481824,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.220446049250313e-16,1.396484037071813,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301705368797723,0.15000000000000002,0.15000000000000002,1.396484037071813,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.175899994559586
7,0.01853483096966111,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.18637180255834346,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,2.7755575615628914e-16,0.9267415484830555,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301667823399703,0.15000000000000005,0.15000000000000005,0.9267415484830555,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.109299996751361
8,0.026163648654999788,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2630812425167018,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,3.3306690738754696e-16,1.3081824327499894,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041132508890066,0.15000000000000005,0.15000000000000005,1.3081824327499894,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.247300006682053
9,0.019376659638380624,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.1948365750017155,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,3.608224830031759e-16,0.9688329819190311,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041163445441655,0.15000000000000002,0.15000000000000002,0.9688329819190311,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.145699989749119
10,0.01924829298219317,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.19354582003657975,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,4.163336342344337e-16,0.9624146491096586,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041190372208373,0.15000000000000005,0.15000000000000005,0.9624146491096586,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.133000009460375
11,0.020974678026132256,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.21090500141111457,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,4.718447854656915e-16,1.0487339013066128,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041237109443932,0.15000000000000005,0.15000000000000005,1.0487339013066128,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.2132999951718375
12,0.019096582457429158,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.19202033733789084,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,5.273559366969494e-16,0.9548291228714579,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3018658264324117,0.15000000000000005,0.15000000000000005,0.9548291228714579,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.289199998718686
13,0.01838031245075045,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.18481808486082776,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,5.551115123125783e-16,0.9190156225375226,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041198874287648,0.15000000000000002,0.15000000000000002,0.9190156225375226,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.17889999516774
14,0.02758218099135342,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2773448971972472,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,6.106226635438361e-16,1.379109049567671,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3018538325415827,0.15000000000000005,0.15000000000000005,1.379109049567671,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.340499996440485
15,0.023455822978648313,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.23585345969303043,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,6.661338147750939e-16,1.1727911489324157,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3018157427171855,0.15000000000000005,0.15000000000000005,1.1727911489324157,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.216699999640696
16,0.018221516836889804,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.18322136003274542,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,7.216449660063518e-16,0.9110758418444902,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301768784931718,0.15000000000000005,0.15000000000000005,0.9110758418444902,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.237400011741556
17,0.02312253207404251,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.23250214633229038,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,7.771561172376096e-16,1.1561266037021254,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041172937560237,0.15000000000000005,0.15000000000000005,1.1561266037021254,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.28480000118725
18,0.0282098837886727,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2836565869018255,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,8.326672684688674e-16,1.4104941894336351,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301832232932524,0.15000000000000005,0.15000000000000005,1.4104941894336351,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.216000008862466
