t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.02081741550014231,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2093236921188097,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.0408707750071153,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1526099025455228,0.25000000000000006,0.25000000000000006,1.0408707750071153,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.408999994164333
2,0.023732503879425916,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.23863554701261772,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.1866251939712957,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526337339834716,0.25,0.25,1.1866251939712957,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.153900001663715
3,0.012958356845161017,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.13029912856394743,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6479178422580508,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525898650291397,0.25,0.25,0.6479178422580508,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.121900005382486
4,0.024443430171713992,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.24578406726601135,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.2221715085856997,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152621853167134,0.25,0.25,1.2221715085856997,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.033199999365024
5,0.013064555270614696,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.13136697709264766,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6532277635307348,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525793069334873,0.25,0.25,0.6532277635307348,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.142600002931431
6,0.02214884072679523,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.22271146565012093,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.1074420363397615,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152592041493191,0.25,0.25,1.1074420363397615,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.049499992514029
7,0.01411103181876096,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.14188952898061982,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.705551590938048,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525558110164287,0.25,0.25,0.705551590938048,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0689000092679635
8,0.010958062734258953,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.11018573126855938,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5479031367129477,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152512039824993,0.25,0.25,0.5479031367129477,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.3182999874698
9,0.01818082924155413,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1828122373114815,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9090414620777065,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152502345217825,0.25,0.25,0.9090414620777065,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0535999946296215
10,0.014853709381323132,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1493573152410348,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7426854690661566,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524763770095414,0.25,0.25,0.7426854690661566,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.179499992867932
11,0.02307950592571462,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.23206950894627174,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.153975296285731,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1525051307377443,0.25000000000000006,0.25000000000000006,1.153975296285731,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.012800004100427
12,0.025230825584636535,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.25370150134850994,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.6653345369377348e-16,1.2615412792318268,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1525515048294075,0.25000000000000006,0.25000000000000006,1.2615412792318268,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,5.982499991660006
13,0.01254451516906256,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.12613785947687112,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.627225758453128,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525128093899806,0.25,0.25,0.627225758453128,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.079499988118187
14,0.02312410907714295,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.23251800344536303,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,1.1562054538571473,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525390340915864,0.25,0.25,1.1562054538571473,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,5.9886999952141196
15,0.010948885935572718,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.11009345653912334,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.5474442967786359,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152496580607527,0.25,0.25,0.5474442967786359,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,5.951899991487153
16,0.030672900533880207,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.3084227620715416,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.220446049250313e-16,1.5336450266940103,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152606571354295,0.25000000000000006,0.25000000000000006,1.5336450266940103,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.042299995897338
17,0.03181692108404825,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.3199261403568687,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,1.5908460542024128,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527233596974753,0.25,0.25,1.5908460542024128,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,5.983600000035949
18,0.011939674350254852,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.12005605199523982,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.7755575615628914e-16,0.5969837175127426,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1526689916528197,0.25000000000000006,0.25000000000000006,0.5969837175127426,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0824999964097515
19,0.013352116047090258,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.13425846395565452,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,0.6676058023545128,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152623706711191,0.25,0.25,0.6676058023545128,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.018700005370192
20,0.021345903222736665,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2146377524224125,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,1.0672951611368333,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152626567270274,0.25,0.25,1.0672951611368333,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.003699993016198
